predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,office,social,gsm,amusement,system
2014-03-20,AS14.08,2014-03-17-2014-03-19,6.4,1,0,6.266666666666667,-0.13333333333333333,0.6,0.032354693519493875,0.017609255396657517,0.028902862654320988,0.0,0.030990000000000004,0.025641025641025644,0.0006530131172839505,0.0005036149691358024
2014-03-21,AS14.08,2014-03-18-2014-03-20,6.6,0,1,6.6000000000000005,-0.20000000000000004,0.8000000000000002,0.049677467559606114,0.016366435178084136,0.007747091049382717,0.0,0.006666666666666667,0.05128205128205129,0.0006530131172839505,0.019046427469135808
2014-03-22,AS14.08,2014-03-19-2014-03-21,6.4,0,1,6.666666666666667,-0.26666666666666666,0.7999999999999999,0.04316111442051104,0.022306847987167627,0.01453923611111111,0.0,0.009296859567901232,0.15384615384615385,0.00010212577160493826,0.02004280092592593
2014-03-23,AS14.08,2014-03-20-2014-03-22,7.2,0,1,6.466666666666666,-0.3333333333333333,0.7333333333333334,0.02956587816429815,0.018599803238923164,0.027337507716049383,0.0,0.008515686728395061,0.12820512820512822,0.0,0.019883074845679017
2014-03-24,AS14.08,2014-03-21-2014-03-23,6.8,1,0,6.733333333333333,-0.3333333333333333,0.7333333333333334,0.024452860735104248,0.01967245370517542,0.027695829475308645,0.0,0.012156153549382714,0.15384615384615385,0.0,0.001772615740740741
2014-03-25,AS14.08,2014-03-22-2014-03-24,7.2,1,0,6.800000000000001,-0.46666666666666673,0.8666666666666667,0.03690806420110724,0.0162390740758475,0.018886550925925925,0.0,0.01452895061728395,0.05128205128205129,0.0,0.0008517438271604937
2014-03-26,AS14.08,2014-03-23-2014-03-25,6.5,1,0,7.066666666666666,-0.5333333333333333,0.9333333333333332,0.03513013333116233,0.0156977507720391,0.007856203703703704,0.0,0.014484868827160493,0.07692307692307693,0.00034382716049382727,0.001032962962962963
2014-03-27,AS14.08,2014-03-24-2014-03-26,6.333333333333332,1,0,6.833333333333333,-0.5499999999999999,0.8333333333333334,0.05090232257460609,0.01741021219411015,0.009872770061728396,0.0006230671296296296,0.009858090277777778,0.15384615384615385,0.000777465277777778,0.0017012692901234572
2014-03-28,AS14.08,2014-03-25-2014-03-27,6.25,0,1,6.677777777777777,-0.2833333333333333,0.6666666666666666,0.06447018544059731,0.019398209881267437,0.016750597993827165,0.0006230671296296296,0.011574139660493829,0.3076923076923077,0.000777465277777778,0.00219025462962963
2014-03-29,AS14.08,2014-03-26-2014-03-28,7.166666666666668,0,1,6.361111111111111,-0.16666666666666666,0.5,0.06435755217513027,0.024067866517989728,0.01478030478395062,0.0006230671296296296,0.0125967862654321,0.6153846153846154,0.00043363811728395064,0.00512545524691358
2014-03-30,AS14.08,2014-03-27-2014-03-29,6.8,0,1,6.583333333333333,-0.13888888888888887,0.6666666666666666,0.04283846134472866,0.021650343369002692,0.013395879629629633,0.0,0.012719575617283952,0.5384615384615384,0.00025034336419753084,0.003987029320987654
2014-03-31,AS14.08,2014-03-28-2014-03-30,7.6,1,0,6.73888888888889,-0.13888888888888887,0.7000000000000001,0.039983653622274164,0.015078626542731564,0.006613962191358024,0.0,0.006398368055555557,0.3846153846153846,0.00025034336419753084,0.003437997685185185
2014-04-01,AS14.08,2014-03-29-2014-03-31,7.2,1,0,7.18888888888889,-0.05555555555555555,0.9333333333333332,0.06077528354614173,0.014051940583704424,0.00765974537037037,0.0,0.005437800925925926,0.05128205128205129,0.00032821373456790124,0.00028473765432098766
2014-04-02,AS14.08,2014-03-30-2014-04-01,6.6,1,0,7.199999999999999,-0.3333333333333333,0.9333333333333332,0.0732451948654335,0.017456994595718974,0.011855046296296296,0.0,0.00747798611111111,0.0,0.00043321373456790124,0.00022461033950617283
2014-04-03,AS14.08,2014-03-31-2014-04-02,7.0,1,0,7.133333333333333,-0.4666666666666666,1.0,0.04985935125413804,0.01713645833693905,0.01799288194444444,0.0,0.006326871141975308,0.0,0.0005071103395061728,0.0003946875
2014-04-04,AS14.08,2014-04-01-2014-04-03,7.5,0,1,6.933333333333334,-0.4666666666666666,1.0444444444444445,0.04980376252733156,0.02163907021652034,0.02237015046296296,0.0,0.007489810956790123,0.0,0.00042923996913580247,0.0006645987654320989
2014-04-05,AS14.08,2014-04-02-2014-04-04,7.4,0,1,7.033333333333334,-0.05000000000000001,1.1277777777777778,0.03939380186131866,0.01851827160627755,0.01943759645061728,0.0,0.010071361882716047,0.05128205128205129,7.389660493827161e-05,0.001228456790123457
2014-04-06,AS14.08,2014-04-03-2014-04-05,7.6,0,1,7.3,0.15,1.261111111111111,0.07943533321290401,0.02252536265294494,0.016127291666666668,0.0,0.011712314814814814,0.05128205128205129,0.000296712962962963,0.0011192245370370373
2014-04-07,AS14.08,2014-04-04-2014-04-06,7.0,1,0,7.5,0.15,1.2333333333333334,0.05560611643007323,0.016577793214424163,0.00828412422839506,0.0,0.010840250771604935,0.05128205128205129,0.00033927469135802473,0.0010926658950617286
2014-04-08,AS14.08,2014-04-05-2014-04-07,6.5,1,0,7.333333333333333,0.06666666666666667,1.1500000000000001,0.07938917016603214,0.028832986106475195,0.014132102623456794,0.0,0.009316450617283955,0.1794871794871795,0.0017605555555555558,0.0018185146604938268
2014-04-09,AS14.08,2014-04-06-2014-04-08,6.25,1,0,7.033333333333334,-0.08333333333333333,0.9166666666666666,0.055967220437308056,0.03203143904238571,0.016525864197530868,0.0,0.01103484953703704,0.1794871794871795,0.001823283179012346,0.002101554783950617
