predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
2014-03-29,AS14.17,2014-03-25-2014-03-28,6.8,0,1,7.2749999999999995,0.42500000000000004,0.85,0.118057440887335,0.0747485127410403,0.03422930844907407,0.0008664438657407405,0.015928958333333333,0.0017161950231481481,0.07500000000000001,0.022248556134259256,0.00541017650462963
2014-03-30,AS14.17,2014-03-26-2014-03-29,8.0,0,1,7.1000000000000005,0.45000000000000007,0.75,0.15487382764595842,0.08124304689053033,0.03456713541666666,8.71556712962963e-05,0.019282962962962964,0.002281724537037037,0.30000000000000004,0.021926481481481477,0.00671970775462963
2014-03-31,AS14.17,2014-03-27-2014-03-30,7.25,1,0,7.3,0.65,0.8,0.13982288671874007,0.062469647001061154,0.030516090856481475,8.71556712962963e-05,0.015357329282407408,0.0024546556712962964,0.25,0.01304325810185185,0.0050490017361111104
2014-04-01,AS14.17,2014-03-28-2014-03-31,7.4,1,0,7.3125,0.675,0.9,0.14166110769238882,0.06250015336675221,0.02077069155092592,8.71556712962963e-05,0.01903120659722222,0.025404424189814815,0.25,0.009847916666666665,0.00498455150462963
2014-04-10,AS14.17,2014-04-06-2014-04-09,6.75,1,0,7.0625,0.475,1.0625,0.05529609977195568,0.08599898726575904,0.018412199074074077,0.0037130208333333334,0.011504317129629628,0.0015870486111111113,0.125,0.028125344328703707,0.009731744791666665
2014-04-11,AS14.17,2014-04-07-2014-04-10,7.2,0,1,6.9375,0.6625,1.0,0.07126755584062827,0.09864029803071861,0.026252129629629632,0.0038613194444444446,0.015541730324074073,0.0020875954861111112,0.1,0.030134317129629634,0.010955141782407406
2014-04-12,AS14.17,2014-04-08-2014-04-11,7.2,0,1,6.9875,0.5125,1.0,0.11086109018906525,0.08419386284425857,0.024979788773148152,0.0038613194444444446,0.016138955439814816,0.002495896990740741,0.1,0.02951849826388889,0.013741507523148146
2014-04-13,AS14.17,2014-04-09-2014-04-12,7.2,0,1,7.0375,0.5125,1.0,0.1458330418692157,0.06711426214970376,0.019417899305555555,0.001242633101851852,0.015283671875000002,0.0016778819444444445,0.0,0.027537818287037042,0.009832763310185183
2014-04-14,AS14.17,2014-04-10-2014-04-13,7.0,1,0,7.0874999999999995,0.39999999999999997,1.0,0.13744118864602964,0.0706477575204163,0.018484186921296296,0.0001482986111111111,0.020378304398148153,0.0015049537037037037,0.0,0.023954438657407415,0.009987190393518516
2014-04-15,AS14.17,2014-04-11-2014-04-14,7.0,1,0,7.15,0.35000000000000003,1.0,0.13352630240702396,0.05181252025067807,0.009801701388888888,0.00043070023148148145,0.01570836805555556,0.001789782986111111,0.025,0.01666865740740741,0.009664346064814814
2014-04-16,AS14.17,2014-04-12-2014-04-15,7.2,1,0,7.1,0.35,1.0,0.10724196102364461,0.06479324362896105,0.027304389467592595,0.0004686805555555555,0.015908885995370374,0.0016204050925925926,0.05,0.01923061342592593,0.00949825810185185
2014-04-17,AS14.17,2014-04-13-2014-04-16,7.0,1,0,7.1,0.45,1.0,0.09359720515151367,0.06899331308280424,0.034344803240740754,0.0006285677083333333,0.015693038194444446,0.0021884403935185184,0.125,0.01655366030092593,0.00830911458333333
2014-04-18,AS14.17,2014-04-14-2014-04-17,7.0,0,1,7.05,0.6,1.0,0.10371891913115747,0.058945532411474835,0.03510289351851854,0.0006285677083333333,0.012562010995370373,0.0015923350694444444,0.175,0.01112103877314815,0.007569716435185184
2014-04-19,AS14.17,2014-04-15-2014-04-18,7.0,0,1,7.05,0.65,1.0,0.12957896449077916,0.06461289641688817,0.037930902777777796,0.0001978674768518519,0.011792760416666668,0.000806958912037037,0.17500000000000002,0.016974328703703707,0.006683211805555554
2014-04-20,AS14.17,2014-04-16-2014-04-19,7.2,0,1,7.05,0.8,1.0,0.14582972705761246,0.044923009269491374,0.02182848668981483,0.0001598871527777778,0.00820203414351852,0.0005680353009259259,0.15,0.011657612847222224,0.0037308333333333317
2014-04-21,AS14.17,2014-04-17-2014-04-20,7.4,1,0,7.05,0.7,1.0,0.14827749751719121,0.05603371238749885,0.022658938078703707,0.0007416001157407407,0.01210226851851852,0.002266967592592592,0.07500000000000001,0.016104971064814816,0.0028683101851851855
2014-04-22,AS14.17,2014-04-18-2014-04-21,6.6,1,0,7.15,0.7,1.0,0.1412888776300338,0.04966344907879828,0.027606122685185187,0.0007416001157407407,0.008913532986111111,0.0023223668981481476,0.05,0.013523825231481481,0.002169534143518519
2014-04-23,AS14.17,2014-04-19-2014-04-22,7.25,1,0,7.050000000000001,0.6,1.0,0.10680562228365664,0.0637289438727829,0.037958527199074076,0.0007416001157407407,0.013276481481481483,0.002530850694444444,0.07500000000000001,0.013538232060185186,0.002840908564814815
2014-04-24,AS14.17,2014-04-20-2014-04-23,7.2,1,0,7.112500000000001,0.6,1.0,0.08295476688320823,0.0887590740793557,0.04560379918981481,0.0008316695601851852,0.01597439525462963,0.0038845920138888884,0.1,0.02009452546296296,0.004662410300925927
2014-04-25,AS14.17,2014-04-21-2014-04-24,7.2,0,1,7.1125,0.75,1.0,0.08011789240956613,0.08399153646564596,0.04039659722222222,9.006944444444446e-05,0.014913793402777781,0.0024545283564814816,0.125,0.024633932291666667,0.047218168402777774
2014-04-26,AS14.17,2014-04-22-2014-04-25,8.0,0,1,7.0625,0.75,1.0,0.10898403852676608,0.08899817708810724,0.043299965277777776,0.0011095052083333337,0.014749751157407414,0.005626918402777778,0.225,0.027944629629629625,0.04931445601851851
2014-04-27,AS14.17,2014-04-23-2014-04-26,7.2,0,1,7.4125,0.85,1.0,0.14303806921330298,0.06981802372399858,0.036804401041666664,0.0011095052083333337,0.010591964699074079,0.005418434606481481,0.19999999999999998,0.022076932870370367,0.05027338252314815
2014-04-28,AS14.17,2014-04-24-2014-04-27,6.75,1,0,7.3999999999999995,0.85,1.0,0.15228279690446156,0.055343396984454674,0.035840512152777775,0.0010194357638888892,0.013320795717592593,0.004143732638888889,0.22499999999999998,0.018020760995370366,0.08770760995370369
2014-04-29,AS14.17,2014-04-25-2014-04-28,7.0,1,0,7.2875,0.7875,0.8333333333333334,0.14917521991002464,0.046327922442858965,0.03661165509259259,0.0017692968750000003,0.009747609953703702,0.005695665509259259,0.2,0.01072048032407407,0.044925034722222215
2014-04-30,AS14.17,2014-04-26-2014-04-29,7.0,1,0,7.2375,0.8875,0.8333333333333334,0.12586762953002717,0.05040154801888599,0.02999024594907408,0.0007498611111111111,0.01185880497685185,0.007413171296296296,0.07500000000000001,0.011047844328703703,0.04378374710648148
2014-05-01,AS14.17,2014-04-27-2014-04-30,8.0,1,0,6.9875,0.8875,0.8333333333333333,0.11031651632780286,0.054670494783117814,0.03172416956018519,0.0007498611111111111,0.013694484953703703,0.008547268518518518,0.05,0.01136366898148148,0.07504721354166666
2014-05-02,AS14.17,2014-04-28-2014-05-01,7.0,0,1,7.1875,0.8875,0.8333333333333333,0.1036994415585455,0.059367546288089615,0.024872112268518525,0.0007498611111111111,0.0077251475694444455,0.008468229166666667,0.025,0.024423067129629633,0.036466493055555556
2014-05-03,AS14.17,2014-04-29-2014-05-02,7.25,0,1,7.25,0.95,1.0,0.14396880030035952,0.05250289640906784,0.021665598958333337,0.0,0.007565593171296299,0.008733631365740742,0.05,0.02052901620370371,0.052571241319444434
