,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,0.2093501091003418,-0.18741025924682653,-0.38503274917602504,-0.28260517120361328,0.41772527694702166,-0.28910112380981445,-0.53446292877197266,0.71662282943725586,0.010898876190185369,0.61569252014160192,1.4597182273864746,-0.29189014434814453,-0.783935546875,-0.52834987640380859,0.22519350051879883,-0.28818368911743164,-0.38427219390869105,0.4174711227416994,-0.12145169576008996
2,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,,,,,,,,,,,,,,
3,0.22150135040283203,0.61425724029541051,0.41076107025146502,-0.78952169418334961,-0.57733278274536115,,,,,,,,,,,,,,
