,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02
1,-0.0046333312988284803,0.79899682998657262,-0.12269077301025355,0.15865240097045863,-0.37438802719116193,-1.2810895919799803,-0.17580747604370117,0.3038334846496582,-0.024834728240966442,0.10505113601684535,0.2902462959289549,-0.59982223510742205,-0.93538904190063477,0.35563316345214879,0.82116813659667898,0.27734403610229474,0.12637958526611293,-0.5026919364929201,-0.48119564056396502,-0.47478189468383825,-0.30293340682983416,-1.3163161277770996,-0.77356910705566406,0.47787952423095703,1.2841732978820808,0.39458370208740234,0.562254110972086,0.91879653930664062,0.22871335347493371,0.83493359883626361,0.39460849761962891
2,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,,,,,,,,,,,,,,,,,,,,,,,
3,-0.6350728034973141,-3.8166217803955078,2.6811453819274904,-0.76574649810791051,0.20687761306762731,-1.7313485145568848,0.25729837417602575,0.33686939875284949,,,,,,,,,,,,,,,,,,,,,,,
