,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03
1,0.014106464385986506,0.014327716827392756,0.014496517181396662,-0.38592262268066424,0.81416511535644531,0.063970088958740234,0.21413221359252965,0.31399250030517578,0.01426429748535174,-0.18581771850585938,-0.18486309051513672,0.064135551452636719,-0.18589878082275391,-0.18592548370361328,-0.18587732315063477,-0.43570184707641602,0.014110755920410334,0.014177513122558771,0.014179420471191584,-0.18553972244262695,-0.18588352203369141,0.014201831817627131,-0.18597126007080078,0.81406211853027344,0.013950538635254084,-0.43600940704345703,-0.18511009216308594,-0.18588352203369141,0.81404781341552734,-0.18605184555053711,0.064032554626464844
2,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,,,,,,,,,,,,,,,,,,,,,,,
3,-0.18580865859985352,-0.18594932556152344,0.014080238342285334,0.21416702270507848,-0.58586683273315465,0.064229965209960938,0.01401252746582049,0.013990592956543146,,,,,,,,,,,,,,,,,,,,,,,
