,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,-0.27880783081054705,0.92137050628662109,-1.3289055824279785,0.52216253280639613,0.12112064361572283,0.92121076583862305,0.72109918594360334,-0.078885555267333984,-0.078820228576660156,0.32119836807251012,0.72116308212280256,0.12109107971191424,-0.27880449295043963,-0.27874059677124041,-0.87863807678222638,0.72221784591674787,-1.2788955688476564,-0.32767534255981445,0.72137479782104474,0.92111349105834961,-0.078852176666259766,-0.87867670059204084,-0.67813262939453089,-0.27850503921508807,0.32129659652709996,-0.27880640029907244,-0.078657627105712891
2,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,,,,,,,,,,,,,,,,,,,,
3,0.1710972785949707,-0.078851699829101562,0.92133808135986328,-0.078910350799560547,0.92127466201782227,0.17111063003540039,0.42127561569213867,,,,,,,,,,,,,,,,,,,,
