Unnamed: 0,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,system
2014-03-21,7.0,0.2,0.8,0.06922398589065254,0.00949212962830508,0.002259490740740741,3.4837962962962955e-05,0.0,0.0,0.21739130434782608,0.011112361111111116
2014-03-22,7.0,-0.4,1.0,0.0710591929079324,0.004150381949212816,0.0009318287037037037,0.0,0.0,0.0,0.0,0.002960740740740741
2014-03-23,7.0,0.2,1.0,0.14492753623188412,0.006509745372114362,0.006049976851851854,0.0,0.0,0.0,0.0,0.000342488425925926
2014-03-24,7.0,1.0,0.8,0.0,0.0037800347197938814,0.0004422106481481481,0.000248425925925926,0.0,0.0,0.0,0.0029951041666666663
2014-03-25,7.0,0.8,1.0,0.0043103448275862,0.016722233800424466,0.01030252314814815,0.0,0.0,0.0,0.043478260869565216,0.0064180902777777795
2014-03-26,7.2,1.4,0.8,0.226851851851852,0.057276307863217815,0.044568182870370364,0.0,0.0,0.0007210532407407407,0.43478260869565216,0.009709178240740735
2014-03-27,7.0,1.0,1.0,0.0,5.347223745452038e-06,0.0,0.0,0.0,0.0,0.5217391304347826,0.0005764814814814815
2014-03-28,7.2,1.2,1.0,0.04206349206349204,0.01832343749977923,0.012029953703703702,0.0,0.0,0.0,0.3478260869565217,0.0074641550925925925
2014-03-29,7.0,-1.2,0.8,0.32595238095238105,0.0022534953664850306,3.490740740740741e-05,0.00010461805555555555,0.000574224537037037,0.0,0.43478260869565216,0.001419849537037037
2014-03-30,7.4,-0.8,1.0,0.25287698412698423,0.012391030098553055,0.003772777777777778,0.0,0.0018053124999999996,0.0,0.21739130434782608,0.006820590277777781
2014-03-31,7.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,0.0
2014-04-01,7.2,0.6,1.0,0.27182539682539664,0.008910358796517056,0.008504872685185181,0.0,0.0,0.0,0.21739130434782608,0.003337476851851852
2014-04-02,7.2,0.8,1.0,0.1894841269841272,0.01922809027687266,0.015249317129629632,0.00010490740740740742,0.00016343749999999998,0.0,0.3478260869565217,0.003614548611111111
2014-04-03,7.2,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913042,0.0
2014-04-04,7.2,0.6,1.0,0.16338024306774307,0.008566354168234053,0.0039315624999999976,0.0,0.0027337615740740747,0.0,0.08695652173913042,0.005939872685185186
2014-04-05,7.8,1.0,1.0,0.1381578947368421,0.00029414352167535755,0.0,0.0,0.0,0.0,0.17391304347826084,0.00029400462962962963
2014-04-06,6.2,-0.2,0.0,0.00657894736842105,0.004904467593188629,0.0022943287037037034,0.0,0.0,0.0,0.2608695652173913,0.0026083101851851853
2014-04-07,6.8,0.4,0.4,0.1067583732057415,0.0059896990739636904,0.005216226851851852,0.0,0.0,0.0,0.21739130434782608,0.0005613657407407407
2014-04-14,7.0,1.0,1.0,0.08487654320987655,0.033520856483115084,0.022999814814814813,0.001828831018518518,0.0012642476851851849,0.0022555555555555554,0.043478260869565216,0.006493692129629631
2014-04-15,7.0,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
2014-04-16,7.0,0.2,1.0,0.12390046296296292,0.032539374993907084,0.02038479166666667,0.0,0.0,0.0,0.0,0.016072395833333326
2014-04-17,6.4,0.0,0.0,0.09114583333333326,0.02707932870145197,0.016732962962962956,0.00011618055555555557,0.0007333333333333332,0.0,0.08695652173913042,0.013277754629629624
2014-04-18,6.0,-0.4,0.0,0.2605137395459973,0.016491307864586514,0.004212789351851852,0.0037755787037037033,0.0,0.0011994560185185185,0.0,0.00296875
2014-04-19,7.0,-0.2,0.8,0.03125,0.00523694444585729,0.0001743981481481481,0.0,0.0,0.0,0.0,0.0037999305555555564
