predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,social,travel,weather,gsm,amusement,system
2014-04-04,AS14.28,2014-04-01-2014-04-03,5.75,0,1,7.433333333333334,-0.06666666666666667,0.5499999999999999,0.1069795694754528,0.1144001350367879,0.033287739197530856,0.0014852391975308645,0.0311633101851852,0.0025610493827160495,0.0005121141975308642,0.07407407407407407,0.009334286265432099,0.05141729938271603
2014-04-05,AS14.28,2014-04-02-2014-04-04,7.6,0,1,6.8500000000000005,-0.2333333333333333,0.5499999999999999,0.10641155808325188,0.1343099421437508,0.04350283179012345,0.0013365933641975311,0.03357749228395063,0.0021214969135802467,0.0007340663580246914,0.0925925925925926,0.010189926697530863,0.050971639660493805
2014-04-06,AS14.28,2014-04-03-2014-04-05,7.2,0,1,7.116666666666667,-0.43333333333333335,0.6833333333333332,0.10129292928735756,0.11904407407766508,0.038678256172839494,0.00027756944444444443,0.027878865740740746,0.0015036959876543207,0.0005797260802469136,0.05555555555555555,0.009308314043209876,0.04989319058641974
2014-04-07,AS14.28,2014-04-04-2014-04-06,8.0,1,0,6.8500000000000005,-0.6333333333333333,0.4666666666666666,0.0550062577366848,0.10660797067538456,0.03155996913580246,0.0001316512345679012,0.029633128858024688,0.0009116242283950617,0.00024143518518518524,0.05555555555555555,0.00672537037037037,0.02756440200617284
2014-04-08,AS14.28,2014-04-05-2014-04-07,7.8,1,0,7.6000000000000005,-0.39999999999999997,0.8833333333333333,0.050593268816654234,0.09775019289718734,0.020192827932098766,9.1195987654321e-05,0.03307990354938271,0.0011772222222222225,0.00040582947530864197,0.0,0.008896265432098765,0.05662653549382718
2014-04-09,AS14.28,2014-04-06-2014-04-08,7.0,1,0,7.666666666666667,-0.19999999999999998,0.9500000000000001,0.07425681182018974,0.09557398921269694,0.026858595679012342,9.1195987654321e-05,0.032429471450617274,0.001643846450617284,0.0005948919753086421,0.0,0.006408661265432099,0.06867645833333334
2014-04-10,AS14.28,2014-04-07-2014-04-09,7.0,1,0,7.6000000000000005,-0.3333333333333333,1.0833333333333333,0.15145475644585338,0.11991721065967907,0.031166477623456784,0.0004514351851851851,0.02807791666666666,0.001643846450617284,0.0005948919753086421,0.018518518518518517,0.00602525462962963,0.07552805555555557
2014-04-11,AS14.28,2014-04-08-2014-04-10,7.4,0,1,7.266666666666667,-0.7333333333333334,0.8333333333333334,0.18884857260390478,0.10722286265481401,0.030663777006172843,0.0005089969135802468,0.019765428240740745,0.0031379706790123454,0.00020854552469135805,0.018518518518518517,0.005088190586419753,0.04698377314814816
2014-04-12,AS14.28,2014-04-09-2014-04-11,7.8,0,1,7.133333333333333,-0.8666666666666667,0.5,0.2669752931371056,0.17637549381105247,0.039113834876543206,0.001011358024691358,0.01832574074074074,0.008231520061728394,3.898148148148148e-05,0.35185185185185186,0.005328186728395062,0.039080979938271636
2014-04-13,AS14.28,2014-04-10-2014-04-12,7.2,0,1,7.3999999999999995,-0.7833333333333333,0.5833333333333334,0.19809052160103593,0.17341116511619384,0.04278565972222222,0.0008305902777777779,0.024650713734567897,0.008231520061728394,0.00020206404320987652,0.3333333333333333,0.010044162808641977,0.044092743055555585
2014-04-14,AS14.28,2014-04-11-2014-04-13,6.8,1,0,7.466666666666666,-0.65,0.6666666666666666,0.13761603824248242,0.17952459491237446,0.047355829475308635,0.0006818325617283951,0.028581033950617275,0.005560173611111111,0.0006143287037037037,0.3703703703703704,0.00860573688271605,0.03710540509259261
2014-04-22,AS14.28,2014-04-19-2014-04-21,7.25,1,0,7.516666666666667,-0.3833333333333333,0.7777777777777777,0.042495197212926585,0.06403250772092078,0.008310694444444445,9.466435185185187e-05,0.020709124228395062,0.0014429166666666668,0.00023610339506172843,0.018518518518518517,0.0034692862654320997,0.01954268904320987
2014-04-23,AS14.28,2014-04-20-2014-04-22,7.0,1,0,7.683333333333334,-0.4666666666666666,1.0,0.08806446044714955,0.10059824074308076,0.015828730709876542,0.0,0.021663900462962956,0.0013788310185185188,0.0003231712962962963,0.0,0.008654687500000001,0.04220720679012344
2014-04-24,AS14.28,2014-04-21-2014-04-23,8.0,1,0,7.416666666666667,-0.22222222222222224,1.0,0.10934147577522997,0.11518346450395052,0.026930111882716056,0.00018434027777777784,0.023204444444444444,0.0020313966049382718,0.0005293441358024692,0.018518518518518517,0.00767207561728395,0.05373335648148147
2014-04-25,AS14.28,2014-04-22-2014-04-24,7.0,0,1,7.416666666666667,-0.20555555555555557,1.0666666666666667,0.12383317954128825,0.14017671296166048,0.03624232253086421,0.00018434027777777784,0.02913866512345679,0.0013694251543209877,0.0008825655864197531,0.018518518518518517,0.009120416666666666,0.0674882060185185
2014-04-26,AS14.28,2014-04-23-2014-04-25,8.0,0,1,7.333333333333333,-0.022222222222222237,1.0666666666666667,0.1148771973480142,0.09662348765557931,0.028907318672839508,0.00026983410493827166,0.02681989583333334,0.00099804012345679,0.0009518325617283949,0.018518518518518517,0.00311497299382716,0.04851692515432098
2014-04-27,AS14.28,2014-04-24-2014-04-26,7.25,0,1,7.666666666666667,-0.13333333333333333,1.0666666666666667,0.09417570291854523,0.07657561728523836,0.019298514660493822,0.00017902006172839508,0.024694432870370375,0.0008438541666666668,0.0011490432098765432,0.0,0.0027356057098765433,0.03381067515432099
2014-04-28,AS14.28,2014-04-25-2014-04-27,7.5,1,0,7.416666666666667,0.016666666666666663,0.8333333333333334,0.07217910928083808,0.08693257715783,0.011594733796296294,0.0002847762345679012,0.02000547453703704,0.001546496913580247,0.001302619598765432,0.0,0.003160154320987655,0.019590798611111113
2014-04-29,AS14.28,2014-04-26-2014-04-28,7.0,1,0,7.583333333333333,-0.08333333333333333,0.8333333333333334,0.05950303255633169,0.0797776890417308,0.010871736111111108,0.00019928240740740743,0.014698834876543212,0.0015172453703703704,0.0010606828703703705,0.0,0.0031736959876543214,0.014009351851851851
2014-04-30,AS14.28,2014-04-27-2014-04-29,6.2,1,0,7.25,-0.15,0.7666666666666666,0.048499575858919196,0.0639040432088537,0.008807947530864196,0.00010575617283950616,0.007624456018518518,0.001018865740740741,0.0006572993827160495,0.0,0.0026438348765432103,0.011039232253086418
2014-05-01,AS14.28,2014-04-28-2014-04-30,6.4,1,0,6.8999999999999995,-0.3,0.6666666666666666,0.04098499453791395,0.015199483023197574,0.004172233796296297,0.0,0.004177920524691358,0.00031622299382716055,0.0,0.0,0.00028934799382716056,0.00726355324074074
2014-05-02,AS14.28,2014-04-29-2014-05-01,6.8,0,1,6.533333333333334,-0.3333333333333333,0.4666666666666666,0.029363061602594314,0.03790363039591431,0.00937107638888889,0.0003439544753086419,0.012122353395061727,0.00031988040123456796,0.00015525462962962962,0.018518518518518517,0.004155462962962964,0.025650196759259242
2014-05-03,AS14.28,2014-04-30-2014-05-02,7.4,0,1,6.466666666666668,-0.43333333333333335,0.5333333333333333,0.056784272948373515,0.07191250385509597,0.019384212962962964,0.0003633333333333333,0.022989247685185187,0.00043626157407407416,0.00015525462962962962,0.037037037037037035,0.005358977623456791,0.04080037037037035
2014-05-04,AS14.28,2014-05-01-2014-05-03,6.8,0,1,6.866666666666667,-0.3666666666666667,0.7999999999999999,0.06465110355773963,0.09740763502908341,0.027252202932098766,0.00040976466049382713,0.0272822762345679,0.00043626157407407416,0.00032473765432098766,0.07407407407407407,0.007716608796296299,0.053513020833333313
