,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2014-03-23,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,0.42483139038085938,-0.98244380950927734,-1.1376800537109375,-0.0094966888427734375,-0.0096735000610355115,-0.26034488677978551,0.38652172088623082,0.089006423950195312,0.20600433349609393,-0.28535842895507812,-0.18758888244628924,0.1565162658691408,0.2389595031738283,-0.089854240417480469,-0.1734949111938473,-0.11364860534667987,-0.2394783020019533,-0.22438163757324237,-0.18328399658203143,0.59073696136474574,-0.63479194641113246,-0.057283592224121271,-0.44295597076416016,-0.21000614166259801,0.30455970764160156,0.72463035583496094,0.16406567891438684,-0.28190670013427699,0.35956211090087908,0.13451957702636719,0.07923393249511701,0.77482681274414045,0.4913000106811527,-0.1001409530639652,0.012137413024902344
2,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.14590187072753924,-0.65429363250732386,1.0245405197143551,-0.50830402374267614,0.097347259521484375,1.1135959625244141,0.12794685363769531,-0.40052928924560582,0.04642753601074201,,,,,,,,,,,,,,,,,,,,,,,,,,
