,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,-0.33640947341918981,0.012172222137451172,-0.092452049255371094,0.13982648849487322,0.70339899063110334,-0.29647083282470721,0.70445756912231428,0.90217065811157227,-0.69805393218994105,-0.023083209991455078,-0.095544815063476562,-0.59682512283325195,-0.060236454010009766,-0.097652435302734375,0.30239286422729528,-0.29751319885253924,-0.096322536468505859,-0.096386909484863281,-0.095773220062255859,-0.096798896789550781,0.30270996093750036,0.10264368057250994,-0.096612930297851562
2,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,,,,,,,,,,,,,,,,,
3,-0.097974777221679688,-0.29674119949340838,-0.79470520019531232,0.95744228363037109,-0.30966806411743164,-0.031295299530029297,,,,,,,,,,,,,,,,,
