,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2014-03-27,2014-03-28,2014-03-29,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26
1,1.0641687389977852,1.5235588309098018,1.2764916558625998,0.10035082053639233,-0.49511287287819794,0.5177433286682396,-0.18952727489237375,-0.6901774485562031,0.09503445059557603,0.2902854276298328,-0.7079800247219348,-0.8954998803784928,-0.688391518087867,-1.194314215395841,0.2912792892394851,-0.10035081508211174,1.3133134037877578,-0.4321259066670189,-0.18851613492102448,-0.07859780409597938,-0.3544711299230139,0.515878958082947,0.568014097116639,1.304324960848735
2,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,,,,,,,,,,,,,,,,,
3,1.02238989554494,0.28830280084930937,0.8941195923174892,-0.5024347093461534,0.9041481110079204,0.5415424847209271,0.7988665405427628,,,,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,,,,,
5,0.1,0.1,0.1,rbf,,,,,,,,,,,,,,,,,,,,
