indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
0,2014-04-06,AS14.29,2014-04-02-2014-04-05,7.9875,-0.3,0.825,0.12682027641408475,7.75,0.0
1,2014-04-07,AS14.29,2014-04-03-2014-04-06,7.8,-0.3625,0.65,0.11708378232819491,7.2,1.0
8,2014-04-14,AS14.29,2014-04-10-2014-04-13,8.0625,0.4,0.8375,0.094271526923046,8.0,8.0
9,2014-04-15,AS14.29,2014-04-11-2014-04-14,7.9125,0.09999999999999998,0.7375,0.08765008277525507,8.25,9.0
10,2014-04-16,AS14.29,2014-04-12-2014-04-15,8.175,-0.07500000000000001,0.8375,0.13225131599552764,7.8,10.0
11,2014-04-17,AS14.29,2014-04-13-2014-04-16,8.0625,-0.325,0.9,0.11135621877168206,7.6,11.0
12,2014-04-18,AS14.29,2014-04-14-2014-04-17,7.9125,-0.125,0.95,0.11877357528694318,8.0,12.0
13,2014-04-19,AS14.29,2014-04-15-2014-04-18,7.9125,0.012500000000000011,0.7625,0.12217922134379233,7.0,13.0
14,2014-04-20,AS14.29,2014-04-16-2014-04-19,7.6,-0.012499999999999983,0.5625,0.09054176276985344,7.5,14.0
15,2014-04-21,AS14.29,2014-04-17-2014-04-20,7.525,-0.13749999999999998,0.5,0.08467365702326761,7.2,15.0
16,2014-04-22,AS14.29,2014-04-18-2014-04-21,7.425,-0.3375,0.4,0.08619874325880603,6.4,16.0
17,2014-04-23,AS14.29,2014-04-19-2014-04-22,7.025,-0.325,0.3375,0.08912009777579,7.6,17.0
18,2014-04-24,AS14.29,2014-04-20-2014-04-23,7.175000000000001,-0.024999999999999994,0.4375,0.09511459508449448,7.8,18.0
19,2014-04-25,AS14.29,2014-04-21-2014-04-24,7.250000000000001,0.15,0.5,0.13966359651788024,7.5,19.0
20,2014-04-26,AS14.29,2014-04-22-2014-04-25,7.325,0.15,0.5875,0.15324963277510126,6.0,20.0
21,2014-04-27,AS14.29,2014-04-23-2014-04-26,7.225,0.2,0.5875,0.17896690012311645,6.5,21.0
22,2014-04-28,AS14.29,2014-04-24-2014-04-27,6.95,-0.1375,0.4375,0.16648796904640942,7.0,22.0
23,2014-04-29,AS14.29,2014-04-25-2014-04-28,6.75,-0.2875,0.2875,0.13953272048482773,7.6,23.0
24,2014-04-30,AS14.29,2014-04-26-2014-04-29,6.775,-0.18749999999999997,0.30000000000000004,0.150386559097059,7.8,24.0
25,2014-05-01,AS14.29,2014-04-27-2014-04-30,7.2250000000000005,-0.2875,0.35000000000000003,0.10585651946566965,7.6,25.0
