MAE,MSE,RMSE,User
0.6853482101613204,0.660894537815319,0.7721270747969211,AS14.01
0.48997791563454896,0.4150033863002119,0.6411684762133338,AS14.02
0.3162516635734155,0.16829081009333446,0.4089075510583893,AS14.03
1.3781393873314292,5.832010204237558,1.8350639548596466,AS14.05
0.425219847028491,0.2682889398520276,0.5178295779715669,AS14.06
0.8562042466207391,1.282493756305601,1.1294593874273149,AS14.07
0.4688191421737732,0.33646671053918786,0.5795503945051779,AS14.08
0.6207561993627176,0.5267426012729088,0.7239990427993602,AS14.09
0.550321642884182,0.47201109380793416,0.6556164839107239,AS14.12
1.6530027707317039,8.517101029473634,2.099555308961074,AS14.13
0.6601102742695353,0.632128082125204,0.7696279902307095,AS14.14
0.4074568556395467,0.48120659432679536,0.5652304178390503,AS14.15
0.7226464421317431,0.8320472914326544,0.8592284175911735,AS14.16
0.21744712008711223,0.1024261988818546,0.3200109451960954,AS14.17
0.4133023525154255,0.27939661120688347,0.527584135166074,AS14.19
1.2453676920746424,6.576089074443618,1.6176849960115973,AS14.20
0.4234375130298105,0.401568344997557,0.574580478208929,AS14.23
0.8200495995166671,1.723845711957962,1.016789170829172,AS14.24
0.5448198342431415,0.49745182286940437,0.6651940335190029,AS14.25
0.6471822699770962,0.5635091578379566,0.7473343793754718,AS14.26
0.5211476178010481,0.510039324705755,0.7099400196350663,AS14.27
0.509465538674794,0.3936060047467559,0.6270419467777522,AS14.28
0.5270076481169759,0.4455553348185537,0.6609292063470715,AS14.29
0.21203755610949626,0.09594820971811853,0.3067956003996004,AS14.30
0.2920910034908223,0.15897882739977173,0.393863554304457,AS14.31
0.48879827562469097,0.43496324510222995,0.6523243706047136,AS14.33
