Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,travel,weather,gsm,amusement,system
2014-04-12,7.0,0.25,0.5,0.07713122605363984,0.04310695602662037,0.01868403935185186,0.014537002314814815,0.0,0.0,0.2222222222222222,0.001723564814814815,0.02949644675925925
2014-04-13,8.75,0.5,1.5,0.13717672413793106,0.026104155097294742,0.008696655092592596,0.008824976851851855,0.0,0.0,0.16666666666666666,0.0003477083333333333,0.007361921296296297
2014-04-14,7.6,-0.8,0.8,0.0809027777777778,0.013569872669047776,0.005758530092592592,0.00045460648148148134,0.0,0.00033966435185185185,0.0,0.0008096180555555556,0.005468958333333332
2014-04-15,7.2,-0.6,0.6,0.09026916896235077,0.05074787036964186,0.02439211805555556,0.012612835648148149,0.0034052662037037033,0.0,0.0,0.0016401273148148147,0.008637268518518516
2014-04-16,7.8,-1.4,1.0,0.1181810224089636,0.07740565973299521,0.030572893518518513,0.00983255787037037,0.023770289351851853,0.0,0.0,0.00130875,0.010729803240740741
2014-04-17,7.6,0.2,0.8,0.10105333800186746,0.06434118054531235,0.015353946759259253,0.010970138888888887,0.030599432870370362,0.0,0.1111111111111111,0.0012991435185185187,0.023358159722222226
2014-04-18,8.6,0.0,1.4,0.1159722222222222,0.03042996527972045,0.011644097222222222,0.006460231481481483,0.0024015856481481484,0.0,0.3333333333333333,0.0004196875,0.00885969907407407
2014-04-19,7.5,-0.25,0.5,0.05498949579831933,0.04444122683394838,0.035254201388888885,0.017650671296296303,0.0,0.0,0.0,0.00319068287037037,0.005819236111111111
2014-04-20,7.2,-0.4,0.6,0.18090277777777786,0.061133437512649436,0.028966631944444456,0.013007314814814815,0.0,0.0,0.16666666666666666,0.002427662037037037,0.3831082523148148
2014-04-21,6.8,0.0,0.2,0.07812500000000007,0.041194560188386166,0.018968356481481482,0.009774050925925922,0.002334479166666667,0.0011223726851851852,0.1111111111111111,0.0012105671296296296,0.007150405092592594
2014-04-22,7.8,-1.0,0.8,0.09700046685340802,0.053804131947733716,0.016914791666666668,0.008678749999999997,0.012795069444444444,0.0,0.6111111111111112,0.004920196759259258,0.0097522337962963
2014-04-23,8.0,0.0,0.8,0.07138142791551877,0.03389108796362522,0.01421806712962963,0.009390891203703705,0.0009273726851851852,0.0,0.05555555555555555,0.0031149999999999997,0.0055007175925925935
2014-04-24,7.6,0.6,0.6,0.08724323062558355,0.04587370369169447,0.020352708333333327,0.007432824074074072,0.003753148148148149,0.0,0.3333333333333333,0.00139,0.015389456018518525
2014-04-25,7.6,1.2,0.6,0.13997140522875814,0.042529027773826215,0.017948090277777776,0.006755300925925926,0.0,0.00035603009259259263,0.2222222222222222,0.0019105439814814812,0.0105533912037037
2014-04-26,9.333333333333334,0.6666666666666666,1.6666666666666667,0.3618055555555556,0.058008726854567184,0.018658333333333332,0.005570196759259259,0.007914432870370369,0.000698738425925926,1.0,0.0,0.023322280092592598
2014-04-27,8.0,0.4,0.8,0.12519226354453622,0.08470128473308351,0.042874351851851865,0.027971875,0.0009225,0.0,0.2777777777777778,0.0004904976851851854,0.013848275462962958
2014-04-28,7.8,0.2,0.8,0.13159722222222214,0.05730569442665138,0.014579560185185187,0.02050181712962964,0.008815416666666662,0.0,0.2222222222222222,0.0013600000000000005,0.009490879629629632
2014-04-29,7.2,-1.2,0.4,0.08749999999999998,0.04383071760612505,0.010888055555555557,0.02023545138888889,0.0,0.0,0.16666666666666666,0.002049155092592593,0.009479803240740737
2014-04-30,6.6,1.2,0.4,0.0889128352490421,0.08304342593859748,0.03559401620370372,0.028019456018518508,0.0,0.0,0.05555555555555555,0.004731145833333333,0.014175034722222228
2014-05-01,7.6,0.4,0.8,0.1123922413793103,0.05581069445168532,0.02585921296296296,0.008608206018518515,0.0036308333333333336,0.0,0.05555555555555555,0.006345011574074075,0.01073538194444444
2014-05-02,7.2,-1.0,0.6,0.11944444444444445,0.040967349520436055,0.02128101851851852,0.006187210648148147,0.0,0.0,0.05555555555555555,0.002968206018518518,0.009464826388888884
2014-05-03,6.4,1.2,0.0,0.09062499999999996,0.05759746526402456,0.03944311342592592,0.005612349537037036,0.0024765740740740737,0.0,0.1111111111111111,0.0,0.009403576388888885
2014-05-04,7.4,-0.2,0.6,0.08654003267973857,0.06823049768529559,0.03144401620370371,0.025723564814814817,0.0,0.0,0.0,0.0006049305555555557,0.027603541666666658
2014-05-05,7.666666666666668,0.0,0.6666666666666666,0.16432475726422502,0.07023026618692607,0.0297675925925926,0.013452557870370365,0.0,0.0,0.0,0.0015568865740740738,0.013875081018518523
