Unnamed: 0,mood,arousal,valence,activity,screen,communication,finance,social,travel,weather,gsm,amusement,system
2014-04-08,7.8,-0.2,1.0,0.09885041974956743,0.08525908568391094,0.03705207175925925,0.0,0.022870509259259268,0.001399872685185185,0.0006256365740740741,0.0,0.0008614467592592593,0.06647267361111109
2014-04-09,7.0,-1.0,1.0,0.2438468705912345,0.14180238424351918,0.024858148148148157,0.0010807175925925923,0.019300567129629628,0.0,0.0,0.05555555555555555,0.002717233796296296,0.0308151851851852
2014-04-10,7.0,-1.0,0.5,0.22384842747091244,0.09460711803701193,0.030081111111111117,0.00044627314814814806,0.01712520833333334,0.008014039351851852,0.0,0.0,0.011685891203703705,0.04366346064814819
2014-04-11,7.4,-0.6,0.0,0.3332305813491699,0.29271697915262634,0.06240224537037035,0.0015070833333333336,0.01855144675925925,0.016680520833333334,0.00011694444444444443,1.0,0.0015814351851851849,0.04276429398148153
2014-04-12,7.8,-0.75,1.25,0.03719255598302549,0.13290939815894326,0.03587362268518518,0.0005384143518518519,0.03827548611111111,0.0,0.0004892476851851851,0.0,0.01686516203703704,0.04585047453703705
2014-04-13,7.2,-0.6,0.75,0.04242497739525186,0.11294740742555373,0.043791620370370384,0.0,0.028916168981481475,0.0,0.0012367939814814815,0.1111111111111111,0.007370613425925926,0.02270144675925926
2014-04-14,6.8,-1.0,0.5,0.10611959993778808,0.12594503474180346,0.05895037037037039,0.0005257060185185187,0.022202997685185185,8.414351851851851e-05,0.000766875,0.05555555555555555,0.0015313310185185185,0.0644442245370371
2014-04-15,6.8,-0.2,0.4,0.11725857496542645,0.11398848379927648,0.03590496527777779,0.0017743402777777781,0.0365311574074074,0.0,0.0005072222222222222,0.0,0.010918796296296295,0.0393389351851852
2014-04-16,6.2,0.6,-0.4,0.03589232647840624,0.11766480323065212,0.03718903935185184,0.0008853703703703707,0.04146439814814816,0.0,0.0009170833333333332,0.0,0.016892048611111113,0.04318462962962965
2014-04-17,7.8,-0.5,0.75,0.10793741525463706,0.10984831017476536,0.024448541666666674,0.0003615972222222222,0.038177847222222214,0.0,0.0,0.1111111111111111,0.009821655092592592,0.02700892361111111
2014-04-18,5.8,-0.2,0.0,0.03475107975080799,0.1215128240485986,0.027896446759259272,0.002366226851851851,0.018436215277777786,0.00165875,0.0008238194444444443,0.0,0.013987476851851852,0.0444228935185185
2014-04-19,6.75,-0.5,0.3333333333333333,0.020545114412761075,0.07216681712479506,0.009450775462962965,0.0002839930555555556,0.02337811342592593,0.002342835648148148,0.00025680555555555564,0.05555555555555555,0.003287546296296297,0.02474695601851851
2014-04-20,7.8,-0.4,1.0,0.03128380739640309,0.06400887732704481,0.001991944444444444,0.0,0.02297789351851851,0.0,0.0,0.0,0.0056755208333333345,0.01856038194444444
2014-04-21,8.0,-0.25,1.0,0.07565666982961561,0.05592182871092248,0.013489363425925924,0.0,0.01577136574074074,0.001985914351851852,0.0004515046296296296,0.0,0.0014447916666666667,0.015320729166666668
2014-04-22,7.25,-0.75,1.0,0.15725290411542994,0.18186401619127496,0.032004884259259264,0.0,0.026242442129629617,0.002150578703703704,0.0005180092592592593,0.0,0.01884375,0.09274050925925924
2014-04-23,7.0,0.3333333333333333,1.0,0.0951148533806444,0.10776454860965412,0.035296087962962984,0.0005530208333333335,0.02759952546296297,0.001957696759259259,0.0006185185185185185,0.05555555555555555,0.002727685185185185,0.0531388310185185
2014-04-24,8.0,-0.2,1.2,0.11913178112779042,0.13090157408405234,0.04142599537037036,0.0,0.03357402777777778,0.0,0.0015111689814814814,0.0,0.0057898148148148145,0.05658527777777776
2014-04-25,7.0,-0.2,1.0,0.13038495753560778,0.05120434027303145,0.00999987268518518,0.0002564814814814815,0.01928613425925927,0.0010364236111111112,0.0007258101851851852,0.0,0.0008274189814814815,0.03582666666666668
2014-04-26,8.0,0.0,1.0,0.0330103700922375,0.047620937498631284,0.006469675925925927,0.00028057870370370373,0.02122313657407408,0.0014951388888888892,0.0012101504629629632,0.0,0.0015895833333333337,0.009020081018518516
2014-04-27,7.25,0.25,0.5,0.053142000214668944,0.16197245370182725,0.01831465277777777,0.0003172685185185185,0.019507152777777776,0.002107928240740741,0.0019718981481481484,0.0,0.007063460648148149,0.013925648148148149
2014-04-28,7.5,-0.5,1.0,0.09235672736208862,0.029739675924733863,0.007830879629629632,0.0,0.0033662152777777783,0.0009486689814814817,0.0,0.0,0.0008680439814814816,0.019082326388888887
2014-04-29,7.0,-0.2,0.8,0.0,0.0,0.0002783101851851853,0.0,0.0,0.0,0.0,0.0,0.0,0.00010972222222222222
2014-04-30,6.2,-0.2,0.2,0.030598256251653223,0.015858773144858854,0.004407511574074074,0.0,0.009167546296296295,0.0,0.0,0.0,0.0,0.0025986111111111114
2014-05-01,6.4,-0.6,0.4,0.05749092855612972,0.09785211804288407,0.02342740740740741,0.0010318634259259257,0.02719951388888888,0.0009596412037037039,0.0004657638888888889,0.05555555555555555,0.012466388888888891,0.07424225694444439
2014-05-02,6.8,-0.5,1.0,0.08226363403733761,0.10202662037754497,0.030317719907407406,5.813657407407407e-05,0.03260068287037037,0.0003491435185185185,0.0,0.05555555555555555,0.003610543981481482,0.04556024305555555
2014-05-03,7.4,0.0,1.0,0.05419874807975157,0.09234416666682124,0.02801148148148148,0.00013929398148148148,0.02204663194444445,0.0,0.000508449074074074,0.1111111111111111,0.007072893518518519,0.04073656250000001
