Unnamed: 0,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
2014-05-18,7.2,-0.2,0.6,0.026736111111111096,0.06880814815836922,0.04665346064814816,0.0,0.002581701388888889,0.0,0.375,0.00013769675925925926,0.015195034722222216
2014-05-19,7.4,0.25,0.75,0.007986111111111114,0.03375853009246013,0.02186866898148148,0.0,0.004526770833333334,0.0,0.125,0.00013935185185185182,0.006449479166666668
2014-05-20,7.0,0.0,1.0,0.04450887793133785,0.034393981477176705,0.01688452546296296,0.0,0.004573391203703704,0.0,0.375,0.0,0.012326793981481482
2014-05-21,6.2,0.2,0.4,0.0510416666666667,0.026390972211956968,0.014061805555555551,0.0,0.0005953472222222223,0.0,0.125,9.724537037037038e-05,0.010780937499999995
2014-05-22,6.6,0.6,0.8,0.042136437908496686,0.03463299767838583,0.025279768518518517,0.0,0.00042228009259259264,0.0,0.1875,0.0,0.010140567129629628
2014-05-23,6.8,-0.2,0.6,0.011229669507959656,0.043336458330353066,0.01580306712962963,0.0,0.007638657407407405,0.0,0.0625,0.0011085416666666663,0.009925185185185188
2014-05-24,7.2,0.0,0.8,0.011447603234842322,0.01795945601054916,0.008732233796296297,0.0,0.001646053240740741,0.0,0.0,0.0,0.003727916666666668
2014-05-25,7.0,0.25,1.0,0.045962806026365384,0.07939521990992407,0.010136840277777776,0.0,0.000220625,0.0,0.1875,0.0,0.01424209490740741
2014-05-26,7.0,0.8,1.0,0.002735433604336043,0.02733261575577436,0.017785069444444447,0.0,0.0015935648148148148,0.0,0.125,0.0,0.006550682870370368
2014-05-27,6.2,0.5,0.6666666666666666,0.06439944767151781,0.044859490750564425,0.016924340277777776,0.0,0.0023234259259259267,0.0,0.25,0.0,0.013565682870370363
2014-05-28,6.6,0.0,0.5,0.09822330765912596,0.11640260417428278,0.0264,0.0,0.0014683912037037035,0.0063019444444444425,0.75,0.0,0.02379430555555555
2014-05-29,7.0,-0.4,0.8,0.01857181693744216,0.04856577545404436,0.03382135416666665,0.0,0.002280868055555556,0.0,0.0,0.0,0.023638553240740743
2014-05-30,7.4,0.2,1.2,0.03568424788578982,0.06625607640379003,0.043270891203703706,0.0,0.002918946759259259,0.0,0.75,0.0,0.009399942129629628
2014-05-31,7.0,1.0,1.0,0.2125195620196316,0.019734699072109337,0.007227962962962962,0.0,0.0,0.0,0.0,0.0,0.012304571759259263
2014-06-01,6.833333333333332,-1.0,0.6666666666666666,0.047362751785379936,0.05801991896772825,0.026728171296296302,0.0,0.008795925925925928,0.0,0.3125,0.0,0.018440856481481475
2014-06-02,6.75,0.3333333333333333,1.0,0.03904773900723553,0.05171978009243805,0.02863409722222223,0.0,0.009211446759259256,0.0,0.0625,0.0024542824074074076,0.011341655092592587
2014-06-03,7.8,0.4,1.0,0.09147694314185692,0.07545342592177565,0.0455705787037037,0.0,0.0008630208333333332,0.0,0.625,0.0,0.01842452546296296
2014-06-04,7.0,0.5,1.0,0.04638485469545906,0.06046136573508934,0.05160906249999999,0.0,0.0007978935185185184,0.0,0.125,0.0,0.008155787037037036
2014-06-05,7.0,0.0,1.0,0.1523427216624798,0.027448946750826316,0.011097465277777777,0.0,0.0019903240740740745,0.002612696759259259,0.6875,0.0,0.02024626157407408
2014-06-06,7.5,0.5,1.0,0.18947597457214285,0.03163578703447625,0.019802361111111114,0.0,0.0,0.0,1.0,0.0,0.010971875
