,Unnamed: 0,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
6,2014-04-08,7.8,-0.8,1.0,0.13756706347311956,0.17214472222659324,0.05249741898148148,0.0,0.016584155092592586,0.07928859953703707,0.002117928240740741,0.2857142857142857,0.008064814814814816,0.01401311342592592
7,2014-04-09,7.6,0.4,0.4,0.06840374522127911,0.06501592593336547,0.0364804976851852,0.0,0.006936678240740746,0.036971284722222233,0.0,0.0,0.0,0.002741550925925925
8,2014-04-10,8.6,0.4,1.4,0.1676437975828992,0.08461251154541967,0.022903460648148143,0.0,0.007767534722222223,0.04027712962962962,0.0,0.2857142857142857,0.0005694560185185186,0.0048370601851851856
9,2014-04-11,7.2,0.2,0.6,0.01897823474799861,0.07971217592557275,0.02904466435185186,0.0003146180555555556,0.011436400462962962,0.03672476851851851,0.0,0.0,0.001160162037037037,0.00034884259259259265
10,2014-04-12,8.25,1.0,0.75,0.11546995747559542,0.0308525462862518,0.02126774305555556,0.0,0.0033799189814814807,0.0017358796296296295,0.0016003125,0.07142857142857142,0.0011202083333333333,0.0009610185185185187
11,2014-04-13,8.2,0.0,0.6,0.07499411788569071,0.12934634257521893,0.028314085648148142,0.0,0.006473634259259261,0.044619189814814816,0.002058125,0.0,0.0,0.004422997685185186
12,2014-04-14,8.0,-0.8,1.0,0.14115802099173555,0.09077321760632373,0.02353125000000001,0.0,0.008994583333333337,0.06135087962962961,0.0,0.0,0.0010586689814814814,0.0040155787037037035
13,2014-04-15,8.25,-0.5,1.0,0.19738316762908886,0.10654966430807557,0.05011833333333335,0.0,0.00946922453703704,0.04517447916666666,0.0,0.07142857142857142,0.0004995370370370369,0.001263460648148148
14,2014-04-16,7.8,0.0,1.0,0.031889568580213065,0.13786717591738254,0.03602609953703703,1.162037037037037e-05,0.007325254629629628,0.05982752314814815,0.004753831018518518,0.42857142857142855,0.025034293981481482,0.0038953935185185203
15,2014-04-17,7.6,0.8,0.8,0.10466354394673524,0.07320626157577392,0.10246,0.0,0.009558541666666665,0.030728761574074063,0.0008034027777777778,0.42857142857142855,0.0002582175925925926,0.002346562500000001
16,2014-04-18,8.0,-0.25,0.25,0.1547806052191322,0.10422732639367928,0.032934699074074064,0.0,0.016143206018518524,0.05363405092592593,0.0007511805555555557,0.14285714285714285,0.005646898148148147,0.006194074074074076
17,2014-04-19,7.0,-0.6,0.2,0.07083333333333326,0.08687541666130222,0.024893113425925924,0.0,0.385220150462963,0.04970659722222224,0.00035046296296296296,0.2857142857142857,0.0,0.004162881944444446
18,2014-04-20,7.5,-0.5,0.75,0.008417145593869736,0.035702673613473235,0.011745787037037035,0.0,0.0024538078703703705,0.018612615740740742,0.0,0.0,0.0,0.0008253587962962964
19,2014-04-21,7.2,0.0,0.4,0.11076388888888887,0.04336827546634057,0.014289270833333334,0.0,0.003796354166666666,0.023751805555555557,0.0,0.0,0.0,0.0003938078703703703
20,2014-04-22,6.4,-0.2,0.0,0.16646602328706814,0.14985880786070122,0.056229768518518526,0.0,0.0201685300925926,0.04539325231481482,0.007825185185185185,1.0,0.0018158564814814808,0.01938959490740741
21,2014-04-23,7.6,0.6,0.6,0.09481132256815117,0.13915486112512926,0.03858153935185185,0.0,0.01852083333333333,0.04725344907407407,0.00485130787037037,0.35714285714285715,0.0046036342592592604,0.004533194444444442
22,2014-04-24,7.8,0.2,1.0,0.1866131513274128,0.11111696762343254,0.04304292824074076,0.0,0.01230407407407406,0.03669033564814815,0.006417164351851853,0.21428571428571427,0.012603807870370371,0.004833125000000001
23,2014-04-25,7.5,0.0,0.75,0.16510803391777293,0.04536821760237219,0.027409965277777792,0.0,0.007648229166666666,0.0014977314814814814,0.002562905092592593,0.07142857142857142,0.0,0.006575624999999996
24,2014-04-26,6.0,0.0,0.0,0.269335092679129,0.12128851854966748,0.0398598148148148,0.0,0.011970706018518516,0.06029283564814816,0.000546087962962963,0.42857142857142855,0.0,0.006491712962962963
25,2014-04-27,6.5,-0.75,0.0,0.04489559826132297,0.08192581018639933,0.01031188657407407,0.0,0.0059848726851851886,0.05736026620370373,0.0,0.0,0.003679421296296296,0.015096469907407404
26,2014-04-28,7.0,-0.4,0.4,0.07879215708108615,0.08675767362393716,0.021576342592592588,0.0,0.007911712962962962,0.02922170138888889,0.005297372685185185,0.0,0.01768774305555556,0.007015787037037035
27,2014-04-29,7.6,0.4,0.8,0.2085233883666979,0.1379026041400653,0.037936956018518514,0.0007908796296296294,0.01864464120370371,0.03586853009259259,0.0004119212962962964,0.07142857142857142,0.024548182870370368,0.022136064814814817
28,2014-04-30,7.8,-0.4,0.2,0.09121493415357156,0.10631635416713026,0.037171203703703685,0.0,0.007989525462962962,0.04790494212962963,0.0005851851851851852,0.21428571428571427,0.0021003587962962963,0.012710300925925922
29,2014-05-01,7.6,0.0,0.4,0.13183429371661345,0.07071888887495906,0.048560763888888886,0.0,0.025499282407407408,0.01260024305555555,0.0,0.0,0.0,0.003886238425925925
