,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28
1,0.25139467416384953,-0.14869909266229708,0.6510147677174034,0.4510143562952065,-0.3506078401612873,-0.3502179647578352,0.049893418647044996,0.4503803553420358,-0.14961813145391112,-0.5497358775630419,-0.5495711965353296,-1.149041980442619,0.4528139157327624,-1.5481181149783465,-0.5969368787767397,0.4531458281709684,0.6514359915997456,-0.09877595365781922,-0.35005811384500873,0.6497453427903466,-0.35042734787481056,0.6502855909343932,-0.10026845432989084,0.14961839405561683
2,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05,,,,,,,,,,,,,,,,,
3,-0.35002309321218483,-1.1500160399105583,-0.9483662680340093,-0.5475417773251587,0.05336771508839355,-0.5471786036374588,-0.34775971546549833,,,,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,,,,,
5,0.1,1.5,0.1,sigmoid,,,,,,,,,,,,,,,,,,,,
