,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13
1,-0.0862806325741774,0.11865545751655038,-0.06361132400136604,0.11559412516257339,-0.08250359958876619,0.2991827849347626,0.10804002699621229,0.10232890822600194,0.09729588258780897,0.11682927686636546,0.10130177862460954,0.7073337184569999,-0.881486164649834,-0.2707849213130693,-0.27489047499019215,-0.08142687633929757,0.09999976300864155,-0.113005558008898,0.28803869623273837,-0.1000000963922858
2,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,,,,,,,,,,,,,,
3,-0.059070826236531815,-0.0562915820563159,-0.06261637766323958,-0.6737129214874136,-1.1165635717718487,-0.13599718101279912,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,
5,0.1,0.1,0.1,linear,,,,,,,,,,,,,,,,
