,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15
1,0.10002676735307503,-0.6499405630920609,0.500218127794998,0.5998761894621074,0.09980405672905057,-0.6501871502420657,-0.40017270077125655,-0.23329788359370163,0.10016509975877685,0.10014359285360097,0.09993502684954247,-0.10008437505513168,0.3498797132219664,0.8498318247373176,0.09969248225066885,0.5996278825693668,-0.10047096185926829,-0.10039449903392228,-0.10016530406508295,-0.10011435835039162
2,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,,,,,,,,,,,,,,
3,0.3000524450718638,-0.5000739052795167,-0.15007641268906724,0.5999237007183815,0.6997725017693002,0.4997851597667804,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,
5,0.1,1.5,0.001,sigmoid,,,,,,,,,,,,,,,,
