predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,system
2014-03-22,AS14.15,2014-03-21-2014-03-21,7.0,7.0,0.2,0.8,0.06922398589065254,0.00949212962830508,0.002259490740740741,3.4837962962962955e-05,0.0,0.0,0.21739130434782608,0.011112361111111116
2014-03-23,AS14.15,2014-03-22-2014-03-22,7.0,7.0,-0.4,1.0,0.0710591929079324,0.004150381949212816,0.0009318287037037037,0.0,0.0,0.0,0.0,0.002960740740740741
2014-03-24,AS14.15,2014-03-23-2014-03-23,7.0,7.0,0.2,1.0,0.14492753623188412,0.006509745372114362,0.006049976851851854,0.0,0.0,0.0,0.0,0.000342488425925926
2014-03-25,AS14.15,2014-03-24-2014-03-24,7.0,7.0,1.0,0.8,0.0,0.0037800347197938814,0.0004422106481481481,0.000248425925925926,0.0,0.0,0.0,0.0029951041666666663
2014-03-26,AS14.15,2014-03-25-2014-03-25,7.2,7.0,0.8,1.0,0.0043103448275862,0.016722233800424466,0.01030252314814815,0.0,0.0,0.0,0.043478260869565216,0.0064180902777777795
2014-04-02,AS14.15,2014-04-01-2014-04-01,7.2,7.2,0.6,1.0,0.27182539682539664,0.008910358796517056,0.008504872685185181,0.0,0.0,0.0,0.21739130434782608,0.003337476851851852
2014-04-03,AS14.15,2014-04-02-2014-04-02,7.2,7.2,0.8,1.0,0.1894841269841272,0.01922809027687266,0.015249317129629632,0.00010490740740740743,0.00016343749999999998,0.0,0.3478260869565217,0.003614548611111111
2014-04-04,AS14.15,2014-04-03-2014-04-03,7.2,7.2,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913042,0.0
2014-04-05,AS14.15,2014-04-04-2014-04-04,7.8,7.2,0.6,1.0,0.16338024306774307,0.008566354168234053,0.0039315624999999976,0.0,0.002733761574074075,0.0,0.08695652173913042,0.005939872685185186
2014-04-06,AS14.15,2014-04-05-2014-04-05,6.2,7.8,1.0,1.0,0.1381578947368421,0.00029414352167535755,0.0,0.0,0.0,0.0,0.17391304347826084,0.00029400462962962963
2014-04-07,AS14.15,2014-04-06-2014-04-06,6.8,6.2,-0.2,0.0,0.00657894736842105,0.004904467593188629,0.0022943287037037034,0.0,0.0,0.0,0.2608695652173913,0.0026083101851851853
2014-04-08,AS14.15,2014-04-07-2014-04-07,6.8,6.8,0.4,0.4,0.1067583732057415,0.00598969907396369,0.005216226851851852,0.0,0.0,0.0,0.21739130434782608,0.0005613657407407407
2014-04-09,AS14.15,2014-04-08-2014-04-08,7.0,6.8,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826084,0.0
2014-04-10,AS14.15,2014-04-09-2014-04-09,7.2,7.0,0.0,1.0,0.0087719298245614,0.0,0.0,0.0,0.0,0.0,0.17391304347826084,0.0
2014-04-11,AS14.15,2014-04-10-2014-04-10,7.0,7.2,0.4,1.0,0.00789473684210526,0.0075030902800736566,0.005626481481481482,0.0,0.0,0.0,0.043478260869565216,0.002576064814814815
2014-04-12,AS14.15,2014-04-11-2014-04-11,7.4,7.0,0.4,0.8,0.0357142857142857,0.0092011458316335,0.00047975694444444444,0.0,0.004951111111111111,0.0,0.043478260869565216,0.0036395833333333328
2014-04-13,AS14.15,2014-04-12-2014-04-12,7.0,7.4,1.0,1.0,0.09709821428571426,0.02505431712501579,0.013513541666666672,0.0,0.0,0.0,0.2608695652173913,0.006741377314814813
2014-04-14,AS14.15,2014-04-13-2014-04-13,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014-04-15,AS14.15,2014-04-14-2014-04-14,7.0,7.0,1.0,1.0,0.08487654320987655,0.033520856483115084,0.022999814814814813,0.001828831018518518,0.0012642476851851847,0.0022555555555555554,0.043478260869565216,0.006493692129629631
2014-04-16,AS14.15,2014-04-15-2014-04-15,7.0,7.0,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
2014-04-17,AS14.15,2014-04-16-2014-04-16,6.4,7.0,0.2,1.0,0.12390046296296292,0.032539374993907084,0.02038479166666667,0.0,0.0,0.0,0.0,0.016072395833333326
2014-04-18,AS14.15,2014-04-17-2014-04-17,6.0,6.4,0.0,0.0,0.09114583333333326,0.02707932870145197,0.016732962962962956,0.00011618055555555557,0.0007333333333333332,0.0,0.08695652173913042,0.013277754629629624
2014-04-19,AS14.15,2014-04-18-2014-04-18,7.0,6.0,-0.4,0.0,0.2605137395459973,0.016491307864586514,0.004212789351851852,0.0037755787037037033,0.0,0.0011994560185185185,0.0,0.00296875
