,0,1,2,3,4,5,6,7,8,9,10,11
0,2014-05-15,2014-05-16,2014-05-17,2014-05-18,2014-05-19,2014-05-20,2014-05-21,2014-05-22,2014-05-27,2014-05-28,2014-05-29,2014-05-30
1,-0.48697272497784017,0.5014774539103257,-0.5010475249863795,-0.5014776738567086,-0.30439399899473063,-0.24285089564520845,-0.486838085638027,-0.7366508570567696,-0.3131945651410968,1.6867997818225877,0.4794679093412251,0.27144006849109825
2,2014-05-23,2014-05-24,2014-05-25,2014-05-26,,,,,,,,
3,-0.6576408651634624,-0.09708869750596705,-0.24701881943807358,-1.1001119990030208,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,
5,0.5,0.1,0.1,poly,,,,,,,,
