,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,2014-03-21,2014-03-22,2014-03-23,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,-0.21328256787868227,-0.48798312885077877,0.31270800049682723,0.1050058325756229,0.49305649879592384,-0.2467390412578787,-0.4189213158559628,-0.6491580284597145,0.291456296808275,-0.08617072056415775,0.8882929465810454,0.39566894788482276,-0.24709968320336007,0.2006650138178614,0.4695891443133142,0.3662181835997833,0.5142741186581166,0.029734206789898465,-0.4654619490383247,-0.6193362416928743,0.8179013356043807,0.579512315572769,-0.07142960550861144,0.4829938729925889,-0.4107623302740464,-0.49999994314952545,-0.7848841491071816,-0.7839009472051828,-0.7929365831124402,-0.7468004209578076,0.2268501321950378,0.49999996698271687,0.40136975756622917,0.4934982759629847,-0.24589824201048938,-0.1966083279817843
2,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.1751766324582853,-0.5333841057160909,-0.8083523213488686,1.0457792094894929,-0.5189176623623144,-0.28938298464627543,-0.6965238633890944,-1.0856571747181745,0.17698500362248737,-0.42195081363935216,,,,,,,,,,,,,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.5,0.1,0.1,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
