MAE,MSE,RMSE,User
0.3838919251305716,0.22849768304029044,0.4769048443964658,AS14.01
0.5312500020732049,0.4543190516841934,0.6709712217827243,AS14.02
0.2935689892087663,0.1489882460008597,0.3858696583359881,AS14.03
0.3411164401942848,0.3453397729201407,0.5873984417498227,AS14.05
0.4374736847416047,0.2749840824447633,0.52428545829736,AS14.06
0.854233448479765,1.2473631085567911,1.1154797318173784,AS14.07
0.40757580781594305,0.23916696441748123,0.4876126910045743,AS14.08
0.6259505731088144,0.5186445894195071,0.718376158854394,AS14.09
0.4055670238310291,0.23985980027703996,0.4892658385994002,AS14.12
0.6577020875869259,0.7988747457227428,0.8796491465106083,AS14.13
0.5031190061569213,0.3658249843319624,0.603182934848766,AS14.14
0.1966880953830222,0.08929356608078756,0.2940819028696504,AS14.15
0.44348852725256055,0.30828521985714297,0.5478364907591585,AS14.16
0.2006520125173754,0.08682218377484695,0.2900641258901128,AS14.17
0.359080362092881,0.2248030972979545,0.47232891085513445,AS14.19
0.3134939318117888,0.17027340027402676,0.4123076683274315,AS14.20
0.2360700305302938,0.13501369928466178,0.36166550557212584,AS14.23
0.3572244853304144,0.2936585873157416,0.5415350250790185,AS14.24
0.4299977616259926,0.2666995784090971,0.5131346438280833,AS14.25
0.6536475356419881,0.5344892721769485,0.7305576171453183,AS14.26
0.4353607975918314,0.3979446484294749,0.6292678207727875,AS14.27
0.5004951856754445,0.3862614227812669,0.6200245732230455,AS14.28
0.42525317565254533,0.29479917243802156,0.5419808046662362,AS14.29
0.19279720033918107,0.08448866089837755,0.2903758084983982,AS14.30
0.2562984590945037,0.1441412401674194,0.3772528328225193,AS14.31
0.4856487041049533,0.4494360060169907,0.6618318368515403,AS14.33
