predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,weather,gsm,amusement,system
2014-03-22,AS14.30,2014-03-21-2014-03-21,7.6,7.8,-0.4,1.2,0.2122594681147313,0.11372296295508184,0.03598157407407406,0.0,0.0,0.019507337962962955,0.0,0.0,0.3333333333333333,0.049561180555555535,0.011948622685185182
2014-03-23,AS14.30,2014-03-22-2014-03-22,7.8,7.6,-0.8,1.0,0.22079067100843272,0.16810881944166284,0.09950188657407404,0.0,0.0,0.02203642361111112,0.0,0.0,0.0,0.023744560185185188,0.015859710648148142
2014-03-24,AS14.30,2014-03-23-2014-03-23,7.8,7.8,-0.6,1.0,0.1212586113947738,0.18553873841685264,0.05710320601851854,0.0,0.0,0.036746168981481496,0.0,0.004246956018518521,0.0,0.06568363425925923,0.01166866898148148
2014-03-25,AS14.30,2014-03-24-2014-03-24,8.0,7.8,-0.2,1.0,0.1440737345192111,0.1820604398129164,0.07048759259259257,0.002246203703703704,0.0015908564814814813,0.041146481481481485,0.0,0.00017442129629629633,0.0,0.034258495370370366,0.014673344907407413
2014-03-26,AS14.30,2014-03-25-2014-03-25,6.8,8.0,-0.2,1.0,0.1341467837134854,0.18352755788299774,0.10607869212962964,0.00029431712962962967,0.0,0.02445608796296296,0.0,0.0,0.13333333333333333,0.035392870370370366,0.021230706018518525
2014-03-27,AS14.30,2014-03-26-2014-03-26,7.75,6.8,0.2,0.6,0.20092126251271453,0.2352109375044152,0.08953047453703708,0.0,0.0030023379629629627,0.03680777777777778,0.0,7.045138888888891e-05,1.0,0.032050613425925925,0.017294525462962954
2014-03-28,AS14.30,2014-03-27-2014-03-27,7.8,7.75,-0.75,1.0,0.16013329380691074,0.2064536689828943,0.09975762731481484,0.00015112268518518518,0.0004194675925925925,0.04495166666666668,0.0,0.0,0.13333333333333333,0.04206660879629631,0.01803285879629629
2014-03-29,AS14.30,2014-03-28-2014-03-28,8.4,7.8,0.0,1.0,0.24840717003596194,0.20453806714051306,0.08885886574074073,0.00015148148148148147,0.0007930902777777778,0.02378957175925926,0.00030785879629629636,0.0,0.13333333333333333,0.024603854166666675,0.01722289351851851
2014-03-30,AS14.30,2014-03-29-2014-03-29,7.6,8.4,-1.4,1.0,0.13252437397512365,0.20225546297099847,0.10918976851851847,0.0,0.0026058680555555557,0.019962361111111118,0.0,0.0,0.13333333333333333,0.057311874999999984,0.009357071759259265
2014-03-31,AS14.30,2014-03-30-2014-03-30,7.6,7.6,-1.2,1.0,0.1126500911089034,0.13541826390281875,0.053997418981481485,0.0,0.0005121064814814815,0.02527608796296297,0.002990451388888889,1.1655092592592594e-05,0.4,0.03905809027777779,0.011425162037037034
2014-04-01,AS14.30,2014-03-31-2014-03-31,7.8,7.6,-0.8,1.0,0.2345195085543214,0.15013670139290672,0.10923687500000004,0.0,0.0,0.01167488425925926,0.000591064814814815,0.0,0.0,0.01605438657407408,0.010060914351851856
2014-04-02,AS14.30,2014-04-01-2014-04-01,7.6,7.8,-1.2,1.2,0.15715008108506562,0.1490927893447655,0.052940821759259286,0.0006627777777777778,0.0,0.013592361111111112,0.00032725694444444436,0.0,0.5333333333333333,0.06039358796296295,0.05617381944444444
2014-04-03,AS14.30,2014-04-02-2014-04-02,8.0,7.6,-0.6,0.6,0.16374439803612315,0.1050205439632689,0.04545033564814816,0.0001510185185185185,0.0,0.00819896990740741,0.0,0.0,0.0,0.0312153125,0.007766944444444447
2014-04-04,AS14.30,2014-04-03-2014-04-03,7.8,8.0,0.2,1.0,0.12517288902232326,0.16735570602946798,0.0428970601851852,0.0,0.0012156018518518518,0.03408057870370372,2.3263888888888887e-05,0.0,0.06666666666666668,0.06383373842592595,0.018158136574074082
2014-04-05,AS14.30,2014-04-04-2014-04-04,8.0,7.8,-1.2,1.0,0.14254031358756433,0.1810002662048296,0.057653530092592574,0.004303900462962963,0.0,0.01684678240740741,0.0008546990740740741,0.0,0.2,0.05636369212962961,0.02023702546296297
2014-04-06,AS14.30,2014-04-05-2014-04-05,8.0,8.0,-0.8,1.0,0.06754933662828401,0.10836956017547196,0.022131099537037045,0.00024478009259259255,0.00011658564814814817,0.014495150462962963,0.0,0.0,0.13333333333333333,0.05241706018518518,0.013038634259259264
2014-04-07,AS14.30,2014-04-06-2014-04-06,7.6,8.0,-1.2,1.0,0.09103816788494114,0.11943358796890145,0.02214125,0.0,0.0,0.012585833333333338,0.0,0.0011285300925925926,0.0,0.06522671296296298,0.013434710648148144
2014-04-08,AS14.30,2014-04-07-2014-04-07,7.8,7.6,0.0,1.0,0.12195215470654062,0.18878775464163888,0.10565491898148148,0.0,0.0,0.011356435185185185,0.001895347222222221,0.0008667361111111112,0.0,0.04098381944444444,0.02386333333333333
2014-04-09,AS14.30,2014-04-08-2014-04-08,7.75,7.8,-0.6,1.0,0.15902254583937586,0.1864397916501319,0.08235114583333332,0.0003960416666666667,0.0,0.015804409722222218,3.4849537037037044e-05,0.0,0.0,0.053618900462962964,0.04523063657407407
2014-04-10,AS14.30,2014-04-09-2014-04-09,8.2,7.75,-0.5,1.0,0.1609356614846201,0.21105067128108607,0.06819644675925929,0.0,4.642361111111111e-05,0.017713449074074072,0.0,0.0,0.5333333333333333,0.07782520833333333,0.02631222222222223
2014-04-11,AS14.30,2014-04-10-2014-04-10,7.666666666666668,8.2,-1.0,1.0,0.13355324215618333,0.1319656828818498,0.04265449074074077,0.00023224537037037045,0.0,0.01637274305555556,0.0008998958333333334,0.0,0.13333333333333333,0.05781986111111113,0.009218784722222224
