MAE,MSE,RMSE,User
0.32580894393117776,0.1787934020588525,0.4198256984749988,AS14.01
0.5185936575322919,0.4588610491059957,0.6688421368361795,AS14.02
0.2834867397587173,0.14868086278528883,0.3853200231635302,AS14.03
0.452148654230974,0.7170730766800734,0.8412613851328858,AS14.05
0.4113665694336707,0.2644186799615956,0.5139572026844572,AS14.06
0.7947551948727894,1.1103620197643365,1.052112426108531,AS14.07
0.45624706472095033,0.2866174826446707,0.5344531287895448,AS14.08
0.4292913880851106,0.3607179010365235,0.5905825367538147,AS14.09
0.3894452713975862,0.2264344277908758,0.4758319795039222,AS14.12
0.5740226005412359,0.7080256309760786,0.8326713643381569,AS14.13
0.47881944444100766,0.3074942129637691,0.5517722063014066,AS14.14
0.21788594938429642,0.12252802254579623,0.34743210877649217,AS14.15
0.38332479476574505,0.2471714586818874,0.493683697485259,AS14.16
0.213029766097713,0.09340886086796746,0.30099986119252997,AS14.17
0.3577742947723407,0.20224472906191449,0.4481947805847151,AS14.19
0.2981595633032774,0.15162474931587136,0.3889861079432929,AS14.20
0.2602142282346888,0.14085602109983256,0.3720624214880389,AS14.23
0.2872575726344877,0.15374252791598203,0.3903585573177817,AS14.24
0.3984353655855811,0.25051055389712057,0.49772939335586264,AS14.25
0.49303195236016806,0.3581055876870301,0.5863991228204979,AS14.26
0.47455180558541704,0.48043739348593323,0.6880888235879903,AS14.27
0.45541666666807035,0.321316666667515,0.5645911377350983,AS14.28
0.4186859476167548,0.3171799436301351,0.5586965135011851,AS14.29
0.19853495456787604,0.08392672385245831,0.28864592702837744,AS14.30
0.2471989484349551,0.12461902430617756,0.34761445176729,AS14.31
0.42298779912481876,0.36901495525228906,0.5938529630093144,AS14.33
