Fold,MAE,MSE,RMSE,User
1,0.2979946403086313,0.13240707398651727,0.36387782837996224,AS14.01
1,0.5816666666565694,0.559472222221274,0.7479787578676776,AS14.02
1,0.28489583333339835,0.15063368055555224,0.38811555052014113,AS14.03
1,0.5425928966140022,0.9974238539031413,0.9987110963152163,AS14.05
1,0.4267857142865057,0.2816964285821098,0.5307508159033859,AS14.06
1,0.8372047851580552,1.162914342592538,1.0783850623003537,AS14.07
1,0.46351851780109193,0.33395493797375053,0.5778883438638909,AS14.08
1,0.6198128744948271,0.5783004070373662,0.7604606544965796,AS14.09
1,0.4145712212872751,0.2319714344050192,0.4816341291945777,AS14.12
1,0.6416379789267725,0.8558797207905168,0.9251376766679199,AS14.13
1,0.39999999998362484,0.22858796296342523,0.4781087355021086,AS14.14
1,0.25300000005853335,0.15470000001668066,0.3933192088071477,AS14.15
1,0.3689772691793094,0.21863654317465722,0.46758586716736555,AS14.16
1,0.22882037488889556,0.11241276763728315,0.33528013307871846,AS14.17
1,0.3536458349008856,0.19339409804045848,0.43976595825559134,AS14.19
1,0.29199999999587134,0.1442000000002355,0.3797367509212606,AS14.20
1,0.24840258804114645,0.13589281005569379,0.36863641987152296,AS14.23
1,0.26979166669236243,0.14876736112221559,0.38570372194498664,AS14.24
1,0.4284386291300552,0.29378722178993166,0.542021421892098,AS14.25
1,0.46107551995131385,0.4055065684531516,0.6367939764579684,AS14.26
1,0.5250000000001936,0.5549444444448834,0.7449459339072088,AS14.27
1,0.5020833333311793,0.3735416666628706,0.6111805516071913,AS14.28
1,0.44012659840312746,0.2918701192094055,0.5402500524844079,AS14.29
1,0.20995602748195663,0.09652282288423075,0.31068122390036823,AS14.30
1,0.27143881187903507,0.132310973735818,0.36374575425125993,AS14.31
1,0.44767842095272314,0.4771196957383663,0.690738514735038,AS14.33
2,0.3281647941618757,0.2130637722879705,0.46158831472208056,AS14.01
2,0.5466666663774038,0.533222222167629,0.7302206667628828,AS14.02
2,0.2781250000001545,0.15093750000004477,0.38850675669805895,AS14.03
2,0.389590768445623,0.573588092033531,0.7573559876527887,AS14.05
2,0.3829662777336283,0.23972829126207706,0.4896205584552972,AS14.06
2,0.7602674790660819,1.074475500104379,1.0365691004966235,AS14.07
2,0.455443434101723,0.28169046747852283,0.530745200146476,AS14.08
2,0.42868015356259237,0.35624874399110834,0.5968657671462725,AS14.09
2,0.38571428612879516,0.22857142886903342,0.47809144404500004,AS14.12
2,0.5554471311239518,0.7980642169428942,0.89334439996168,AS14.13
2,0.5111111111112718,0.3281249999989725,0.5728219618685831,AS14.14
2,0.18300000004697886,0.09610000000953803,0.3100000000153839,AS14.15
2,0.40908284889382823,0.29650775108769184,0.5445252529384582,AS14.16
2,0.24650040758337394,0.11349541353114737,0.336890803571643,AS14.17
2,0.40989583449913825,0.24901909770155847,0.4990181336400096,AS14.19
2,0.3541666666658796,0.17501388888846214,0.4183466133345197,AS14.20
2,0.2983203852330871,0.20296710033901613,0.4505187014309352,AS14.23
2,0.3097916666731071,0.16526319446407656,0.4065257611321533,AS14.24
2,0.36543793884657344,0.1664598189329002,0.40799487611108576,AS14.25
2,0.3440101967529021,0.1457172656899913,0.3817293094458314,AS14.26
2,0.507499999999366,0.544069444444293,0.73761063200329,AS14.27
2,0.38124999999811826,0.2316666666637334,0.48131763593674126,AS14.28
2,0.450000000006202,0.3877499999952826,0.6226957523504417,AS14.29
2,0.17103568367248692,0.06110551783533734,0.2471953030203797,AS14.30
2,0.17572088885878384,0.06080879219051392,0.24659438799476746,AS14.31
2,0.4178838878521602,0.41863919973569913,0.6470233378601572,AS14.33
3,0.3458384069511493,0.2283226896573735,0.4778312355396762,AS14.01
3,0.40810425819280055,0.23450226832080928,0.4842543425936512,AS14.02
3,0.3098958333333032,0.16188368055554553,0.4023477110106947,AS14.03
3,0.4760024381087679,0.5876418151091978,0.766577990232695,AS14.05
3,0.41071428571462437,0.2587500000008763,0.5086747487352564,AS14.06
3,0.755357272028366,0.9352283258757169,0.9670720375834041,AS14.07
3,0.43669550952854064,0.23999500266972001,0.48989284815122586,AS14.08
3,0.31543942978664813,0.21329939464509998,0.46184347418264987,AS14.09
3,0.39713843618223105,0.2235769895243131,0.47283928508988454,AS14.12
3,0.45705128568177145,0.3896660078964646,0.6242323348693695,AS14.13
3,0.5638888888883427,0.39393518518395626,0.6276425616415415,AS14.14
3,0.225543797431678,0.1493120901569722,0.38640922628344704,AS14.15
3,0.41730350817958595,0.3055811126771083,0.5527939151954445,AS14.16
3,0.22972989251169365,0.10372778203520445,0.32206797735137294,AS14.17
3,0.30193050830016555,0.15687821985819117,0.3960785526359527,AS14.19
3,0.2498049198813513,0.138062886151138,0.3715681446937264,AS14.20
3,0.24166666673905465,0.0995833333210814,0.3155682704599456,AS14.23
3,0.324375000122413,0.18931875024072387,0.43510774555358567,AS14.24
3,0.38556930446486887,0.26531917812035244,0.5150914269528784,AS14.25
3,0.5598040256621036,0.41691796530959513,0.6456918501186113,AS14.26
3,0.3665405556752895,0.2958884628320798,0.5439563059953252,AS14.27
3,0.4779166666654648,0.3572458333461017,0.5977004545306133,AS14.28
3,0.45750000000089247,0.3863750000013432,0.6215907013472316,AS14.29
3,0.19946185349419931,0.08609101706455151,0.2934127077421009,AS14.30
3,0.26489449570066353,0.1346800394572682,0.3669877919730685,AS14.31
3,0.5499999989338219,0.44041666620685094,0.663638957722383,AS14.33
4,0.3312379343030548,0.14138007230354865,0.37600541525827613,AS14.01
4,0.5379370389023937,0.5082474837142702,0.7129147801205066,AS14.02
4,0.2610302923680131,0.1312685900300128,0.362310074425226,AS14.03
4,0.40040851375550285,0.7096385456744233,0.8424004663308439,AS14.05
4,0.4249999999999246,0.27750000000131936,0.5267826876438892,AS14.06
4,0.8261912432386548,1.2688299104847118,1.1264235040537425,AS14.07
4,0.46933079745244555,0.29082952245668936,0.5392861229965864,AS14.08
4,0.35323309449637463,0.29502305847251953,0.5431602511897566,AS14.09
4,0.3603571419920438,0.22161785836513762,0.47076305968622645,AS14.12
4,0.6419540064324476,0.7884925782744391,0.8879710458536579,AS14.13
4,0.44027777778079136,0.2793287037087225,0.5285155661933927,AS14.14
4,0.20999999999999552,0.089999999999994,0.29999999999999,AS14.15
4,0.33793555281025656,0.16796042778809217,0.4098297546397677,AS14.16
4,0.14706838940688896,0.04399948026823484,0.20976053076838558,AS14.17
4,0.3656250013891732,0.20968750064744976,0.4579164778073069,AS14.19
4,0.2966666666700073,0.14922222222364984,0.3862929228236648,AS14.20
4,0.25246727292546695,0.12498084068353897,0.35352629418975184,AS14.23
4,0.2450719570500684,0.11162080583691217,0.3340970006404011,AS14.24
4,0.4142955899008268,0.276475996745298,0.5258098484673884,AS14.25
4,0.6072380670743525,0.4642805512953823,0.6813813552595802,AS14.26
4,0.49916666666681914,0.5268472222224767,0.7258424224461372,AS14.27
4,0.46041666667751907,0.32281249999735434,0.5681659088658474,AS14.28
4,0.32711719205679735,0.202724655314509,0.45024954782265914,AS14.29
4,0.21368625362286128,0.09198753762571361,0.30329447345066085,AS14.30
4,0.27674159730133796,0.17067629184111016,0.41312987285006414,AS14.31
4,0.27638888876056983,0.1398842593282398,0.37401104171967947,AS14.33
