indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
4,2014-03-28,AS14.13,2014-03-24-2014-03-27,8.049999999999999,5.551115123125783e-17,1.4,0.20443268122606623,7.6,4.0
5,2014-03-29,AS14.13,2014-03-25-2014-03-28,7.75,-0.5,1.25,0.21147536972875675,7.2,5.0
6,2014-03-30,AS14.13,2014-03-26-2014-03-29,7.6499999999999995,-1.25,1.05,0.27935459288348785,6.2,6.0
7,2014-03-31,AS14.13,2014-03-27-2014-03-30,7.1,-1.15,1.0,0.2310986919171891,7.0,7.0
8,2014-04-01,AS14.13,2014-03-28-2014-03-31,7.0,-1.15,0.9,0.27713188221324303,7.5,8.0
9,2014-04-02,AS14.13,2014-03-29-2014-04-01,6.975,-1.275,0.85,0.3029230339239883,7.4,9.0
10,2014-04-03,AS14.13,2014-03-30-2014-04-02,7.025,-1.125,0.85,0.30320367568746565,7.6,10.0
11,2014-04-04,AS14.13,2014-03-31-2014-04-03,7.375,-1.175,1.0,0.35153733188949055,7.8,11.0
12,2014-04-05,AS14.13,2014-04-01-2014-04-04,7.575,-1.025,1.1,0.32766617405348286,6.8,12.0
13,2014-04-06,AS14.13,2014-04-02-2014-04-05,7.4,-0.6,1.05,0.2570944054581105,6.25,13.0
14,2014-04-07,AS14.13,2014-04-03-2014-04-06,7.1125,-0.2375,0.9875,0.24437267499920673,7.4,14.0
15,2014-04-08,AS14.13,2014-04-04-2014-04-07,7.0625,-0.1375,0.8875,0.2453823028899317,8.2,15.0
16,2014-04-09,AS14.13,2014-04-05-2014-04-08,7.1625000000000005,0.21250000000000002,0.9874999999999999,0.22728061673243666,7.8,16.0
17,2014-04-10,AS14.13,2014-04-06-2014-04-09,7.4125000000000005,0.1125,1.0875,0.2357315857475657,7.6,17.0
18,2014-04-11,AS14.13,2014-04-07-2014-04-10,7.75,0.2,1.15,0.23295418111593444,6.8,18.0
19,2014-04-12,AS14.13,2014-04-08-2014-04-11,7.6000000000000005,0.45000000000000007,1.2,0.27312995763085723,6.8,19.0
20,2014-04-13,AS14.13,2014-04-09-2014-04-12,7.25,0.4,1.1,0.2659208776470396,6.6,20.0
21,2014-04-14,AS14.13,2014-04-10-2014-04-13,6.949999999999999,0.49999999999999994,1.0,0.2561897604416665,6.8,21.0
22,2014-04-15,AS14.13,2014-04-11-2014-04-14,6.75,0.19999999999999998,1.0,0.24414154507352648,6.0,22.0
23,2014-04-16,AS14.13,2014-04-12-2014-04-15,6.55,-0.15,0.75,0.21944824313469832,6.0,23.0
32,2014-04-25,AS14.13,2014-04-21-2014-04-24,7.054166666666667,-0.6125,0.9375,0.326130122246557,7.75,32.0
33,2014-04-26,AS14.13,2014-04-22-2014-04-25,7.1416666666666675,-0.32499999999999996,1.0,0.39699689117997633,8.8,33.0
34,2014-04-27,AS14.13,2014-04-23-2014-04-26,7.904166666666668,-0.4625,1.2125,0.37161176646022615,8.0,34.0
35,2014-04-28,AS14.13,2014-04-24-2014-04-27,8.054166666666667,-0.3875,1.3375,0.32820209745957557,8.166666666666666,35.0
36,2014-04-29,AS14.13,2014-04-25-2014-04-28,8.179166666666667,-1.0541666666666667,1.3375,0.2934416808251265,8.5,36.0
37,2014-04-30,AS14.13,2014-04-26-2014-04-29,8.366666666666667,-1.3041666666666667,1.3375,0.2645501891011119,7.833333333333332,37.0
38,2014-05-01,AS14.13,2014-04-27-2014-04-30,8.125,-1.1458333333333335,1.1875,0.29559435051831584,8.333333333333334,38.0
39,2014-05-02,AS14.13,2014-04-28-2014-05-01,8.208333333333332,-1.2708333333333335,1.3125,0.26605509001589106,8.0,39.0
