indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
4,2014-04-10,AS14.31,2014-04-06-2014-04-09,6.8,0.25,0.4,0.1692977966680703,7.2,4.0
5,2014-04-11,AS14.31,2014-04-07-2014-04-10,6.95,0.35,0.5,0.17776584262701453,7.8,5.0
6,2014-04-12,AS14.31,2014-04-08-2014-04-11,7.25,0.45000000000000007,0.75,0.20913492034011325,7.0,6.0
7,2014-04-13,AS14.31,2014-04-09-2014-04-12,7.25,0.45000000000000007,0.8,0.22861569095096929,6.8,7.0
8,2014-04-14,AS14.31,2014-04-10-2014-04-13,7.2,0.25,0.8999999999999999,0.26732756818318454,6.2,8.0
9,2014-04-15,AS14.31,2014-04-11-2014-04-14,6.95,-0.05000000000000002,0.75,0.2475034564767399,7.0,9.0
10,2014-04-16,AS14.31,2014-04-12-2014-04-15,6.75,-0.2,0.6375,0.2200679008149347,6.75,10.0
11,2014-04-17,AS14.31,2014-04-13-2014-04-16,6.6875,-0.35,0.5625,0.20403656536839607,7.0,11.0
12,2014-04-18,AS14.31,2014-04-14-2014-04-17,6.7375,-0.05000000000000002,0.5625,0.15435742166615224,6.8,12.0
13,2014-04-19,AS14.31,2014-04-15-2014-04-18,6.8875,0.2,0.7625,0.14482554091121114,7.8,13.0
14,2014-04-20,AS14.31,2014-04-16-2014-04-19,7.0875,0.4,0.875,0.21981339007804168,8.0,14.0
15,2014-04-21,AS14.31,2014-04-17-2014-04-20,7.4,0.7,1.15,0.28125134123472906,6.4,15.0
16,2014-04-22,AS14.31,2014-04-18-2014-04-21,7.25,0.6000000000000001,1.0,0.2680390908183211,7.0,16.0
17,2014-04-23,AS14.31,2014-04-19-2014-04-22,7.300000000000001,0.55,1.0499999999999998,0.2828261642484141,7.0,17.0
24,2014-04-30,AS14.31,2014-04-26-2014-04-29,7.05,0.6166666666666667,1.0,0.20156379240330116,7.0,24.0
25,2014-05-01,AS14.31,2014-04-27-2014-04-30,7.05,0.6333333333333333,0.95,0.11572620305721792,7.0,25.0
26,2014-05-02,AS14.31,2014-04-28-2014-05-01,6.95,0.5833333333333333,0.9,0.1048584853894823,7.0,26.0
27,2014-05-03,AS14.31,2014-04-29-2014-05-02,7.0,0.6333333333333333,0.95,0.13124793155179187,7.4,27.0
28,2014-05-04,AS14.31,2014-04-30-2014-05-03,7.1,0.8,1.0,0.11750141028642994,7.2,28.0
29,2014-05-05,AS14.31,2014-05-01-2014-05-04,7.1499999999999995,0.8999999999999999,1.05,0.08471681945031166,7.0,29.0
