,0,1,2,3,4,5,6,7,8,9,10,11
0,2014-05-15,2014-05-16,2014-05-17,2014-05-18,2014-05-19,2014-05-20,2014-05-21,2014-05-22,2014-05-23,2014-05-24,2014-05-25,2014-05-26
1,-0.09999999814625582,0.9000000018466183,-0.09999999910276536,-0.09999999955616978,0.10000000079997573,0.15000000070217556,-0.09999999878793897,-0.3499999987604152,-0.2666666652050367,0.3000000019143467,0.15000000173998007,-0.6999999985651595
2,2014-05-27,2014-05-28,2014-05-29,2014-05-30,,,,,,,,
3,0.10000000186337843,2.1000000014177287,0.9000000003851296,0.7000000002224862,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,
5,0.1,0.1,0.0001,sigmoid,,,,,,,,
