,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,0.7499999999998908,0.24999999999992983,0.49999999999987743,1.0999999999998984,0.8999999999999524,-0.10000000000003784,0.09999999999994635,-0.10000000000009734,0.2999999999996543,0.29999999999938787,0.09999999999962483,-0.7000000000003812,-0.1000000000006418,-0.10000000000094644,-7.86926079854311e-13,0.2999999999995131,-4.2454928461665986e-13,-0.1000000000006267,0.09999999999947207,-0.5000000000005178,-0.10000000000107434,-1.1164402735630574e-12,-8.855138844410249e-13,0.0999999999991239,-0.5000000000003988,-0.30000000000050786,-0.5000000000006937,-0.30000000000099636,0.09999999999848619,0.24999999999914913,-0.10000000000052722,-0.2500000000003775
2,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,,,,,,,,,,,,,,,,,,,,,,,
3,0.2999999999985681,-0.10000000000111076,0.09999999999935749,0.16666666666613317,-0.10000000000042686,-0.5000000000005862,0.09999999999917364,0.4999999999991527,-0.2500000000006608,,,,,,,,,,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.1,0.1,0.0001,sigmoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
