,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29
1,-0.38146247863769567,0.0169830322265625,-0.0045309066772460938,0.19633216857910174,0.79081516265869123,-0.017874240875244141,-0.21055383682250994,-0.8090150833129881,0.071332931518554688,-0.25387096405029297,0.0036692619323730469,-0.21157093048095721,0.79075603485107404,0.98255395889282227,-0.61905059814453089,0.0077943801879882812,-0.010524749755859375,-0.51250267028808594,-0.0025167465209960938,-0.015050411224365234,0.38433017730712926,-0.21531696319580096,-0.0083537101745605469
2,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05,,,,,,,,,,,,,,,,,
3,-0.011031150817871094,-0.008159637451171875,-0.011341094970703125,0.38567295074462926,0.18532962799072283,-0.010499477386474609,,,,,,,,,,,,,,,,,
