,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,2014-03-18,2014-03-19,2014-03-20,2014-03-21,2014-03-22,2014-03-23,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25
1,-0.27199516296386683,0.22249221801757812,-0.39417800903320277,-0.18638124465942418,-0.37774286270141566,0.41689462661743182,0.008853244781493963,0.41105957031250018,-0.2923583984375,-0.44226996103922644,-0.52745151519775391,0.39526716868082801,0.0052531242370603692,0.8152948379516598,0.40063734054565447,-0.19011487960815465,0.21549224853515625,0.70087003707885742,0.60002985000610387,0.80038986206054652,0.20053768157958984,-0.29585599899291992,-0.52433300018310547,0.82347831726074183,0.79738578796386683,0.20079183578491211,0.80901489257812464,-0.19909706115722692,-0.38527069091796839,-0.16862478256225621,-0.58353643417358381,-0.77491474151611328,1.0379608154296873,-0.40200195312499964,-0.37248096466064418,-0.76398706436157227,-1.137191200256348,-0.058966954549152462,-0.46234003702799598
2,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.78699398040771484,-0.70893096923828125,-0.96267099380493182,-0.97062921524047852,-0.029770215352375118,0.20943498611450195,0.4056312561035158,0.60520496368408239,0.0012190818786619317,-0.1263864835103341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
