predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,office,social,gsm,amusement,system
2014-03-19,AS14.08,2014-03-17-2014-03-18,7.0,1,0,5.9,-0.1,0.4,0.017023458668746713,0.015838304396580766,0.03749949074074074,0.0,0.04269311921296297,0.0,0.0008263310185185185,0.00036171296296296304
2014-03-20,AS14.08,2014-03-18-2014-03-19,6.4,1,0,6.7,-0.2,0.8,0.04575426250146304,0.018203877307198663,0.010003506944444445,0.0,0.0061265856481481475,0.038461538461538464,0.0009795196759259258,0.0004279687499999999
2014-03-21,AS14.08,2014-03-19-2014-03-20,6.6,0,1,6.7,-0.2,0.9,0.060270520448440223,0.01692135415833305,0.007471932870370368,0.0,0.007665295138888889,0.07692307692307693,0.00015318865740740739,0.028535381944444452
2014-03-22,AS14.08,2014-03-20-2014-03-21,6.4,0,1,6.5,-0.30000000000000004,0.7,0.033233090020272464,0.02288469328234593,0.015954050925925927,0.0,0.010153408564814814,0.19230769230769232,0.0,0.029670491898148153
2014-03-23,AS14.08,2014-03-21-2014-03-22,7.2,0,1,6.5,-0.4,0.7,0.015586878408501096,0.021553929398457204,0.03938913194444445,0.0,0.008900115740740738,0.15384615384615385,0.0,0.001682939814814815
2014-03-24,AS14.08,2014-03-22-2014-03-23,6.8,1,0,6.800000000000001,-0.30000000000000004,0.8,0.03220813992033004,0.012969762735344746,0.027206822916666665,0.0,0.011954236111111106,0.07692307692307693,0.0,0.0011301041666666666
2014-03-25,AS14.08,2014-03-23-2014-03-24,7.2,1,0,7.0,-0.5,0.9,0.0442463690754861,0.01934359953773243,0.0032776157407407407,0.0,0.01917330439814815,0.07692307692307693,0.0,0.0011234953703703704
2014-03-26,AS14.08,2014-03-24-2014-03-25,6.5,1,0,7.0,-0.7,1.0,0.03160278730258821,0.015591874998752725,0.009629693287037038,0.0,0.01239318865740741,0.038461538461538464,0.0005157407407407409,0.0005734606481481482
2014-04-06,AS14.08,2014-04-04-2014-04-05,7.6,0,1,7.45,0.225,1.225,0.07976905700070755,0.017366643523176517,0.010505109953703701,0.0,0.01317694444444444,0.07692307692307693,0.00044506944444444444,0.001175109953703704
2014-04-07,AS14.08,2014-04-05-2014-04-06,7.0,1,0,7.5,0.1,1.225,0.06784718835147302,0.01754314815004667,0.007429241898148147,0.0,0.006749641203703705,0.0,0.0005089120370370371,0.0006125983796296296
2014-04-08,AS14.08,2014-04-06-2014-04-07,6.5,1,0,7.3,0.0,1.125,0.05487668454197749,0.033206377308125846,0.015689988425925932,0.0,0.010308466435185189,0.2692307692307692,0.0021957638888888895,0.0025790624999999993
2014-04-09,AS14.08,2014-04-07-2014-04-08,6.25,1,0,6.75,-0.125,0.75,0.08031071301155979,0.040547112265118826,0.022867719907407415,0.0,0.013468842592592598,0.2692307692307692,0.002671082175925926,0.0026884432870370365
2014-04-10,AS14.08,2014-04-08-2014-04-09,7.6,1,0,6.375,0.0,0.5,0.049257279096704354,0.02875513310923619,0.019342685185185192,0.0,0.017764415509259262,0.0,0.0005391608796296296,0.0012600752314814814
2014-04-11,AS14.08,2014-04-09-2014-04-10,7.6,0,1,6.925,0.725,0.95,0.1234697643540887,0.039150202547510456,0.02854100115740741,0.0,0.016597418981481486,0.0,0.0013352199074074074,0.0014847743055555556
2014-04-12,AS14.08,2014-04-10-2014-04-11,7.0,0,1,7.6,0.8999999999999999,1.2,0.14035440595232912,0.03439048611455493,0.020917193287037034,0.0,0.010807835648148148,0.038461538461538464,0.0015212557870370369,0.0011159895833333332
