predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
2014-03-23,AS14.01,2014-03-21-2014-03-22,6.8,0,1,6.300000000000001,0.4,0.35,0.18546516161467339,0.1395895138865819,0.06506833333333335,0.0004086805555555556,0.0009965625000000003,0.028635023148148152,0.005513599537037038,0.4545454545454546,0.00637025462962963,0.02654526620370371
2014-03-24,AS14.01,2014-03-22-2014-03-23,6.0,1,0,6.6,0.4,0.65,0.1898106675225109,0.07474532986680664,0.059029149305555556,0.0003731423611111112,0.0,0.007757355324074072,0.00021588541666666666,0.18181818181818185,0.001086053240740741,0.012531145833333335
2014-03-25,AS14.01,2014-03-23-2014-03-24,6.75,1,0,6.4,0.5,0.4,0.11085108596033083,0.12627999422450856,0.0839580324074074,0.0004485474537037038,1.7418981481481478e-05,0.02386843171296296,0.002429427083333334,0.4545454545454546,0.006199751157407407,0.013669097222222221
2014-03-26,AS14.01,2014-03-24-2014-03-25,6.6,1,0,6.375,0.65,0.25,0.08866758425305238,0.21135825231257405,0.11312141203703704,0.0004465277777777778,1.7418981481481478e-05,0.02976329282407407,0.002429427083333334,0.5,0.0060484780092592595,0.013317991898148147
2014-03-27,AS14.01,2014-03-25-2014-03-26,7.0,1,0,6.675,0.15,0.55,0.09984121703029133,0.2193238194410999,0.11149018518518519,0.0005519965277777778,0.0,0.03768246527777777,0.0,0.04545454545454546,0.005663686342592592,0.014215989583333331
2014-03-28,AS14.01,2014-03-26-2014-03-27,6.4,0,1,6.8,0.0,0.7,0.1304094813195867,0.19598351272995823,0.09216009837962964,0.0005471643518518518,0.0010558506944444443,0.031987499999999995,0.0002738078703703704,0.13636363636363635,0.008968854166666665,0.015099641203703698
2014-03-29,AS14.01,2014-03-27-2014-03-28,8.0,0,1,6.7,-0.19999999999999998,0.7,0.12760433130310883,0.12943078124412782,0.045158246527777786,0.0007603298611111111,0.0010558506944444443,0.008380335648148149,0.006830572916666665,0.3636363636363636,0.010866770833333334,0.06812886574074076
2014-04-08,AS14.01,2014-04-06-2014-04-07,6.6,1,0,6.5,-0.7083333333333333,0.375,0.057539210308393,0.10019504050689712,0.061983553240740744,0.00026694444444444443,9.899884259259258e-05,0.010398599537037036,0.00034865162037037037,0.22727272727272732,0.0043329918981481474,0.03314872106481481
2014-04-09,AS14.01,2014-04-07-2014-04-08,7.4,1,0,6.55,-0.5333333333333333,0.29166666666666663,0.06299883971783318,0.14437218172268731,0.09741069444444445,0.00037765625,9.899884259259258e-05,0.023903582175925926,0.00034865162037037037,0.09090909090909093,0.022648148148148143,0.01193298611111111
2014-04-10,AS14.01,2014-04-08-2014-04-09,7.4,1,0,7.0,-0.6000000000000001,0.6666666666666666,0.09785558639683861,0.16585313080361597,0.09059391782407406,0.00011071180555555556,0.0,0.03172147569444445,0.0,0.22727272727272732,0.02550491319444444,0.018199120370370372
2014-04-11,AS14.01,2014-04-09-2014-04-10,7.0,0,1,7.4,-0.6000000000000001,0.9,0.09967360986360992,0.1322591898162608,0.06399587384259257,0.0,0.00013423032407407405,0.023154322916666675,0.0,0.5,0.01620788194444445,0.019149409722222222
2014-04-12,AS14.01,2014-04-10-2014-04-11,7.25,0,1,7.2,-0.8,0.8,0.0794746536339758,0.11471611689500236,0.047557887731481494,0.0005445196759259259,0.00013423032407407405,0.010251875000000002,0.00019811342592592594,0.3181818181818182,0.022199594907407416,0.027064357638888883
2014-04-13,AS14.01,2014-04-11-2014-04-12,8.0,0,1,7.125,-0.975,0.775,0.07611763177168934,0.12892161459006643,0.05747497106481481,0.0005445196759259259,0.0,0.004984021990740741,0.00022722800925925927,0.0,0.024089236111111113,0.024528454861111108
2014-04-14,AS14.01,2014-04-12-2014-04-13,7.2,1,0,7.625,-1.0,0.875,0.04313519521234445,0.0796097222232708,0.04451318287037036,0.0004769270833333334,0.0,0.0017299421296296299,2.9114583333333337e-05,0.0,0.014096493055555557,0.006378778935185184
2014-04-15,AS14.01,2014-04-13-2014-04-14,6.4,1,0,7.6,-1.225,0.8,0.048954321712127456,0.11568980901881502,0.04388355902777779,0.0009938425925925928,0.0,0.017109299768518518,0.000168425925925926,0.09090909090909093,0.03770224537037037,0.013860011574074075
2014-04-16,AS14.01,2014-04-14-2014-04-15,7.2,1,0,6.800000000000001,-0.6,0.7,0.08699973362530472,0.18270064234733585,0.07355622106481483,0.0005923958333333334,0.0,0.042535850694444446,0.00021682291666666676,0.5,0.041724988425925924,0.022128148148148143
2014-04-17,AS14.01,2014-04-15-2014-04-16,6.6,1,0,6.800000000000001,0.375,0.65,0.1031112444539237,0.1510862152623358,0.06596786458333333,7.548032407407407e-05,0.0,0.03669596064814816,4.839699074074074e-05,0.4545454545454546,0.00793550925925926,0.017496232638888883
2014-04-18,AS14.01,2014-04-16-2014-04-17,6.8,0,1,6.9,0.175,0.55,0.0865140963996095,0.15938052661854915,0.09854372106481481,0.0,0.0,0.02326387731481482,0.0,0.13636363636363638,0.0032926793981481496,0.010122216435185186
2014-04-19,AS14.01,2014-04-17-2014-04-18,7.8,0,1,6.699999999999999,-0.6000000000000001,0.7,0.07547543168353646,0.16498384838164953,0.09950807870370368,0.0006896006944444443,0.0,0.023733032407407408,0.00036964120370370373,0.13636363636363638,0.005304369212962962,0.014765607638888888
2014-04-20,AS14.01,2014-04-18-2014-04-19,7.25,0,1,7.3,-0.5,0.9,0.09673245920940818,0.15499986689951684,0.046700908564814805,0.0012430092592592592,0.0,0.013834456018518518,0.0011155324074074073,0.09090909090909093,0.00736523148148148,0.018527569444444444
2014-04-21,AS14.01,2014-04-19-2014-04-20,7.6,1,0,7.525,-0.225,0.875,0.08712407738347812,0.12521276620941035,0.04463532407407407,0.0006147858796296296,0.0,0.015245451388888885,0.0007458912037037036,0.22727272727272732,0.007094039351851851,0.013137193287037038
