predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,social,travel,weather,gsm,amusement,system
2014-04-03,AS14.28,2014-04-01-2014-04-02,8.0,1,0,7.15,-0.1,0.2,0.08491282853004828,0.11855968750047466,0.03328692708333332,0.002008981481481482,0.033198744212962976,0.0029534664351851853,0.00026073495370370383,0.1111111111111111,0.008193287037037037,0.038502569444444454
2014-04-04,AS14.28,2014-04-02-2014-04-03,5.75,0,1,7.4,-0.1,0.825,0.09716436424645288,0.12183316552252685,0.03240892939814814,0.0018074131944444448,0.03450506365740742,0.0018148090277777774,0.0007681712962962963,0.05555555555555555,0.011292690972222222,0.05540250578703701
2014-04-05,AS14.28,2014-04-03-2014-04-04,7.6,0,1,6.875,-0.25,0.625,0.1380094985615559,0.13267226274780655,0.049489999999999985,0.00041635416666666665,0.02940739583333334,0.002255543981481481,0.0008403645833333334,0.08333333333333333,0.009800341435185185,0.059678333333333305
2014-04-06,AS14.28,2014-04-04-2014-04-05,7.2,0,1,6.675,-0.65,0.4,0.0763828682479054,0.12552559606179042,0.04137270254629628,0.0001974768518518518,0.028272077546296293,0.0013674363425925926,0.00036215277777777786,0.08333333333333333,0.008154328703703704,0.03621640625
2014-04-07,AS14.28,2014-04-05-2014-04-06,8.0,1,0,7.4,-0.7,0.7,0.020056413726602246,0.08028020831997748,0.01449463541666667,0.0,0.028588518518518513,0.0,2.9224537037037036e-05,0.0,0.006095856481481482,0.02029164930555556
2014-04-15,AS14.28,2014-04-13-2014-04-14,6.8,1,0,7.0,-0.8,0.625,0.07427228866651997,0.1194462210836786,0.05137099537037039,0.00026285300925925933,0.02555958333333333,4.2071759259259255e-05,0.0010018344907407406,0.08333333333333333,0.0044509722222222225,0.04357283564814818
2014-04-16,AS14.28,2014-04-14-2014-04-15,6.2,1,0,6.8,-0.6,0.45,0.11168908745160727,0.11996675927053997,0.04742766782407409,0.0011500231481481483,0.02936707754629629,4.2071759259259255e-05,0.000637048611111111,0.027777777777777776,0.006225063657407407,0.05189157986111115
2014-04-17,AS14.28,2014-04-15-2014-04-16,7.8,1,0,6.5,0.19999999999999998,0.0,0.07657545072191635,0.1158266435149643,0.036547002314814815,0.0013298553240740744,0.038997777777777784,0.0,0.0007121527777777777,0.0,0.013905422453703704,0.041261782407407424
2014-04-18,AS14.28,2014-04-16-2014-04-17,5.8,0,1,7.0,0.04999999999999999,0.175,0.07191487086652165,0.11375655670270873,0.03081879050925926,0.0006234837962962965,0.03982112268518519,0.0,0.0004585416666666666,0.05555555555555555,0.013356851851851852,0.035096776620370376
2014-04-19,AS14.28,2014-04-17-2014-04-18,6.75,0,1,6.8,-0.35,0.375,0.07134424750272253,0.11568056711168198,0.02617249421296297,0.0013639120370370367,0.028307031249999996,0.000829375,0.0004119097222222221,0.05555555555555555,0.011904565972222222,0.035715908564814804
