,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2014-05-12,2014-05-13,2014-05-14,2014-05-15,2014-05-16,2014-05-17,2014-05-18,2014-05-23,2014-05-24,2014-05-25,2014-05-26,2014-05-27,2014-05-28,2014-05-29,2014-05-30
1,-0.24965286254882812,-1.3356494903564453,0.69546349843342981,-0.31460809707641602,0.65791988372802734,-0.36508750915527344,-0.25426578521728516,-0.39211527506510535,0.11037435531616246,-0.076444625854492188,-0.94507656097412074,-0.13406019210815412,1.8773958206176751,0.56026268005371094,0.35631923675537092
2,2014-05-19,2014-05-20,2014-05-21,2014-05-22,,,,,,,,,,,
3,-0.10409574508666974,-0.0091495513916015625,-0.31357097625732422,-0.51018190383911133,,,,,,,,,,,
