,Unnamed: 0,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,weather,gsm,amusement,system
1,2014-03-21,7.8,-0.4,1.2,0.2122594681147313,0.11372296295508184,0.03598157407407406,0.0,0.0,0.019507337962962955,0.0,0.0,0.3333333333333333,0.049561180555555535,0.011948622685185182
2,2014-03-22,7.6,-0.8,1.0,0.22079067100843272,0.16810881944166284,0.09950188657407404,0.0,0.0,0.022036423611111116,0.0,0.0,0.0,0.023744560185185188,0.015859710648148142
3,2014-03-23,7.8,-0.6,1.0,0.1212586113947738,0.18553873841685264,0.05710320601851854,0.0,0.0,0.036746168981481496,0.0,0.0042469560185185206,0.0,0.06568363425925923,0.01166866898148148
4,2014-03-24,7.8,-0.2,1.0,0.1440737345192111,0.18206043981291636,0.07048759259259257,0.002246203703703704,0.0015908564814814813,0.041146481481481485,0.0,0.00017442129629629633,0.0,0.034258495370370366,0.014673344907407413
5,2014-03-25,8.0,-0.2,1.0,0.1341467837134854,0.18352755788299774,0.10607869212962964,0.00029431712962962967,0.0,0.02445608796296296,0.0,0.0,0.13333333333333333,0.035392870370370366,0.021230706018518525
6,2014-03-26,6.8,0.2,0.6,0.20092126251271453,0.23521093750441516,0.08953047453703708,0.0,0.0030023379629629627,0.03680777777777778,0.0,7.045138888888891e-05,1.0,0.032050613425925925,0.017294525462962954
7,2014-03-27,7.75,-0.75,1.0,0.16013329380691074,0.2064536689828943,0.09975762731481484,0.00015112268518518518,0.0004194675925925925,0.04495166666666668,0.0,0.0,0.13333333333333333,0.04206660879629631,0.01803285879629629
8,2014-03-28,7.8,0.0,1.0,0.24840717003596194,0.20453806714051306,0.08885886574074073,0.00015148148148148147,0.0007930902777777778,0.02378957175925926,0.00030785879629629636,0.0,0.13333333333333333,0.024603854166666675,0.01722289351851851
9,2014-03-29,8.4,-1.4,1.0,0.13252437397512365,0.20225546297099847,0.10918976851851847,0.0,0.0026058680555555557,0.019962361111111118,0.0,0.0,0.13333333333333333,0.057311874999999984,0.009357071759259265
10,2014-03-30,7.6,-1.2,1.0,0.1126500911089034,0.13541826390281875,0.053997418981481485,0.0,0.0005121064814814815,0.02527608796296297,0.002990451388888889,1.1655092592592594e-05,0.4,0.03905809027777779,0.011425162037037034
11,2014-03-31,7.6,-0.8,1.0,0.2345195085543214,0.15013670139290672,0.10923687500000004,0.0,0.0,0.01167488425925926,0.000591064814814815,0.0,0.0,0.01605438657407408,0.010060914351851856
12,2014-04-01,7.8,-1.2,1.2,0.15715008108506562,0.1490927893447655,0.052940821759259286,0.0006627777777777778,0.0,0.013592361111111112,0.00032725694444444436,0.0,0.5333333333333333,0.06039358796296295,0.05617381944444444
13,2014-04-02,7.6,-0.6,0.6,0.16374439803612315,0.1050205439632689,0.04545033564814816,0.0001510185185185185,0.0,0.00819896990740741,0.0,0.0,0.0,0.0312153125,0.007766944444444447
14,2014-04-03,8.0,0.2,1.0,0.12517288902232326,0.16735570602946798,0.0428970601851852,0.0,0.0012156018518518518,0.03408057870370372,2.3263888888888887e-05,0.0,0.06666666666666668,0.06383373842592595,0.018158136574074082
15,2014-04-04,7.8,-1.2,1.0,0.14254031358756433,0.18100026620482956,0.057653530092592574,0.004303900462962963,0.0,0.01684678240740741,0.0008546990740740741,0.0,0.2,0.05636369212962961,0.02023702546296297
16,2014-04-05,8.0,-0.8,1.0,0.06754933662828401,0.10836956017547196,0.022131099537037045,0.00024478009259259255,0.00011658564814814817,0.014495150462962963,0.0,0.0,0.13333333333333333,0.05241706018518518,0.013038634259259264
17,2014-04-06,8.0,-1.2,1.0,0.09103816788494114,0.11943358796890145,0.02214125,0.0,0.0,0.012585833333333338,0.0,0.0011285300925925926,0.0,0.06522671296296298,0.013434710648148144
18,2014-04-07,7.6,0.0,1.0,0.12195215470654062,0.18878775464163886,0.10565491898148148,0.0,0.0,0.011356435185185185,0.0018953472222222214,0.0008667361111111113,0.0,0.04098381944444444,0.02386333333333333
28,2014-04-17,7.6,-0.8,1.0,0.16125317321275245,0.22624756945780025,0.0635067476851852,0.0011059953703703702,0.0,0.020810960648148143,0.0,0.0,0.0,0.11116920138888887,0.021583657407407416
29,2014-04-18,7.4,-1.2,1.0,0.04122046884938695,0.20442650463294101,0.05421513888888889,0.0004686342592592593,0.0,0.03598325231481481,0.0,0.0,0.0,0.07946170138888888,0.010408888888888893
30,2014-04-19,7.8,-1.2,1.0,0.0998534588835592,0.13073842592261467,0.020942696759259256,0.00012780092592592593,0.0,0.02522396990740741,0.0,3.4814814814814805e-05,0.06666666666666668,0.0632390625,0.010787743055555552
31,2014-04-20,7.75,-1.25,1.0,0.10913892761391042,0.1614494560134631,0.0574228125,0.0,0.0,0.014998738425925922,0.0,0.0,0.0,0.0596294212962963,0.011083900462962964
