,Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
2,2014-03-19,6.8,0.4,0.4,0.31563175685064315,0.09470783565055448,0.030057743055555544,0.0005534143518518518,0.006564409722222219,0.2,0.0022701273148148147,0.017992569444444443
3,2014-03-20,7.25,-0.5,0.75,0.2390249602103473,0.05046682871878149,0.024934849537037042,0.0015231249999999993,0.0,0.4,0.0017150462962962965,0.020578437500000005
4,2014-03-21,7.5,-0.75,0.75,0.2896279249001075,0.12911864582311214,0.033083865740740764,0.004490983796296296,0.005119166666666667,0.4,0.005319490740740741,0.02581369212962965
5,2014-03-22,6.5,-1.0,-0.5,0.44604368683290135,0.08784215281131093,0.021438148148148158,0.004729942129629629,0.009034918981481479,1.0,0.007672581018518522,0.02234104166666666
6,2014-03-23,6.25,-1.0,0.0,0.2696971570335323,0.052413506952148914,0.02129512731481481,0.001990671296296297,0.014620243055555556,0.32,0.004491875,0.010353078703703706
7,2014-03-24,6.4,0.2,-0.2,0.15612466250149995,0.032021400456627186,0.03486320601851852,0.0026944560185185183,0.0,0.16,0.006157557870370368,0.012424722222222226
8,2014-03-25,7.75,-1.25,0.75,0.2305136548564537,0.05367347222235469,0.03227721064814815,0.0017181365740740742,0.0,0.24,0.00531931712962963,0.03248762731481482
9,2014-03-26,7.2,-1.2,0.4,0.2939534624058421,0.07025034723182517,0.029326956018518518,0.01807896990740741,0.0,0.16,0.008878993055555553,0.020101203703703708
10,2014-03-27,7.25,0.0,0.5,0.22884900892215096,0.06651598378188081,0.034687997685185205,0.0009417361111111113,0.0,0.08,0.00568033564814815,0.02701721064814814
11,2014-03-28,6.8,-0.6,0.6,0.2615983280781396,0.045944224527036726,0.014411192129629637,0.0314492476851852,0.0,0.36,0.008190277777777779,0.01218883101851852
12,2014-03-29,7.25,-0.75,0.25,0.4324693550603951,0.050963460620906634,0.02478575231481481,0.006063125000000001,0.005806064814814815,0.12,0.012306342592592593,0.20157731481481475
13,2014-03-30,7.0,-1.0,0.75,0.24188730879396786,0.04556761572758356,0.012857129629629632,0.003737280092592593,0.0,0.4,0.014798541666666666,0.008944293981481484
20,2014-04-06,4.5,-1.0,-1.25,0.21520952016085249,0.04224499998269258,0.014170393518518518,0.004531736111111113,0.0,0.2,0.007164120370370374,0.0066711226851851844
21,2014-04-07,6.8,0.0,0.6,0.13652373439609958,0.0736866550727023,0.043532164351851865,0.02324287037037037,0.0,0.04,0.008540694444444445,0.01716375
22,2014-04-08,6.25,-0.25,0.5,0.261951037621564,0.047212407401314514,0.02622517361111111,0.00736403935185185,0.0,0.4,0.0022393518518518517,0.013712708333333323
23,2014-04-09,7.25,-0.5,0.25,0.24720984804489024,0.06663687500688764,0.0261058449074074,0.003406493055555556,0.0,0.48,0.007259675925925925,0.016516458333333327
24,2014-04-10,7.25,0.25,0.75,0.2607506038432932,0.09078980322513316,0.03155366898148148,0.006560266203703704,0.00607769675925926,0.04,0.00804773148148148,0.015109918981481481
25,2014-04-11,6.5,-0.5,0.5,0.4244814273084368,0.06724571760605882,0.027127233796296286,0.0036995949074074062,0.007302418981481483,0.28,0.00811023148148148,0.01791888888888888
26,2014-04-12,6.0,-2.0,-1.0,0.3783017333120428,0.04234744214349323,0.017555173611111117,0.0018193518518518515,0.0041919560185185185,0.24,0.0,0.021222847222222216
27,2014-04-13,7.2,-0.6,0.4,0.2898201182828,0.025172118028556862,0.009898368055555551,0.00142443287037037,0.0018477546296296304,0.0,0.0043,0.0059133449074074045
28,2014-04-14,8.0,0.75,1.0,0.18707405017212794,0.03209540510343181,0.021093483796296296,0.0006576041666666668,0.0,0.56,0.0011084722222222225,0.010352546296296292
29,2014-04-15,7.25,-0.5,0.5,0.1736288831786874,0.00811674769001979,0.005161076388888889,0.00029381944444444437,0.0,0.56,0.00022752314814814814,0.0011373379629629633
30,2014-04-16,6.666666666666668,-0.3333333333333333,0.3333333333333333,0.3532763532763534,0.0012648611074244536,0.0,0.0,0.0,0.64,0.0,0.001448298611111111
31,2014-04-17,6.5,0.25,0.0,0.4700854700854705,0.0004772569404708011,0.0004351967592592593,0.0,0.0,0.64,0.0,2.3229166666666664e-05
