"AS14.06.time" "AS14.06.activity" "AS14.06.appCat.builtin" "AS14.06.appCat.communication" "AS14.06.appCat.entertainment" "AS14.06.appCat.game" "AS14.06.appCat.office" "AS14.06.appCat.other" "AS14.06.appCat.social" "AS14.06.appCat.travel" "AS14.06.appCat.unknown" "AS14.06.appCat.weather" "AS14.06.call" "AS14.06.circumplex.arousal" "AS14.06.circumplex.valence" "AS14.06.mood" "AS14.06.screen" "AS14.06.sms"
2014-03-24 0.0434318996415771 10.87375 37.9487586206897 16.020552238806 NA NA 27.5435 41.7567142857143 NA NA NA 1 -1 0 7 73.7722058716942 NA
2014-03-25 0.137708587708588 38.9623333333333 45.7081046511628 15.3059642857143 NA 23.0781666666667 18.7033333333333 48.5962222222222 NA NA NA NA -0.2 0.6 7 72.2408411280017 NA
2014-03-26 0.135562652965878 21.2512 33.6927083333333 8.09525726141079 NA 35.692 12.0094 95.2622121212121 43.3981538461538 NA NA 1 0.5 1.5 8 64.692877058123 NA
2014-03-27 0.132328605200946 74.8137142857143 45.9754545454545 12.7111865284974 NA NA 11.1296 45.0640833333333 NA NA NA 1 0.25 0.25 7 83.3383367402213 NA
2014-03-28 0.171470794200033 8.4622 35.1783431372549 10.6737754010695 NA 21.1315 40.8706666666667 89.9237631578947 40.0075 NA NA NA -0.2 0.8 7.6 77.8498651900988 1
2014-03-29 0.111580882352941 10.8036666666667 40.9018043478261 6.72269230769231 NA NA 16.9111666666667 39.29759375 NA NA NA NA 0 1 7.8 55.8161571400506 NA
2014-03-30 0.211297852474323 48.0683076923077 24.993 18.7080818181818 795.444 NA 8.8782 98.6711428571429 NA NA 1.61966666666667 1 0 0.8 7.8 135.359409075795 1
2014-03-31 0.160605456891317 168.099583333333 27.1196710526316 13.2765494505495 NA 27.522 9.8612 65.8510975609756 NA NA NA 1 -0.2 0.4 7 80.6916344140166 NA
2014-04-01 0.225853623402472 61.4310909090909 59.3341323529412 6.10677165354331 866.915 NA 11.3522 69.50371875 NA NA NA 1 0 0.75 7.75 144.325344821502 NA
2014-04-02 0.162552521008403 49.8045833333333 44.8050707070707 6.22147807017544 NA 55.6666666666667 11.7388 69.407487804878 22.122 NA NA 1 -0.6 0.4 6.8 82.734270278398 NA
2014-04-03 0.209573898096298 33.9493333333333 44.7801724137931 8.17794409937888 9.028 NA 9.12866666666667 53.5896571428571 41.87875 NA NA 1 0 0.4 7.2 77.5105108722396 NA
2014-04-04 0.14952380952381 53.7424375 57.7432096774194 8.99111842105263 272.788666666667 NA 8.3464 98.7673333333333 78.566 NA NA NA -0.4 0.2 7 116.820787501335 NA
2014-04-05 0.292273901808785 33.6015 31.0069555555556 5.95174468085106 NA NA 16.3166 138.807894736842 39.8933333333333 NA NA 1 -0.4 0.8 7 66.0901290332118 NA
2014-04-06 0.0204257246376812 126.756166666667 42.2275714285714 9.52071428571429 NA NA 15.3442 138.297545454545 NA NA NA 1 -1 0.4 7 176.684833312035 NA
2014-04-07 0.194947209653092 33.5738333333333 41.9192073170732 5.59059615384615 NA NA 8.6914 63.1907222222222 37.449 NA NA 1 -0.6 0 6.2 107.039482749742 NA
2014-04-08 0.174948559670782 92.8305925925926 49.389425 9.34355294117647 636.958 57.6056666666667 12.2512 54.0344285714286 4.01 NA NA 1 -0.2 0 6.6 89.7725777652529 1
2014-04-09 0.103095975232198 198.7415 46.6098888888889 13.8453072916667 NA 473.817 12.1544 113.82265625 123.808 NA 1.007 1 0.4 0.8 7.4 104.191043010322 NA
2014-04-10 0.224284245166598 70.5735454545455 34.93525 4.35147417840376 9.124 NA 8.22942857142857 80.3159487179487 38.7301739130435 NA 26.138 1 -0.2 0.8 7.6 80.3442234029161 1
2014-04-11 0.205916709564537 9.6836 37.6707435897436 31.0146682926829 NA 90.136 12.3242 71.6904222222222 25.18 NA NA NA -0.2 1 7.8 64.3071886750887 NA
2014-04-12 0.23391223155929 23.4231818181818 28.431125 15.65492 371.671 NA 18.1786 71.592 35.4435 NA 16.081 NA 0.4 1 8.2 85.8384081782127 NA
2014-04-13 0.344741532976827 102.46525 51.283329113924 4.64197385620915 NA NA 9.2725 86.01448 33.7490833333333 NA NA 1 -1.5 0.25 6.5 107.886408453256 NA
2014-04-14 0.178742937853107 111.3333 34.5330172413793 4.84019491525424 NA 29.434 9.6395 41.2631176470588 NA NA NA 1 -0.25 0.75 7.25 73.1718688402019 NA
2014-04-15 0.200563607085346 74.4648 45.5324117647059 6.90369677419355 NA 71.646 11.7946 77.8126388888889 18.202 NA 6.028 1 -0.4 0.6 7 93.6136111087269 1
2014-04-16 0.145065084857472 127.7118 50.939992248062 9.66049206349206 NA 18.5 10.9765 56.43221875 20.15775 NA NA 1 0 0.4 7.6 142.228071417127 NA
2014-04-17 0.151670692431562 38.873375 44.82571 15.3791380952381 NA 27.0901818181818 96.2706 62.7649545454545 37.3 NA NA 1 0.2 0.6 6.8 120.908892166381 NA
2014-04-18 0.146215475437487 79.408 38.6084111111111 12.4588301886792 76.947 10.072 11.577 57.0914375 47.4185714285714 NA NA 1 -1 0.5 6.25 79.238797766439 NA
2014-04-19 0.0982638888888889 33.1595555555556 50.5016229508197 8.31086013986014 NA NA 12.3782 31.4866666666667 116.222 NA NA 1 0.2 0.6 6.8 56.9019456609436 NA
2014-04-20 0.0296575670498084 21.023 38.4176 13.3936847826087 NA NA 8.78566666666667 92.69340625 NA NA NA NA 0.6 0.8 8.2 103.743924536795 NA
2014-04-21 0.0782393726721457 9.0255 33.7972386363636 13.1153333333333 NA NA 12.1622 91.29 35.76725 NA NA 1 0.2 0.6 7 70.0418235273922 NA
2014-04-22 0.144497799119648 81.99395 49.0355483870968 13.5634950166113 NA 14.6553333333333 14.4924 43.0203823529412 76.9833333333333 NA NA 1 -0.4 0.6 6.6 85.1936836081036 1
2014-04-23 0.13372735533588 29.64725 49.6217297297297 10.497628440367 NA 34.2916666666667 23.0573333333333 101.9524 63.9543333333333 NA 26.582 1 0 0.8 7 92.9124952338991 NA
2014-04-24 0.235710512674134 76.2705 40.02342 4.96238425925926 NA 4.016 24.6818 53.238 34.6781666666667 NA 15.117 1 -0.25 0.75 7.75 54.4441287824602 1
2014-04-25 0.265 42.5625263157895 34.0212087912088 9.52767379679144 NA 29.8395 8.07666666666667 118.649703703704 85.1313333333333 NA NA 1 -1 0.4 6.4 87.0107978709201 NA
2014-04-26 0.206597222222222 20.4347058823529 40.0170289855072 5.9022972972973 NA 17.04425 16.487 64.7662727272727 462.0155 NA NA 1 0 1 7.5 51.9393739932921 1
2014-04-27 0.0597158394607843 NA 37.7872142857143 4.85468493150685 NA NA 10.5112 54.4883076923077 83.32 NA NA NA -0.6 1 7.2 35.6319791773955 NA
2014-04-28 0.172324434824435 12.56575 45.1876847826087 6.26023033707865 NA 15.7415 7.30725 49.18303125 NA NA NA NA -0.25 0.5 6.75 67.4747216578611 NA
2014-04-29 0.17519711588339 118.656583333333 50.2879285714286 11.5003535911602 NA 0.044 10.07325 123.446555555556 NA NA NA 1 0 1 7.25 89.7921263243022 NA
2014-04-30 0.108884277515771 65.73425 39.7044210526316 12.0807788944724 NA 30.7223333333333 8.5034 66.8762083333333 63.787 NA NA 1 -0.6 0.6 6.8 88.1362857064422 NA
2014-05-01 0.326726844583987 18.1634375 36.931935483871 15.9667714285714 NA 11.035 8.6382 120.6588 34.581375 NA NA 1 0 1 8 68.278000002106 NA
2014-05-02 0.185263653483992 76.3319166666667 50.043862745098 3.87638 NA NA 7.472 158.296588235294 43.8955 NA 7.101 1 NA NA 7.2 145.530063791478 NA
2014-05-03 0.22025871459695 2.0045 34.3140344827586 3.55710606060606 NA 123.711 12.6478333333333 49.4587 NA NA NA NA -0.75 0 6.25 43.8370909040625 NA
2014-05-04 0.167090557153094 30.5020833333333 39.324425 2.86845263157895 NA NA 22.5711666666667 130.070545454545 4.015 46.9985 NA NA -0.8 NA 7.6 82.6223616904401 NA
2014-05-05 0.082037037037037 4.8448 39.6407903225806 5.99140322580645 NA NA 7.86225 95.364380952381 56.464 NA NA NA -0.666666666666667 0.666666666666667 7 87.1577540968285 NA
2014-05-07 0.117385232902474 65.5407142857143 48.389523255814 10.1888398058252 NA 93.647 39.014125 67.553625 24.233 NA 8.026 1 -0.5 0.25 6.75 87.6397075563107 1
2014-05-08 0 NA 151.7315 7.466 NA NA NA 63.596 NA NA NA NA -1 1 7 NA NA
