"AS14.12.time" "AS14.12.activity" "AS14.12.appCat.builtin" "AS14.12.appCat.communication" "AS14.12.appCat.entertainment" "AS14.12.appCat.finance" "AS14.12.appCat.game" "AS14.12.appCat.office" "AS14.12.appCat.other" "AS14.12.appCat.social" "AS14.12.appCat.travel" "AS14.12.appCat.unknown" "AS14.12.appCat.utilities" "AS14.12.appCat.weather" "AS14.12.call" "AS14.12.circumplex.arousal" "AS14.12.circumplex.valence" "AS14.12.mood" "AS14.12.screen" "AS14.12.sms"
2014-03-15 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 -0.5 5.5 NA 1
2014-03-27 0.148290536560645 9.80954666666667 93.0649 34.5645 NA NA NA 14.381 97.6354222222222 NA NA 5.052 NA 1 -0.5 1 7 96.2811269911509 NA
2014-03-28 0.112188697318008 19.2662182539683 66.8571315789474 160.897583333333 NA NA NA 15.5816 62.6205789473684 NA NA 4.723 NA 1 0 0.75 6.75 75.9276594217273 NA
2014-03-29 0.126075069427928 41.6991337579618 54.9195 31.28309375 NA NA NA 10.3414 50.7393043478261 20.2236 6.69988888888889 4.06 NA 1 1 1 6.75 107.06015053103 NA
2014-03-30 0.0500026692883376 6.34238582677165 24.709625 43.063 NA NA NA 10.7338 65.3227857142857 NA NA 3.0234 NA 1 -0.2 NA 5.8 43.4529014171009 NA
2014-03-31 0.0725464900664517 8.83365740740741 37.2768823529412 24.2147647058824 5.52 11.03 17.189 9.5114 78.3059166666667 29.7076538461538 NA NA NA 1 0.4 0.4 6.4 50.6003552643877 NA
2014-04-01 0.140792154842012 6.80810204081633 40.1209452054795 44.1936470588235 18.4593333333333 3.766 NA 8.9292 104.949580645161 17.01975 NA NA NA 1 0.4 NA 6.4 84.6915142785935 NA
2014-04-02 0.147060227484751 4.59924590163934 64.44075 126.515833333333 42.8326666666667 NA 44.1668888888889 12.9631666666667 53.9035833333333 12.855 NA NA NA 1 -0.4 NA 6 122.36525926325 NA
2014-04-03 0.15734126984127 9.544472 45.258606557377 37.3376875 16.7025 NA 141.337833333333 8.126 84.26394 33.9805454545455 NA NA NA 1 0.4 0 5.4 66.206855275129 NA
2014-04-04 0.138779890487268 6.55467195767196 27.0642173913043 89.8665 NA NA 43.7614166666667 9.1 83.2820714285714 28.6291016949153 NA NA NA 1 0.75 NA 6.5 54.8615111015461 1
2014-04-05 0.150298313430203 10.9740136054422 19.3127272727273 69.1369523809524 13.2036666666667 4.009 NA 13.3582 63.2502424242424 30.5834285714286 NA NA NA 1 0 0.4 6.2 48.6671800088882 1
2014-04-06 0.0872111194733989 6.67788235294118 23.7115714285714 127.265 NA NA NA 7.869 117.982111111111 31.4858181818182 NA NA NA NA 0.25 0.75 6.25 67.0959285781497 NA
2014-04-07 0.125655119356675 10.3125483870968 23.373 70.7264545454545 9.8758 36.1126666666667 5.036 9.956 93.8974482758621 41.4308333333333 NA 4.76644444444444 NA NA 0.2 1 6.4 65.9171098929185 NA
2014-04-08 0.117654971593157 13.895665158371 33.9168292682927 63.1638260869565 65.3736666666667 NA 32.9606666666667 8.9166 57.0448305084746 11.7344 NA NA NA 1 0 0.25 6.25 57.9387029012044 NA
2014-04-09 0.165516729044042 120.631691699605 52.0248235294118 111.316857142857 12.706 59.9376666666667 44.98675 8.202 62.043421875 10.9781666666667 NA 5.79866666666667 NA NA 0 -0.5 5.25 80.0375796988391 NA
2014-04-10 0.133820783431573 10.2151207729469 26.0738571428571 39.8382727272727 NA 5.149 NA 9.35533333333333 78.7382380952381 NA NA NA NA NA 0.2 0.6 6.4 68.2676666640399 NA
2014-04-11 0.0715106834668409 90.0140462962963 18.7994444444444 25.4660666666667 NA NA NA 9.1106 78.0117575757576 33.2117142857143 NA NA NA 1 NA 1 6.6 65.1756666405996 NA
2014-04-12 0.084032014294214 11.2771692913386 36.2796538461538 35.4494736842105 NA NA 11.059 14.5812 68.2820606060606 45.9256153846154 NA 4.02266666666667 NA NA 0 0.8 6.8 56.1169153873737 NA
2014-04-13 0.0953833249642272 5.98636714975845 45.4964722222222 33.4622647058824 NA NA 45.218 14.0124 83.4895306122449 26.016 NA 5.019 NA 1 0.6 0 5.6 73.3220000186209 NA
