MAE,MSE,RMSE,User
0.3596005768833779,0.18813123610862398,0.43322453676239037,AS14.01
0.5211919969125745,0.44935429063434157,0.6673553660681422,AS14.02
0.2710687230822592,0.13885411875252857,0.3718531850013668,AS14.03
0.4399675149352346,0.6175091341512605,0.7854257588745838,AS14.05
0.4160758221232862,0.2674622682221808,0.5170267064915839,AS14.06
0.8098550706891859,1.1588379995842037,1.0740252511837722,AS14.07
0.43421404147671944,0.25297865063744857,0.5028726585325087,AS14.08
0.4914357048055511,0.3654364395679305,0.5987051657638713,AS14.09
0.3838292859784162,0.22560084710199496,0.4749531397067106,AS14.12
0.5522005512617478,0.680908960859729,0.8186196343900792,AS14.13
0.4456197881383837,0.29137652801030384,0.5335288082549129,AS14.14
0.22788168454547386,0.125956002188793,0.35143073980129713,AS14.15
0.37891729834700993,0.23264881415979172,0.48072284730350356,AS14.16
0.2247403950954374,0.08999548443686956,0.29589272186811466,AS14.17
0.3090716583517339,0.15747117863524912,0.3964347361708503,AS14.19
0.2913201730738238,0.15091127914406477,0.38718777702263774,AS14.20
0.2548809329844221,0.1657864966768769,0.4038937275918242,AS14.23
0.28884085804010884,0.14748384662335903,0.38243074059608423,AS14.24
0.41652478373590884,0.26054480755431325,0.5073929337331515,AS14.25
0.4397113690029212,0.2932883469506069,0.5344371508102886,AS14.26
0.4996242525194412,0.5111524557153981,0.7138777738901946,AS14.27
0.4491431488093629,0.3163917447882509,0.5596392556751798,AS14.28
0.3964311535316438,0.31801835693851976,0.5558084964569523,AS14.29
0.20104339092714746,0.08637374678786736,0.2935376603119261,AS14.30
0.262657272136409,0.10529179797307361,0.32062043566675713,AS14.31
0.4155507421088932,0.3371721642975491,0.5622013127554706,AS14.33
