Fold,MAE,MSE,RMSE,User
1,0.35185890391356267,0.16863405086309874,0.41065076508281184,AS14.01
1,0.528458436630262,0.5097458863375472,0.7139649055363626,AS14.02
1,0.28489161820670583,0.15062843993599528,0.3881087990963298,AS14.03
1,0.44344578605289253,0.5795454212089607,0.7612788064887664,AS14.05
1,0.4267895293244629,0.2817003733222091,0.5307545320788218,AS14.06
1,0.8988805343692734,1.3303582836717716,1.1534115846790214,AS14.07
1,0.4313230711250916,0.2541692220265205,0.5041519830631637,AS14.08
1,0.5254423537523567,0.42735031270122076,0.6537203627708263,AS14.09
1,0.3967224185009829,0.22959265304010823,0.479158275562583,AS14.12
1,0.5906117959944065,0.8172030577624072,0.9039928416544056,AS14.13
1,0.2671831808063747,0.16419109774978616,0.40520500706406154,AS14.14
1,0.25299738641278835,0.15469921708797324,0.3933182135217911,AS14.15
1,0.384276967112559,0.2307725791771805,0.48038794653611,AS14.16
1,0.2232296126326125,0.10729768209563226,0.3275632490002996,AS14.17
1,0.3078549177159555,0.15027133450933056,0.3876484676989328,AS14.19
1,0.2919854269410475,0.14416883910820616,0.37969571910703204,AS14.20
1,0.26855655357092006,0.19585639542253522,0.4425566578671427,AS14.23
1,0.27120395348052306,0.14523422236486733,0.3810960802276341,AS14.24
1,0.44150017826558935,0.30488787093274416,0.5521665246397541,AS14.25
1,0.4742622824690901,0.36182471602938243,0.6015186747137469,AS14.26
1,0.5248904424552255,0.5549224246296574,0.7449311542885405,AS14.27
1,0.5020838737270934,0.3735409515603573,0.6111799665895122,AS14.28
1,0.4029844104108218,0.3336269728502784,0.5776045124912706,AS14.29
1,0.207293057824044,0.09868119180635704,0.31413562645194676,AS14.30
1,0.25373734125887687,0.10482045574530327,0.3237598735873599,AS14.31
1,0.3548961395835366,0.3595305568496958,0.599608669758615,AS14.33
2,0.36509293023960926,0.18867428310109927,0.4343665308251768,AS14.01
2,0.5277843501007919,0.4858242397791977,0.6970109323240187,AS14.02
2,0.2356768008751527,0.11898618475110978,0.3449437414291058,AS14.03
2,0.44455555043074985,0.5977157982008604,0.7731208173376658,AS14.05
2,0.40179824996544633,0.2518909964309864,0.5018874340237922,AS14.06
2,0.7583213084185061,1.1021030222581443,1.0498109459603402,AS14.07
2,0.43418308519107884,0.2642186731094525,0.5140220550807645,AS14.08
2,0.542640500374146,0.42520987793856535,0.6520811896831293,AS14.09
