,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,-0.06786760625775567,0.6054567135987048,0.09388782274898588,-0.09394340600678053,-0.5704297420688667,0.13991491362845565,-0.21820928497531256,0.08504551315529696,-0.2717275265153427,0.7316268259717296,1.0077937949850941,-0.31953715034734564,0.08495563126881578,0.19883531163441504,-0.10141851695365389,-0.10953158519177109,-0.19917971595194572,0.23523217565603538,0.06266273593587446,-0.10063394116108881
2,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,,,,,,,,,,,,,,
3,-0.5085811341897362,-0.2993884755205052,-0.22787393814627777,0.08752019599703509,-0.41369708926215143,-0.21973441669936378,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,
5,0.1,1.5,0.1,poly,,,,,,,,,,,,,,,,
