predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
2014-03-27,AS14.23,2014-03-25-2014-03-26,7.0,1,0,6.6,-0.325,0.925,0.3400014531068979,0.19025090275815237,0.07362227430555555,0.0008429918981481477,0.001171747685185185,0.2,0.09207610532407408,0.016697349537037033
2014-03-28,AS14.23,2014-03-26-2014-03-27,7.0,0,1,7.0,0.25,1.25,0.3806336446356948,0.11873351850167471,0.06191630787037038,0.000930387731481481,0.0003717939814814814,0.2,0.04822532986111111,0.009870983796296294
2014-03-29,AS14.23,2014-03-27-2014-03-28,7.25,0,1,7.0,0.675,1.225,0.3808152611277611,0.08481134836734447,0.04687145254629627,8.739583333333334e-05,0.00027882523148148146,0.0,0.039834403935185184,0.007191232638888889
2014-03-30,AS14.23,2014-03-28-2014-03-29,7.0,0,1,7.125,0.425,1.35,0.401293982800589,0.0933041435079994,0.054088495370370374,0.0005623611111111112,0.0003595949074074074,0.0,0.030988449074074085,0.010747071759259258
2014-03-31,AS14.23,2014-03-29-2014-03-30,7.5,1,0,7.125,0.125,1.35,0.4076851146466841,0.10570315971694613,0.04566266782407409,0.0035872685185185196,0.0003247511574074074,0.1,0.04113850694444445,0.014179843749999997
2014-04-01,AS14.23,2014-03-30-2014-03-31,7.5,1,0,7.25,-0.125,1.35,0.40060450439825657,0.1365065509136076,0.0686419270833333,0.004633252314814816,0.00019779513888888893,0.2,0.042273935185185185,0.018433478009259256
2014-04-02,AS14.23,2014-03-31-2014-04-01,7.0,1,0,7.5,-0.125,1.75,0.4471560779948669,0.1453532233668698,0.08725523726851853,0.0027727546296296302,0.002278443287037037,0.1,0.030083304398148155,0.02018146412037037
2014-04-03,AS14.23,2014-04-01-2014-04-02,7.0,1,0,7.25,0.25,1.5,0.4903227845015192,0.11867847800530769,0.06410200231481483,0.001364166666666667,0.009053807870370374,0.4,0.025338854166666668,0.015277037037037039
2014-04-04,AS14.23,2014-04-02-2014-04-03,7.0,0,1,7.0,0.5,1.0,0.41495438505166626,0.1495607928324629,0.06399503472222223,0.0004926909722222222,0.007859947916666669,0.5,0.055294467592592586,0.020871168981481482
2014-04-05,AS14.23,2014-04-03-2014-04-04,6.5,0,1,7.0,0.75,1.0,0.4522017030765778,0.15331568866140316,0.08594659143518521,0.0004556423611111111,0.0012065914351851851,0.30000000000000004,0.04507453703703704,0.019741435185185188
2014-04-10,AS14.23,2014-04-08-2014-04-09,7.0,1,0,6.9,-0.1,0.8999999999999999,0.30592608591760184,0.13584471065275092,0.0698063252314815,0.004974421296296295,0.0007404340277777777,0.0,0.012287337962962962,0.008058506944444443
2014-04-11,AS14.23,2014-04-09-2014-04-10,7.0,0,1,7.1,-0.2,1.0,0.3329302523247826,0.18149613426791295,0.07577461805555558,0.004384484953703705,0.0,0.1,0.08589495949074076,0.011455439814814821
2014-04-12,AS14.23,2014-04-10-2014-04-11,7.75,0,1,7.0,0.2,0.9,0.3147567886615651,0.19541869213045746,0.08632223379629629,0.004010376157407409,0.004731452546296297,0.5,0.08261720486111114,0.014379571759259264
2014-04-13,AS14.23,2014-04-11-2014-04-12,7.2,0,1,7.375,0.07500000000000001,1.0,0.33686732128407404,0.10541284721758629,0.07223009837962963,0.0009677777777777775,0.005521383101851853,0.4,0.017548460648148155,0.006026741898148148
