predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,system
2014-03-23,AS14.15,2014-03-21-2014-03-22,7.0,0,1,7.0,-0.1,0.9,0.07014158939929246,0.006821255788758948,0.0015956597222222225,1.7418981481481478e-05,0.0,0.0,0.10869565217391304,0.007036550925925929
2014-03-24,AS14.15,2014-03-22-2014-03-23,7.0,1,0,7.0,-0.1,1.0,0.10799336456990827,0.005330063660663589,0.003490902777777779,0.0,0.0,0.0,0.0,0.0016516145833333335
2014-03-25,AS14.15,2014-03-23-2014-03-24,7.0,1,0,7.0,0.6,0.9,0.07246376811594206,0.005144890045954122,0.003246093750000001,0.000124212962962963,0.0,0.0,0.0,0.0016687962962962963
2014-03-26,AS14.15,2014-03-24-2014-03-25,7.2,1,0,7.0,0.9,0.9,0.0021551724137931,0.010251134260109174,0.005372366898148149,0.000124212962962963,0.0,0.0,0.021739130434782608,0.004706597222222223
2014-03-27,AS14.15,2014-03-25-2014-03-26,7.0,1,0,7.1,1.1,0.9,0.1155810983397191,0.03699927083182114,0.02743535300925926,0.0,0.0,0.0003605266203703704,0.2391304347826087,0.008063634259259257
2014-03-28,AS14.15,2014-03-26-2014-03-27,7.2,0,1,7.1,1.2,0.9,0.113425925925926,0.028640827543481635,0.022284091435185185,0.0,0.0,0.0003605266203703704,0.4782608695652174,0.0051428298611111084
2014-03-29,AS14.15,2014-03-27-2014-03-28,7.0,0,1,7.1,1.1,1.0,0.02103174603174602,0.009164392361762341,0.006014976851851851,0.0,0.0,0.0,0.4347826086956521,0.004020318287037037
2014-03-30,AS14.15,2014-03-28-2014-03-29,7.4,0,1,7.1,0.0,0.9,0.18400793650793654,0.01028846643313213,0.006032430555555555,5.2309027777777776e-05,0.0002871122685185185,0.0,0.3913043478260869,0.004442002314814814
2014-03-31,AS14.15,2014-03-29-2014-03-30,7.2,1,0,7.2,-1.0,0.9,0.2894146825396826,0.007322262732519043,0.0019038425925925928,5.2309027777777776e-05,0.0011897685185185186,0.0,0.32608695652173914,0.004120219907407409
2014-04-01,AS14.15,2014-03-30-2014-03-31,7.2,1,0,7.300000000000001,-0.30000000000000004,1.0,0.12643849206349211,0.006195515049276528,0.001886388888888889,0.0,0.00090265625,0.0,0.5217391304347826,0.0034102951388888907
2014-04-02,AS14.15,2014-03-31-2014-04-01,7.2,1,0,7.2,0.4,1.0,0.13591269841269832,0.004455179398258528,0.004252436342592591,0.0,0.0,0.0,0.5217391304347826,0.001668738425925926
2014-04-03,AS14.15,2014-04-01-2014-04-02,7.2,1,0,7.2,0.7,1.0,0.23065476190476192,0.014069224536694857,0.011877094907407407,5.2453703703703714e-05,8.171874999999999e-05,0.0,0.2826086956521739,0.0034760127314814814
2014-04-04,AS14.15,2014-04-02-2014-04-03,7.2,0,1,7.2,0.7,1.0,0.0947420634920636,0.00961404513843633,0.007624658564814816,5.2453703703703714e-05,8.171874999999999e-05,0.0,0.21739130434782605,0.0018072743055555555
2014-04-05,AS14.15,2014-04-03-2014-04-04,7.8,0,1,7.2,0.6,1.0,0.08169012153387153,0.004283177084117027,0.0019657812499999988,0.0,0.0013668807870370375,0.0,0.08695652173913042,0.002969936342592593
2014-04-06,AS14.15,2014-04-04-2014-04-05,6.2,0,1,7.5,0.8,1.0,0.15076906890229258,0.0044302488449547055,0.0019657812499999988,0.0,0.0013668807870370375,0.0,0.13043478260869562,0.0031169386574074077
2014-04-07,AS14.15,2014-04-05-2014-04-06,6.8,1,0,7.0,0.4,0.5,0.07236842105263157,0.0025993055574319935,0.0011471643518518517,0.0,0.0,0.0,0.21739130434782605,0.0014511574074074075
2014-04-08,AS14.15,2014-04-06-2014-04-07,6.8,1,0,6.5,0.1,0.2,0.05666866028708127,0.00544708333357616,0.0037552777777777775,0.0,0.0,0.0,0.2391304347826087,0.001584837962962963
2014-04-09,AS14.15,2014-04-07-2014-04-08,7.0,1,0,6.8,0.30000000000000004,0.5,0.05337918660287075,0.002994849536981845,0.002608113425925926,0.0,0.0,0.0,0.19565217391304346,0.0002806828703703704
2014-04-10,AS14.15,2014-04-08-2014-04-09,7.2,1,0,6.9,0.1,0.8,0.0043859649122807,0.0,0.0,0.0,0.0,0.0,0.17391304347826084,0.0
2014-04-11,AS14.15,2014-04-09-2014-04-10,7.0,0,1,7.1,0.2,1.0,0.00833333333333333,0.0037515451400368283,0.002813240740740741,0.0,0.0,0.0,0.10869565217391303,0.0012880324074074074
2014-04-12,AS14.15,2014-04-10-2014-04-11,7.4,0,1,7.1,0.4,0.9,0.02180451127819548,0.008352118055853579,0.003053119212962963,0.0,0.0024755555555555555,0.0,0.043478260869565216,0.0031078240740740736
2014-04-13,AS14.15,2014-04-11-2014-04-12,7.0,0,1,7.2,0.7,0.9,0.06640624999999997,0.017127731478324644,0.006996649305555558,0.0,0.0024755555555555555,0.0,0.15217391304347827,0.005190480324074073
