,mood,arousal,valence,activity,screen,calls,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
2014-03-17,7.2,-0.6,0.6,0.06071428571428576,714.3029994964598,0.0,0.0,47.283,434.67699999999996,0.0,0.0,0.0,0,15.073,216.303,0.0,0.0,0.0,0.0
2014-03-18,6.6,0.4,0.6,0.05391190992639994,786.3110008239751,4.0,1.0,190.195,464.504,96.551,22.1,0.0,0,11.054,0.0,0.0,0.0,0.0,0.0
2014-03-19,6.4,0.0,0.6,0.005627705627705628,26.357000112533587,0.0,0.0,32.349000000000004,0.0,17.332,0.0,0.0,0,22.176,0.0,0.0,0.0,0.0,0.0
2014-03-20,5.666666666666668,0.6666666666666666,0.3333333333333333,0.04383822653596662,412.8229997158053,2.0,4.0,323.717,97.727,15.348,0.0,0.0,0,10.029,69.902,0.0,0.0,0.0,0.0
2014-03-21,6.8,1.0,1.0,0.06056036092198103,285.03099989891007,2.0,0.0,103.69,124.309,5.041,0.0,0.0,0,0.0,125.2,0.0,0.0,0.0,0.0
2014-03-22,6.5,0.5,0.75,0.06677041257209454,1155.7909998893738,3.0,2.0,87.42399999999998,189.521,93.442,0.0,0.0,0,10.077,15.412,0.0,0.0,0.0,0.0
2014-03-23,7.0,0.0,1.0,0.0684523809523809,726.3540003299709,6.0,3.0,173.54600000000005,204.495,181.257,13.047,0.0,0,23.124,191.314,0.0,0.0,0.0,0.0
2014-03-24,6.4,0.0,0.8,0.1073128770739064,459.01900029182474,0.0,0.0,147.85000000000005,222.79200000000003,0.0,6.032,0.0,0,10.417,81.67699999999998,0.0,0.0,0.0,0.0
2014-03-25,6.0,0.6,0.6,0.08716623124390796,1013.438999891281,0.0,1.0,260.708,365.541,50.631,0.0,0.0,0,21.061,161.01000000000005,0.0,0.0,0.0,0.0
2014-03-26,5.6,0.2,0.25,0.09062499999999996,2525.9130001068124,0.0,1.0,75.11999999999998,284.5990000000001,60.185,64.797,0.0,0,0.0,221.426,0.0,0.0,0.0,0.0
2014-03-27,6.0,0.0,0.25,0.2950993676603433,1594.0099999904667,1.0,15.0,69.69099999999999,0.0,3342.6459999999997,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-28,6.5,-0.75,0.75,0.08746898327453531,519.1339998245238,0.0,0.0,119.651,398.04100000000005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-29,6.0,-0.5,0.5,0.2525042601225439,410.11999988555914,2.0,2.0,133.275,155.086,0.0,19.119,0.0,0,8.057,93.96200000000002,0.0,0.0,0.0,0.0
2014-03-30,5.4,0.4,1.0,0.052733447325923805,862.5760006904599,4.0,0.0,176.16400000000002,100.429,1480.0929999999996,0.0,0.0,0,17.101,0.0,0.0,0.0,0.0,0.0
2014-03-31,6.0,-0.25,0.3333333333333333,0.13474030795602568,73.79699993133555,3.0,7.0,12.349,53.071000000000005,0.0,0.0,0.0,0,8.152999999999999,0.0,0.0,0.0,0.0,0.0
2014-04-01,5.8,-0.4,0.6,0.3134394341290891,1473.5539999008206,0.0,1.0,98.198,194.89,0.0,0.0,0.0,0,0.0,48.338,40.949,0.0,0.0,0.0
