predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
2014-03-20,AS14.02,2014-03-19-2014-03-19,7.25,6.8,0.4,0.4,0.31563175685064315,0.09470783565055448,0.030057743055555544,0.0005534143518518518,0.006564409722222219,0.2,0.0022701273148148147,0.017992569444444443
2014-03-21,AS14.02,2014-03-20-2014-03-20,7.5,7.25,-0.5,0.75,0.2390249602103473,0.05046682871878149,0.024934849537037042,0.0015231249999999993,0.0,0.4,0.0017150462962962965,0.020578437500000005
2014-03-22,AS14.02,2014-03-21-2014-03-21,6.5,7.5,-0.75,0.75,0.2896279249001075,0.12911864582311214,0.033083865740740764,0.004490983796296296,0.005119166666666667,0.4,0.005319490740740741,0.02581369212962965
2014-03-23,AS14.02,2014-03-22-2014-03-22,6.25,6.5,-1.0,-0.5,0.44604368683290135,0.08784215281131093,0.02143814814814816,0.004729942129629629,0.009034918981481479,1.0,0.007672581018518522,0.02234104166666666
2014-03-24,AS14.02,2014-03-23-2014-03-23,6.4,6.25,-1.0,0.0,0.2696971570335323,0.052413506952148914,0.02129512731481481,0.001990671296296297,0.014620243055555556,0.32,0.004491875,0.010353078703703706
2014-03-31,AS14.02,2014-03-30-2014-03-30,7.2,7.0,-1.0,0.75,0.24188730879396786,0.04556761572758356,0.012857129629629632,0.003737280092592593,0.0,0.4,0.014798541666666666,0.008944293981481484
2014-04-01,AS14.02,2014-03-31-2014-03-31,7.4,7.2,-0.8,0.4,0.15637292366427655,0.0552563194351064,0.028719004629629636,0.023595266203703703,0.0,0.6,0.0041083912037037035,0.013730312499999994
2014-04-02,AS14.02,2014-04-01-2014-04-01,6.4,7.4,-0.2,0.8,0.2619605321890545,0.03816826385480386,0.015307986111111109,0.002212048611111111,0.003995370370370372,0.08,0.0008909259259259258,0.03229182870370372
2014-04-03,AS14.02,2014-04-02-2014-04-02,5.75,6.4,-0.6,-0.2,0.31912056179963355,0.07967393520529623,0.03405582175925926,0.003679409722222223,0.0,0.04,0.011822384259259258,0.022733912037037042
2014-04-04,AS14.02,2014-04-03-2014-04-03,6.4,5.75,-0.25,0.0,0.3225058399099885,0.07886921297344895,0.04161378472222222,0.001416909722222222,0.003683958333333335,0.04,0.006351701388888887,0.01469096064814816
2014-04-05,AS14.02,2014-04-04-2014-04-04,7.4,6.4,-1.2,0.2,0.22727035660896044,0.04228437500971335,0.03251662037037037,0.0016356481481481489,0.0,0.16,0.009371851851851848,0.012982511574074077
2014-04-06,AS14.02,2014-04-05-2014-04-05,4.5,7.4,0.0,0.6,0.3219197224805253,0.15124914353644406,0.026732164351851846,0.0029931828703703704,0.0044915625,0.36,0.009195416666666664,0.02265146990740739
2014-04-07,AS14.02,2014-04-06-2014-04-06,6.8,4.5,-1.0,-1.25,0.21520952016085249,0.04224499998269258,0.014170393518518518,0.004531736111111113,0.0,0.2,0.007164120370370374,0.0066711226851851844
2014-04-08,AS14.02,2014-04-07-2014-04-07,6.25,6.8,0.0,0.6,0.13652373439609958,0.0736866550727023,0.043532164351851865,0.02324287037037037,0.0,0.04,0.008540694444444445,0.01716375
2014-04-09,AS14.02,2014-04-08-2014-04-08,7.25,6.25,-0.25,0.5,0.261951037621564,0.047212407401314514,0.02622517361111111,0.00736403935185185,0.0,0.4,0.0022393518518518517,0.013712708333333323
2014-04-10,AS14.02,2014-04-09-2014-04-09,7.25,7.25,-0.5,0.25,0.24720984804489024,0.06663687500688764,0.0261058449074074,0.003406493055555556,0.0,0.48,0.007259675925925925,0.016516458333333327
2014-04-11,AS14.02,2014-04-10-2014-04-10,6.5,7.25,0.25,0.75,0.2607506038432932,0.09078980322513316,0.03155366898148148,0.006560266203703704,0.00607769675925926,0.04,0.00804773148148148,0.015109918981481481
2014-04-12,AS14.02,2014-04-11-2014-04-11,6.0,6.5,-0.5,0.5,0.4244814273084368,0.06724571760605882,0.027127233796296286,0.0036995949074074062,0.007302418981481483,0.28,0.00811023148148148,0.01791888888888888
2014-04-13,AS14.02,2014-04-12-2014-04-12,7.2,6.0,-2.0,-1.0,0.3783017333120428,0.04234744214349323,0.017555173611111117,0.0018193518518518515,0.0041919560185185185,0.24,0.0,0.021222847222222216
2014-04-14,AS14.02,2014-04-13-2014-04-13,8.0,7.2,-0.6,0.4,0.2898201182828,0.025172118028556862,0.009898368055555551,0.00142443287037037,0.0018477546296296304,0.0,0.0043,0.0059133449074074045
2014-04-15,AS14.02,2014-04-14-2014-04-14,7.25,8.0,0.75,1.0,0.18707405017212794,0.03209540510343181,0.021093483796296296,0.0006576041666666668,0.0,0.56,0.0011084722222222225,0.010352546296296292
2014-04-16,AS14.02,2014-04-15-2014-04-15,6.666666666666668,7.25,-0.5,0.5,0.1736288831786874,0.00811674769001979,0.005161076388888889,0.00029381944444444437,0.0,0.56,0.00022752314814814808,0.0011373379629629633
2014-04-17,AS14.02,2014-04-16-2014-04-16,6.5,6.666666666666668,-0.3333333333333333,0.3333333333333333,0.3532763532763534,0.0012648611074244536,0.0,0.0,0.0,0.64,0.0,0.001448298611111111
