,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2014-05-17,2014-05-18,2014-05-19,2014-05-20,2014-05-21,2014-05-22,2014-05-28,2014-05-29,2014-05-30,2014-05-31,2014-06-01,2014-06-02,2014-06-03,2014-06-04,2014-06-05,2014-06-06
1,0.5356181866497174,0.13616721684300526,0.39806021805543246,0.0025208520577004734,-0.7977052538837501,-0.40175014822250166,-0.3991053682929797,-0.002520849816873394,0.34436671227199334,-0.05590454007774692,-0.21796150637068656,-0.24979883002539705,0.8010057597193425,0.0023650578872134176,0.0013546680005145362,0.4524335239855102
2,2014-05-23,2014-05-24,2014-05-25,2014-05-26,2014-05-27,,,,,,,,,,,
3,-0.2536523460400115,0.1432839976596476,-0.05596135678630976,-0.0001758584924180795,-0.7982057471450918,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,
5,0.01,0.1,0.1,rbf,,,,,,,,,,,,
