,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05
1,-0.1000590624811677,0.6499391906607261,-0.300067251362357,0.0999787400480816,-0.09998671663979053,-0.09998702930018055,-0.09994094196442038,-0.8999544396437873,-0.49988542065541974,0.30014693680195226,0.5001197630375813,0.7000757466995147,1.1001023911827046,-0.0999370600674041,-0.4999504605951479,-0.0999717126169708,0.650014607706531,-0.699964645690855,0.40006908776680206,0.10001116735575888,-0.3500017432668523,0.15006400127723651,-0.29998657983806787,0.9000592160094909,0.1000096138294424,-0.8500194958334157,0.5000381527938638,-0.10000982390697466
2,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,,,,,,,,,,,,,,,,,,,,
3,1.0999780603186124,-0.6000931178733744,0.1499396789549543,-0.1000432399689064,0.4999970352653005,-0.2999684198579855,-0.8499798544828714,-0.29991678692623047,,,,,,,,,,,,,,,,,,,,
4,epsilon,C,tol,kernel,,,,,,,,,,,,,,,,,,,,,,,,
5,0.1,0.1,0.1,sigmoid,,,,,,,,,,,,,,,,,,,,,,,,
