Unnamed: 0,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
2014-04-02,8.5,0.25,1.5,0.15358132140520142,0.031572233788945074,0.010675289351851854,0.0,0.004341469907407406,0.025264699074074082,0.0,0.14285714285714285,8.128472222222222e-05,0.0027378587962962964
2014-04-03,7.25,-1.0,0.25,0.1886913420889081,0.0455941203733285,0.021637974537037044,0.0,0.015041608796296294,0.01726834490740741,0.001049965277777778,0.0,0.0,0.0015395138888888887
2014-04-04,8.0,-1.25,0.75,0.015126292203892644,0.04591523146739713,0.009568356481481485,0.0,0.0014620601851851852,0.022965972222222217,0.009003472222222225,0.07142857142857142,0.001991504629629629,0.00015650462962962965
2014-04-05,8.2,0.8,0.8,0.14988214995833685,0.07877405092948014,0.028444317129629627,0.0,0.009898287037037035,0.03198070601851853,0.003668912037037037,0.14285714285714285,0.0,0.0017581481481481484
2014-04-06,7.75,0.0,0.8,0.11463534506164205,0.11032295138471652,0.024791261574074075,0.0,0.004008321759259261,0.0824498148148148,0.0,0.42857142857142855,0.0,0.0029744444444444445
2014-04-07,7.2,-0.6,0.2,0.19540927482103945,0.1295361805624432,0.028820752314814825,0.0,0.009224120370370369,0.08480237268518516,0.0,0.0,0.000545625,0.003086099537037038
2014-04-14,8.0,-0.8,1.0,0.14115802099173555,0.09077321760632373,0.02353125000000001,0.0,0.008994583333333337,0.06135087962962961,0.0,0.0,0.0010586689814814814,0.0040155787037037035
2014-04-15,8.25,-0.5,1.0,0.19738316762908886,0.10654966430807557,0.05011833333333335,0.0,0.00946922453703704,0.04517447916666666,0.0,0.07142857142857142,0.0004995370370370369,0.001263460648148148
2014-04-16,7.8,0.0,1.0,0.031889568580213065,0.13786717591738254,0.03602609953703703,1.162037037037037e-05,0.007325254629629628,0.05982752314814815,0.004753831018518518,0.42857142857142855,0.025034293981481482,0.0038953935185185203
2014-04-17,7.6,0.8,0.8,0.10466354394673524,0.07320626157577392,0.10246,0.0,0.009558541666666665,0.030728761574074063,0.0008034027777777778,0.42857142857142855,0.0002582175925925926,0.002346562500000001
2014-04-18,8.0,-0.25,0.25,0.1547806052191322,0.10422732639367928,0.032934699074074064,0.0,0.016143206018518524,0.05363405092592593,0.0007511805555555557,0.14285714285714285,0.005646898148148147,0.006194074074074076
2014-04-19,7.0,-0.6,0.2,0.07083333333333326,0.08687541666130222,0.024893113425925924,0.0,0.385220150462963,0.04970659722222224,0.00035046296296296296,0.2857142857142857,0.0,0.004162881944444446
2014-04-20,7.5,-0.5,0.75,0.008417145593869736,0.035702673613473235,0.011745787037037035,0.0,0.0024538078703703705,0.018612615740740742,0.0,0.0,0.0,0.0008253587962962964
2014-04-21,7.2,0.0,0.4,0.11076388888888887,0.04336827546634057,0.014289270833333334,0.0,0.003796354166666666,0.023751805555555557,0.0,0.0,0.0,0.0003938078703703703
2014-04-22,6.4,-0.2,0.0,0.16646602328706814,0.14985880786070122,0.056229768518518526,0.0,0.0201685300925926,0.04539325231481482,0.007825185185185185,1.0,0.0018158564814814808,0.01938959490740741
2014-04-23,7.6,0.6,0.6,0.09481132256815117,0.13915486112512926,0.03858153935185185,0.0,0.01852083333333333,0.04725344907407407,0.00485130787037037,0.35714285714285715,0.0046036342592592604,0.004533194444444442
2014-04-24,7.8,0.2,1.0,0.1866131513274128,0.11111696762343254,0.04304292824074076,0.0,0.01230407407407406,0.03669033564814815,0.006417164351851853,0.21428571428571427,0.012603807870370371,0.004833125000000001
2014-04-25,7.5,0.0,0.75,0.16510803391777293,0.04536821760237219,0.027409965277777792,0.0,0.007648229166666666,0.0014977314814814814,0.002562905092592593,0.07142857142857142,0.0,0.006575624999999996
2014-04-26,6.0,0.0,0.0,0.269335092679129,0.12128851854966748,0.0398598148148148,0.0,0.011970706018518516,0.06029283564814816,0.000546087962962963,0.42857142857142855,0.0,0.006491712962962963
2014-04-27,6.5,-0.75,0.0,0.04489559826132297,0.08192581018639933,0.01031188657407407,0.0,0.0059848726851851886,0.05736026620370373,0.0,0.0,0.003679421296296296,0.015096469907407404
2014-04-28,7.0,-0.4,0.4,0.07879215708108615,0.08675767362393716,0.021576342592592588,0.0,0.007911712962962962,0.02922170138888889,0.005297372685185185,0.0,0.01768774305555556,0.007015787037037035
2014-04-29,7.6,0.4,0.8,0.2085233883666979,0.1379026041400653,0.037936956018518514,0.0007908796296296294,0.01864464120370371,0.03586853009259259,0.0004119212962962964,0.07142857142857142,0.024548182870370368,0.022136064814814817
2014-04-30,7.8,-0.4,0.2,0.09121493415357156,0.10631635416713026,0.037171203703703685,0.0,0.007989525462962962,0.04790494212962963,0.0005851851851851852,0.21428571428571427,0.0021003587962962963,0.012710300925925922
2014-05-01,7.6,0.0,0.4,0.13183429371661345,0.07071888887495906,0.048560763888888886,0.0,0.025499282407407408,0.01260024305555555,0.0,0.0,0.0,0.003886238425925925
