,Unnamed: 0,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
4,2014-03-24,8.8,1.0,1.8,0.3074129857071034,0.0542614236170495,0.03634703703703705,0.0,0.0021532754629629627,0.0,0.2,0.010929328703703705,0.003948171296296296
5,2014-03-25,7.6,1.2,1.8,0.09856848536516054,0.058182268512469736,0.05002501157407407,0.0,0.0044139236111111115,0.006377199074074074,0.0,0.002413159722222223,0.001663101851851852
6,2014-03-26,8.4,-1.0,1.0,0.30365512425991403,0.10491814814507963,0.0846893055555556,0.0,0.0028288078703703704,0.0,0.2,0.009343738425925924,0.004984861111111111
7,2014-03-27,7.4,-1.2,1.0,0.10809412957208693,0.09913199072910676,0.08410028935185182,0.0,0.0040835185185185184,0.0033520486111111108,0.1,0.008492638888888888,0.00020515046296296297
8,2014-03-28,7.6,-1.0,1.2,0.3355837397178655,0.1406290740712925,0.0586151736111111,0.00038620370370370365,0.034598541666666684,0.003044155092592593,0.0,0.021647256944444443,0.01954368055555556
9,2014-03-29,7.2,-1.8,1.0,0.3700853779840849,0.06502217594120238,0.059084305555555536,0.0,0.007524178240740741,0.0,0.0,0.008257256944444446,0.002824444444444444
10,2014-03-30,6.2,-0.6,0.8,0.11063152039471913,0.11018476851284503,0.08452910879629627,0.0,0.0010985532407407409,0.0,0.0,0.0049912731481481475,0.00031599537037037034
11,2014-03-31,7.0,-1.2,0.6,0.2922268907563025,0.0631482870131731,0.031428576388888886,0.0,0.008412048611111108,0.0,0.1,0.013179849537037037,0.0062865856481481505
20,2014-04-09,7.8,-0.2,1.2,0.19026514823987345,0.16470078700118593,0.1335992013888889,0.0,0.002429328703703704,0.0,0.4,0.0027621990740740745,0.01699234953703704
21,2014-04-10,7.6,0.6,1.0,0.3092114046758542,0.10249398147066432,0.09728159722222217,0.00017440972222222223,0.0011890046296296295,0.0,0.1,0.0,0.0033014699074074075
22,2014-04-11,6.8,0.6,1.2,0.4687077628254098,0.0409881944347311,0.024845729166666653,0.0,0.0043415625,0.0,0.1,0.0,0.01000085648148148
23,2014-04-12,6.8,0.6,1.0,0.09549919484702096,0.08824557871178337,0.06500297453703703,0.00269394675925926,0.0039608217592592585,0.0,1.0,0.0014402199074074074,0.0045500925925925926
24,2014-04-13,6.6,0.2,0.8,0.1513406794183811,0.09498082175298976,0.08851324074074074,0.0,0.001811469907407408,0.0,0.2,0.0,0.0016928125
25,2014-04-14,6.8,-0.6,1.0,0.26101854320329393,0.057205277772413375,0.05428016203703702,0.0,0.0024788310185185182,0.0,0.0,0.0,0.004358391203703704
26,2014-04-15,6.0,-0.8,0.2,0.3699345550700973,0.0994376967736968,0.07551431712962968,0.0,0.0020695486111111114,0.0,0.3,0.0,0.0286126851851852
27,2014-04-16,6.0,-0.25,0.75,0.33828282828282824,0.07102684025963148,0.05788349537037036,0.0010564236111111113,0.003219513888888889,0.0,0.2,0.0,0.006579479166666668
28,2014-04-17,6.4,-1.2,1.0,0.04141105260380633,0.13476078704827366,0.10884568287037034,0.0007732175925925926,0.0037083680555555563,0.0,0.3,0.0008537731481481482,0.003329756944444444
29,2014-04-18,3.5,-1.0,-1.0,0.1181818181818182,0.011781273153093123,0.00801821759259259,0.0,0.0007703935185185185,0.0,0.0,0.0,0.0005795254629629631
30,2014-04-19,7.2,-0.6,1.0,0.2408505917967651,0.10430031251024316,0.07419081018518515,0.0013803240740740744,0.002231527777777777,0.0001789699074074074,0.1,0.004407939814814815,0.017138668981481482
31,2014-04-20,6.6,-1.6,0.6,0.2621848739495798,0.033745428251999394,0.06303425925925928,0.00017401620370370368,0.002035034722222223,0.0,0.0,0.00013252314814814813,0.00020484953703703697
32,2014-04-21,7.4,-1.4,1.0,0.15710176822377514,0.11880486111122145,0.10073783564814816,0.0,0.001615648148148148,0.0005063194444444443,0.0,0.0,0.0030313541666666674
33,2014-04-22,5.75,-1.25,0.75,0.2710352653846367,0.0849507523245282,0.06198562500000001,0.0,0.00573292824074074,0.0,0.1,0.0,0.017816180555555554
34,2014-04-23,7.4,-0.8,1.0,0.4385733488177098,0.045402465280559336,0.03124914351851852,0.0,0.0070895601851851875,0.0008216319444444443,0.5,0.0,0.006041620370370369
35,2014-04-24,7.666666666666668,1.0,1.0,0.4378101065601063,0.15928774307447452,0.03238023148148148,0.0,0.005712268518518518,0.0,0.2,0.0,0.006712025462962961
36,2014-04-25,7.75,-0.25,1.25,0.4405688439574525,0.06540093749209683,0.030486608796296288,0.0,0.019396608796296302,0.0,0.0,0.0,0.010514965277777774
37,2014-04-26,8.8,-1.8,1.6,0.16949476650563594,0.0854091087894307,0.0651942476851852,0.0,0.004825300925925926,0.0026177662037037033,0.0,0.0,0.0015557754629629628
38,2014-04-27,8.0,-0.5,1.5,0.2649346728151076,0.15856973378746592,0.11832241898148148,0.00019019675925925928,0.009494606481481484,0.003190497685185185,0.0,0.0,0.009739884259259259
39,2014-04-28,8.166666666666666,-1.6666666666666667,1.0,0.2987684400223101,0.09112810185110123,0.070942025462963,0.00018892361111111112,0.0063115740740740745,0.0019179976851851847,0.0,0.0,0.005613900462962963
40,2014-04-29,8.5,-1.25,1.25,0.32500287706139397,0.09280295139385593,0.07813476851851849,0.00017543981481481482,0.002148935185185185,0.005743240740740741,0.0,0.0,0.00464486111111111
41,2014-04-30,7.833333333333332,-1.1666666666666667,1.0,0.29367141217445164,0.0852385879749501,0.07271221064814813,0.0013706597222222221,0.007777187500000002,0.002806967592592593,0.0,0.0,0.0011007060185185184
42,2014-05-01,8.333333333333334,-1.0,2.0,0.14677763080540854,0.07455349536129724,0.05884465277777778,0.0011347569444444447,0.0048541782407407405,0.003112337962962963,0.0,0.0,0.0018407291666666665
43,2014-05-02,8.0,-1.4,0.8,0.22384322876155907,0.09451968749364223,0.0735421990740741,0.0007829398148148151,0.0058234375,0.0028235648148148148,0.0,0.0,0.012030127314814816
