,Unnamed: 0,mood,arousal,valence,activity,screen,communication,finance,social,gsm,amusement,system
2,2014-03-19,6.4,0.0,0.6,0.005627705627705628,0.00030505787167284243,0.0,0.0,0.0,0.0,0.00020060185185185182,0.0003744097222222223
3,2014-03-20,5.666666666666668,0.6666666666666666,0.3333333333333333,0.04383822653596662,0.0047780439781921905,0.001131099537037037,0.0,0.000809050925925926,0.3157894736842105,0.00017763888888888888,0.0037467245370370367
4,2014-03-21,6.8,1.0,1.0,0.06056036092198103,0.003298969906237385,0.001438761574074074,0.0,0.0014490740740740742,0.10526315789473684,5.834490740740742e-05,0.0012001157407407407
5,2014-03-22,6.5,0.5,0.75,0.06677041257209454,0.01337721064686775,0.0021935300925925924,0.0,0.00017837962962962965,0.2631578947368421,0.0010815046296296297,0.0010118518518518517
6,2014-03-23,7.0,0.0,1.0,0.0684523809523809,0.008406875003819108,0.002366840277777778,0.00015100694444444444,0.002214282407407408,0.4736842105263158,0.0020978819444444443,0.0020086342592592604
7,2014-03-24,6.4,0.0,0.8,0.1073128770739064,0.00531271991078501,0.0025786111111111114,6.981481481481482e-05,0.0009453356481481481,0.0,0.0,0.0017112268518518524
8,2014-03-25,6.0,0.6,0.6,0.08716623124390796,0.011729618054297234,0.0042307986111111105,0.0,0.0018635416666666672,0.05263157894736842,0.0005860069444444443,0.003017453703703703
9,2014-03-26,5.6,0.2,0.25,0.09062499999999996,0.02923510416790292,0.003293969907407409,0.0007499652777777778,0.0025628009259259263,0.05263157894736842,0.0006965856481481482,0.0008694444444444443
10,2014-03-27,6.0,0.0,0.25,0.2950993676603433,0.018449189814704475,0.0,0.0,0.0,0.8421052631578947,0.03868803240740741,0.0008066087962962963
20,2014-04-06,6.75,-0.6666666666666666,1.0,0.19987749808992267,0.018586157403058464,0.005848460648148148,0.0,0.0014336574074074074,0.0,0.0016749537037037039,0.005119803240740743
21,2014-04-07,7.0,-0.2,1.0,0.0864168979340117,0.025625081020924742,0.004722395833333333,0.0005240625,0.0013886226851851852,0.05263157894736842,0.0005937268518518519,0.0025694444444444445
22,2014-04-08,6.4,0.5,0.6666666666666666,0.03989680082559341,8.420138999267858e-05,0.0,0.0,0.0,0.4736842105263158,0.0,0.00010695601851851852
23,2014-04-09,7.2,-0.5,1.0,0.24015661939870084,0.03694006944420165,0.00010528935185185188,0.00012792824074074074,0.0,0.05263157894736842,0.0,0.0007787268518518517
24,2014-04-10,6.6,0.2,1.0,0.1293886382716278,0.012612453707390364,0.003832951388888889,0.0010150231481481481,0.002573553240740741,0.21052631578947367,0.0031948495370370373,0.0018162384259259267
25,2014-04-11,7.0,1.0,1.0,0.03957364341085266,0.0041537384219743545,0.004876481481481482,0.0,0.0012695833333333333,0.0,0.0,0.0011567129629629627
26,2014-04-12,7.0,1.25,1.0,0.0,0.00022489583326710649,0.0,0.0,0.0,0.21052631578947367,0.0,0.00022476851851851851
27,2014-04-13,6.4,0.0,0.5,0.045454545454545504,0.0013000115752220154,3.4837962962962955e-05,0.0,0.0005361458333333334,0.15789473684210525,0.0,0.0006584143518518519
28,2014-04-14,7.0,0.8,1.0,0.0341435185185185,0.0023430208365122465,0.0009487152777777775,0.0,6.606481481481479e-05,0.21052631578947367,0.0,0.001990289351851851
29,2014-04-15,6.6,0.6,0.5,0.05,4.7847222950723385e-05,0.0006151388888888889,0.0,0.00040701388888888883,0.15789473684210525,0.0,0.0014107175925925928
30,2014-04-16,7.25,1.25,1.0,0.137976645191724,0.008164664360660096,0.003677037037037036,0.0,0.0010477083333333334,0.3157894736842105,0.0,0.003294780092592591
31,2014-04-17,7.0,-0.6,1.0,0.14644478187042834,0.0051586689800024,0.0017862384259259266,0.0011853009259259258,0.00016364583333333335,0.15789473684210525,0.0,0.0018680092592592585
32,2014-04-18,6.8,0.0,1.0,0.009735044072393464,0.02464363424866289,0.006681111111111112,0.0,0.0021697800925925925,0.21052631578947367,0.012941458333333327,0.0028383564814814816
33,2014-04-19,7.2,1.6,1.0,0.1840579710144928,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0
34,2014-04-20,7.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
35,2014-04-21,7.25,1.0,1.0,0.009197324414715692,0.00855621527466509,0.0055704398148148145,0.0,0.00038564814814814815,0.0,0.0007236689814814815,0.004209409722222223
36,2014-04-22,6.6,0.8,0.8,0.05494394283401094,0.010518414339533549,0.008578680555555555,0.0,0.001165625,0.05263157894736842,0.0023660648148148148,0.0019451388888888886
37,2014-04-23,7.25,0.75,1.0,0.08201415701415696,0.015031770832008788,0.009578576388888886,0.001619560185185185,0.00020861111111111116,0.2631578947368421,0.0,0.0036590277777777775
38,2014-04-24,5.4,-0.2,-0.2,0.013731060606060613,0.013769791667108185,0.002944571759259259,0.0,0.0,0.21052631578947367,0.003993726851851853,0.0008206597222222223
39,2014-04-25,7.2,0.6,1.0,0.08522727272727262,0.0038622106446160273,0.00022086805555555556,0.0,0.00025984953703703706,1.0,0.0,0.002117546296296296
40,2014-04-26,6.75,0.5,1.0,0.3549107142857143,0.0006428587960976144,0.0005736805555555557,0.0,0.0,0.15789473684210525,0.0,1.0578703703703703e-05
41,2014-04-27,7.2,-0.2,1.0,0.1217670011148272,0.003109606476845566,0.0021723495370370373,0.0,0.0,0.10526315789473684,0.0,0.0009345949074074076
42,2014-04-28,8.0,1.0,1.0,0.18809523809523804,0.002423437502649093,0.00018123842592592595,0.0,0.001945763888888889,0.4736842105263158,0.0,0.0002910300925925926
