Unnamed: 0,mood,arousal,valence,activity,screen,communication,office,social,travel,weather,gsm,amusement,system
2014-03-27,7.0,0.25,0.25,0.13232860520094558,0.09452728009886212,0.046826851851851856,0.0,0.012517800925925924,0.0,0.0,0.09090909090909093,0.028394201388888887,0.006061296296296294
2014-03-28,7.6,-0.2,0.8,0.17147079420003294,0.0801925694666527,0.041529988425925916,0.0004891550925925928,0.039549803240740734,0.0009260995370370369,0.0,0.09090909090909093,0.023101805555555563,0.0004897106481481482
2014-03-29,7.8,0.0,1.0,0.11158088235294117,0.045221423608837324,0.02177642361111112,0.0,0.014554664351851857,0.0,0.0,0.0,0.009103645833333326,0.0003751273148148149
2014-03-30,7.8,0.0,0.8,0.2112978524743232,0.10339954859956543,0.006363958333333332,0.0,0.02398256944444445,0.0,5.6238425925925916e-05,0.4545454545454545,0.05143774305555557,0.02169749999999999
2014-03-31,7.0,-0.2,0.4,0.16060545689131744,0.08685557870953171,0.0238552662037037,0.0003185416666666666,0.031248784722222218,0.0,0.0,0.09090909090909093,0.02796680555555555,0.02334716435185185
2014-04-01,7.75,0.0,0.75,0.2258536234024724,0.0968850694403604,0.046698159722222216,0.0,0.025742118055555558,0.0,0.0,0.2727272727272727,0.019010127314814808,0.015642175925925917
2014-04-02,6.8,-0.6,0.4,0.16255252100840334,0.1062905555659974,0.0513391435185185,0.0019328703703703704,0.032936423611111126,0.0002560416666666667,0.0,0.3636363636363637,0.016417789351851852,0.0069173032407407395
2014-04-03,7.2,0.0,0.4,0.2095738980962975,0.08253434028062552,0.04509114583333335,0.0,0.021708773148148158,0.0019388310185185183,0.0,0.18181818181818185,0.015343483796296303,0.005893981481481482
2014-04-12,8.2,0.4,1.0,0.2339122315592904,0.04868150463810672,0.007897534722222222,0.0,0.013257777777777778,0.0008204513888888888,0.0001861226851851852,0.0,0.022420868055555564,0.002982118055555555
2014-04-13,6.5,-1.5,0.25,0.34474153297682714,0.0886566550946898,0.04689100694444445,0.0,0.02488844907407408,0.004687372685185185,0.0,0.18181818181818185,0.008220162037037031,0.014231284722222228
2014-04-14,7.25,-0.25,0.75,0.17874293785310735,0.05166069443579071,0.023181886574074082,0.00034067129629629633,0.008118900462962965,0.0,0.0,0.18181818181818185,0.006610451388888886,0.012885798611111112
2014-04-15,7.0,-0.4,0.6,0.20056360708534607,0.07801134259060577,0.04479461805555557,0.0008292361111111111,0.03242193287037038,0.0002106712962962963,0.00013953703703703703,0.5454545454545454,0.012385104166666657,0.017237222222222227
2014-04-16,7.6,0.0,0.4,0.14506508485747238,0.1843697222073873,0.07605623842592596,0.0002141203703703704,0.04180164351851852,0.0009332291666666666,0.0,0.09090909090909093,0.028176435185185183,0.022172187500000003
2014-04-17,6.8,0.2,0.6,0.15167069243156198,0.14273966436308844,0.0518816087962963,0.0034489814814814817,0.031963634259259265,0.00043171296296296295,0.0,0.09090909090909093,0.03737984953703707,0.007198773148148145
2014-04-18,6.25,-1.0,0.5,0.14621547543748678,0.0816232986251513,0.040217094907407394,0.00011657407407407408,0.010572488425925926,0.003841782407407407,0.0,0.2727272727272727,0.023818298611111118,0.008271666666666663
2014-04-19,6.8,0.2,0.6,0.09826388888888894,0.060590034731560286,0.03565508101851852,0.0,0.002186574074074074,0.0013451620370370369,0.0,0.3636363636363637,0.01375524305555555,0.00690824074074074
2014-04-20,8.2,0.6,0.8,0.029657567049808407,0.06363921296817282,0.015562685185185185,0.0,0.034330891203703716,0.0,0.0,0.0,0.014261793981481485,0.0012166087962962961
2014-04-21,7.0,0.2,0.6,0.07823937267214573,0.08268826388650471,0.03442311342592594,0.0,0.02641493055555556,0.0016558912037037035,0.0,0.09090909090909093,0.028234398148148168,0.0004178472222222222
2014-04-22,6.6,-0.4,0.6,0.1444977991196478,0.17452872683604556,0.08796886574074078,0.0005088657407407407,0.016929317129629633,0.0026730324074074074,0.0,0.6363636363636364,0.04725245370370372,0.018980081018518512
2014-04-23,7.0,0.0,0.8,0.13372735533587954,0.11291449073564128,0.06375013888888886,0.0011906828703703706,0.02950011574074075,0.0022206365740740737,0.000307662037037037,0.3636363636363637,0.026487071759259257,0.00411767361111111
2014-04-24,7.75,-0.25,0.75,0.23571051267413404,0.0831785300843142,0.04632340277777778,4.648148148148148e-05,0.01109125,0.0024082060185185183,0.00017496527777777782,0.7272727272727273,0.012405960648148149,0.012358645833333334
2014-04-25,6.4,-1.0,0.4,0.2649999999999999,0.0946645254614177,0.035832523148148145,0.0006907291666666666,0.0370780324074074,0.002955949074074074,0.0,0.2727272727272727,0.020621238425925927,0.009359814814814814
2014-04-26,7.5,0.0,1.0,0.20659722222222232,0.0739414699210061,0.03195804398148148,0.001578171296296296,0.008245706018518522,0.01069480324074074,0.0,1.0,0.012638020833333331,0.008041435185185191
2014-04-27,7.2,-0.6,1.0,0.059715839460784285,0.01979554398744195,0.0061229282407407395,0.0,0.008198472222222225,0.0019287037037037035,0.0,0.0,0.004101759259259259,0.0
2014-04-28,6.75,-0.25,0.5,0.17232443482443485,0.07575287037977466,0.048116516203703705,0.0003643865740740741,0.0182159375,0.0,0.0,0.0,0.012897233796296292,0.0005817476851851854
2014-04-29,7.25,0.0,1.0,0.1751971158833905,0.0987297685278786,0.048891041666666656,5.092592592592593e-07,0.051436064814814816,0.0,0.0,0.18181818181818185,0.02409217592592591,0.016480081018518517
