,Unnamed: 0,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,weather,gsm,amusement,system
1,2014-03-23,6.75,0.75,0.25,0.03333333333333332,0.08287361110802051,0.03689552083333333,0.0,0.0,0.0002121875,0.002240601851851852,0.0,0.06666666666666668,0.4159449652777778,0.0034989351851851852
2,2014-03-24,7.25,0.5,0.5,0.07916666666666668,0.0686340740819772,0.03647917824074076,0.0006306944444444446,4.7349537037037016e-05,0.01045318287037037,0.002899872685185185,0.0,0.0,0.01235804398148148,0.0009366319444444444
3,2014-03-25,6.2,0.4,-0.2,0.025694444444444447,0.08347445603322096,0.027977256944444456,0.0012282407407407411,0.00011870370370370368,0.001423599537037037,0.0003758564814814815,0.00020177083333333332,0.06666666666666668,0.046126608796296265,0.003826828703703704
4,2014-03-26,7.75,0.5,0.75,0.0863155761862658,0.09898179398366702,0.017421076388888897,0.0007100578703703702,1.162037037037037e-05,0.003690358796296296,0.0,0.0,0.3333333333333333,0.031909733796296295,0.008118472222222223
5,2014-03-27,7.8,-0.4,0.8,0.027083333333333348,0.048257199062241435,0.009151064814814813,0.0,0.0,0.005805752314814816,1.1689814814814815e-05,0.00016662037037037036,0.06666666666666668,0.02824074074074075,0.0024372916666666666
6,2014-03-28,8.25,-0.25,1.0,0.07977843915343913,0.12115143520688575,0.030578263888888894,0.0006489699074074076,7.055555555555556e-05,0.0033995254629629627,0.011386215277777776,0.0,0.26666666666666666,0.06518354166666668,0.0067238773148148145
7,2014-03-29,8.0,-0.4,1.0,0.08229166666666668,0.08700204860005112,0.04025721064814817,0.0,0.0,0.0021857291666666665,0.0018252546296296296,0.0,0.3333333333333333,0.03665255787037037,0.005302708333333333
15,2014-04-06,6.8,-0.4,0.8,0.13888888888888887,0.0828778703979872,0.0334325462962963,0.0005984953703703702,4.658564814814815e-05,0.003014212962962963,0.0,0.0002803703703703704,0.0,0.04141896990740742,0.0033797916666666672
16,2014-04-07,6.2,-0.5,0.0,0.07812500000000004,0.06196387733574265,0.030502546296296305,0.0008835416666666668,3.521990740740741e-05,0.0034856365740740737,0.004029652777777778,0.0010457407407407407,0.0,0.01918457175925925,0.0020209837962962963
17,2014-04-08,7.2,0.0,0.6,0.08645833333333333,0.04694128472495964,0.01994186342592593,0.0018540625,1.1944444444444444e-05,0.0003978125,0.004513217592592593,0.0,0.06666666666666668,0.20040487268518514,0.0025378240740740747
18,2014-04-09,6.5,0.25,0.25,0.034126984126984145,0.04980440972579851,0.019851099537037044,0.00027050925925925924,0.0,0.0003284953703703703,0.00030108796296296296,0.0,0.2,0.023627361111111102,0.0052662731481481475
19,2014-04-10,6.0,0.75,0.0,0.030357142857142864,0.024983645851413404,0.009570219907407413,0.0,0.0,0.0022716550925925925,0.0,0.0,0.06666666666666668,0.010666134259259255,0.001370462962962963
20,2014-04-11,6.8,0.0,0.6,0.11428571428571427,0.06437589119429937,0.008857650462962963,0.00027487268518518524,0.0,0.0,0.0069318055555555565,0.0,0.0,0.007997256944444442,2.324074074074074e-05
21,2014-04-12,7.0,0.0,0.8,0.06944444444444445,0.03288846065048818,0.019267557870370374,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.01326792824074074,0.0006840046296296298
22,2014-04-13,6.0,-0.8,0.0,0.1722222222222222,0.014083865737473524,0.005827048611111112,0.0,0.0,0.0,0.004757418981481481,0.0,0.06666666666666668,0.003169930555555555,0.0001527199074074074
23,2014-04-14,5.8,-0.2,-0.2,0.08333333333333319,0.009527650464464115,0.002160717592592593,0.0,5.820601851851852e-05,0.0,0.0008995370370370369,0.0,0.13333333333333333,0.005586458333333335,0.0008736458333333334
24,2014-04-15,6.0,0.0,0.0,0.08854166666666669,0.020832141199045702,0.006893888888888889,0.0017219444444444446,0.0,0.0,0.0,0.0,0.13333333333333333,0.012069409722222223,0.0013965856481481485
25,2014-04-16,5.5,-0.5,-0.25,0.015584415584415588,0.006814606484991531,0.0030421180555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.004855231481481482,0.00011714120370370371
26,2014-04-17,7.0,0.0,0.75,0.11045653907496013,0.025595462967952082,0.014676354166666673,0.00042259259259259257,0.0,0.0,0.0004979629629629631,0.0,0.13333333333333333,0.007546273148148146,0.0004248032407407407
27,2014-04-18,6.6,-1.2,0.6,0.11473829201101933,0.02736298611318624,0.005977951388888889,0.0009284606481481481,0.0008374074074074075,0.00044116898148148157,0.00025609953703703705,0.0,0.2,0.017230231481481475,0.0015405324074074071
28,2014-04-19,8.0,0.25,1.0,0.11314935064935065,0.021949965266717816,0.008813587962962959,0.0,4.662037037037038e-05,0.00042217592592592594,0.0055021527777777786,0.0,0.0,0.006762118055555558,0.00015228009259259258
29,2014-04-20,6.25,0.0,0.25,0.041548295454545435,0.004873622688982222,0.002872800925925926,0.0,0.0,0.0031006018518518518,0.0007098148148148147,0.0,0.0,0.0024186342592592593,2.3287037037037038e-05
30,2014-04-21,6.5,-1.0,0.5,0.015309343434343441,0.009816365738709764,0.0007729050925925925,0.000380625,0.0,0.0,0.0,0.0,0.13333333333333333,0.0064222453703703716,0.0007978125
31,2014-04-22,6.6,-0.2,0.4,0.06439393939393938,0.03023608795746607,0.00967502314814815,0.0,0.0,0.00030634259259259265,0.0,0.0,1.0,0.016515451388888887,0.009425335648148144
32,2014-04-23,6.333333333333332,-0.3333333333333333,0.3333333333333333,0.03922032828282828,0.033857569440647405,0.008855555555555556,0.0008255439814814816,0.0,0.0003256365740740741,0.0,0.0,0.26666666666666666,0.013893657407407405,0.009383472222222222
