mood,arousal,valence,activity,screen,communication,finance,social,travel,gsm,amusement,system
6.4,-0.6,0.4,0.17338556642033126,0.12160762730571958,0.03388317129629628,0.0047860185185185184,0.0163416550925926,0.0007365509259259261,1.0,0.002487372685185185,0.03200234953703707
5.8,-0.6,0.0,0.09600046671698094,0.14164545138952908,0.05615461805555556,0.003252407407407407,0.021551863425925934,0.0,0.0,0.006998472222222221,0.06673005787037035
6.0,-0.6,0.2,0.0664366525273635,0.10289467594689797,0.03714379629629631,0.0018475000000000006,0.015608865740740736,0.0,0.0,0.0036525115740740745,0.0598613310185185
6.5,-1.0,0.25,0.08183477959828253,0.1452131828748518,0.08040210648148147,0.010051493055555553,0.011002511574074074,0.0024308912037037038,0.0,0.005382939814814815,0.03922590277777776
5.75,-0.25,0.0,0.0869440958385846,0.15225805554676936,0.06445697916666668,0.004369398148148148,0.013572847222222227,0.01700836805555555,0.2222222222222222,0.0,0.05803936342592591
7.0,-0.2,1.0,0.13618336177266896,0.12482251157363258,0.05386731481481482,7e-05,0.012217743055555551,0.0012058912037037036,0.2222222222222222,0.0059907986111111125,0.03513747685185184
6.6,-1.0,0.8,0.08024686578120244,0.14527951391482793,0.1106749189814815,0.0018007407407407408,0.018794953703703706,1.1666666666666666e-05,0.1111111111111111,0.002839247685185185,0.022159548611111104
6.2,-0.4,0.6,0.0696839987353426,0.13600417822599412,0.08268457175925926,0.0025852430555555555,0.013765717592592592,0.0,0.1111111111111111,0.0018741666666666666,0.07582990740740743
8.0,-0.25,1.25,0.16564287093948113,0.05410428238687695,0.021451030092592593,0.0017946874999999994,0.009507418981481481,0.0,0.2222222222222222,0.00013252314814814813,0.03646370370370372
6.5,-1.0,1.0,0.009551822310687784,0.030859583340309294,0.006021331018518516,0.0,0.0,0.0,0.1111111111111111,0.0,0.304562337962963
6.75,-0.25,0.75,0.046555175742613406,0.03579876157144705,0.01205846064814815,0.0,0.0,0.0,0.6666666666666666,0.0,0.039582037037037034
6.2,0.0,0.4,0.052005566719441405,0.004987083331302361,0.001100925925925926,0.0,0.0003755324074074074,0.0,0.0,0.0,0.003035335648148148
7.0,-1.0,1.0,0.06348750312481978,0.009026307861010234,0.0018606828703703708,0.0,0.0008302314814814815,0.0,0.0,0.0,0.017938067129629625
7.333333333333332,-0.5,1.0,0.06938709391802697,0.027461331012072418,0.004328680555555557,9.327546296296296e-05,0.0005391435185185186,0.0,0.0,0.0,0.01867283564814814
7.5,-1.0,1.0,0.00381944444444444,0.0035595023107749444,0.00042,0.0,0.0,0.0,0.0,0.0,0.0027699537037037037
7.4,-1.6,0.6,0.016678436911487744,0.017197905097294738,0.008744259259259257,0.0,0.0009175925925925926,0.0,0.0,0.0,0.018335254629629635
7.4,-1.0,1.0,0.02901523603791795,0.014622534725953023,0.07825178240740742,0.0,0.001269386574074074,0.0,0.1111111111111111,0.0,0.018846562499999994
7.0,-0.2,1.0,0.008827357154755956,0.006369953704652964,0.0012341087962962963,0.0,0.0015502777777777776,0.0,0.1111111111111111,0.0,0.00259681712962963
6.8,-0.2,0.8,0.039592086834733885,0.005241400455987012,0.0007810416666666666,0.0,0.0,0.0,0.1111111111111111,0.0,0.46671153935185183
8.0,0.3333333333333333,1.0,0.11708683473389354,0.012712291672273923,0.0019279629629629636,0.0,0.00015108796296296298,0.0,0.0,0.0,0.010177488425925923
6.666666666666668,-0.3333333333333333,1.0,0.0520108043217287,0.00979723379015922,0.0002185416666666667,0.0,0.0003391087962962963,0.0,0.0,0.0,0.010203043981481481
7.75,1.0,1.0,0.026137955182072826,0.006399791668410659,0.0002221875,0.0,0.0007687731481481481,0.0,0.2222222222222222,0.0,0.06802201388888889
7.5,0.0,1.0,0.06368182159869593,0.001342442132256649,0.0,0.0,0.0,0.0,0.0,0.0,0.0010842824074074075
