,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
0,6.4,0.8,0.2,0.2875173962358836,0.09971533563677912,0.08861362268518518,0.0,0.005759305555555556,0.0,0.0,0.007763356481481479,0.005351481481481482
1,6.4,0.6,0.6,0.08464871219157337,0.14963541664459093,0.16346863425925928,0.0,0.001884131944444445,0.0005440509259259259,0.2,0.01417037037037037,0.0016681250000000001
2,8.4,1.4,1.6,0.09397349961866083,0.14268700231280593,0.09854599537037037,0.0,0.007579016203703703,0.0,0.0,0.026431516203703705,0.010713159722222221
3,7.4,1.6,1.0,0.11916263386851622,0.07554717592895029,0.06761270833333334,0.0,0.0028834837962962967,0.0,0.2,0.007314444444444446,0.004485891203703703
4,8.8,1.0,1.8,0.3074129857071034,0.0542614236170495,0.03634703703703705,0.0,0.002153275462962963,0.0,0.2,0.010929328703703703,0.003948171296296296
5,7.6,1.2,1.8,0.09856848536516054,0.05818226851246974,0.05002501157407407,0.0,0.0044139236111111115,0.006377199074074074,0.0,0.0024131597222222224,0.001663101851851852
6,8.4,-1.0,1.0,0.30365512425991403,0.10491814814507962,0.0846893055555556,0.0,0.0028288078703703704,0.0,0.2,0.009343738425925925,0.004984861111111111
7,7.4,-1.2,1.0,0.10809412957208693,0.09913199072910675,0.08410028935185182,0.0,0.0040835185185185184,0.003352048611111111,0.1,0.008492638888888888,0.00020515046296296297
8,7.6,-1.0,1.2,0.3355837397178655,0.1406290740712925,0.0586151736111111,0.00038620370370370365,0.03459854166666668,0.003044155092592593,0.0,0.021647256944444443,0.01954368055555556
9,7.2,-1.8,1.0,0.3700853779840849,0.06502217594120238,0.05908430555555554,0.0,0.007524178240740741,0.0,0.0,0.008257256944444446,0.002824444444444444
10,6.2,-0.6,0.8,0.11063152039471913,0.11018476851284503,0.08452910879629628,0.0,0.0010985532407407409,0.0,0.0,0.004991273148148148,0.00031599537037037034
11,7.0,-1.2,0.6,0.2922268907563025,0.0631482870131731,0.03142857638888889,0.0,0.008412048611111108,0.0,0.1,0.013179849537037037,0.0062865856481481505
12,7.5,-1.5,1.0,0.43874834656084655,0.08673953704260011,0.04910770833333334,0.0,0.04773916666666669,0.0,0.6,0.008176701388888888,0.03722246527777777
13,7.4,-1.2,1.0,0.3712079450379943,0.10641943283655025,0.23980033564814834,0.0,0.009613263888888885,0.0,0.0,0.006707291666666668,0.004519398148148148
14,7.6,-0.8,1.4,0.3039661452028189,0.13171645832558473,0.14541751157407407,0.0,0.0004115856481481482,0.0,1.0,0.004264525462962963,0.017920138888888878
15,7.8,-0.6,1.0,0.19674225941227166,0.093180509297936,0.08248153935185187,0.0,0.004607268518518519,0.0,0.3,0.007881747685185188,0.010631921296296294
16,6.8,0.2,0.8,0.15646127217935726,0.14419359953315167,0.13699145833333332,0.0,0.0009554166666666665,0.0,0.0,0.006359872685185183,0.0010627083333333333
17,6.25,0.25,0.75,0.32032102320237915,0.0963609722063497,0.07115886574074075,0.0,0.006091006944444446,0.003280115740740742,0.0,0.004013877314814816,0.016457847222222224
18,7.4,-0.4,1.0,0.30800465676571875,0.12289562499081655,0.14305368055555562,0.0,0.010613368055555556,0.0,0.2,0.0023860185185185182,0.0029508680555555555
19,8.2,0.8,1.4,0.12433551478229142,0.12019541669223041,0.09243265046296294,0.0,0.0018321990740740746,0.0,0.2,0.011402905092592593,0.012464131944444446
