,mood,arousal,valence,activity,screen,communication,office,social,gsm,amusement,system
0,5.4,0.0,0.2,0.00555555555555555,0.016420011575575225,0.06670157407407407,0.0,0.08071682870370371,0.0,0.0,0.0006549074074074075
1,6.4,-0.2,0.6,0.028491361781937875,0.015256597217586305,0.00829740740740741,0.0,0.004669409722222222,0.0,0.001652662037037037,6.851851851851852e-05
2,7.0,-0.2,1.0,0.0630171632209882,0.02115115739681102,0.011709606481481482,0.0,0.007583761574074073,0.07692307692307693,0.0003063773148148148,0.0007874189814814813
3,6.4,-0.2,0.8,0.05752387767589225,0.012691550919855086,0.0032342592592592588,0.0,0.007746828703703704,0.07692307692307693,0.0,0.05628334490740742
4,6.6,-0.4,0.6,0.008942302364652674,0.033077835644836774,0.028673842592592595,0.0,0.012559988425925922,0.3076923076923077,0.0,0.003057638888888889
5,6.4,-0.4,0.8,0.02223145445234952,0.010030023152077636,0.050104421296296296,0.0,0.005240243055555555,0.0,0.0,0.00030824074074074076
6,7.2,-0.2,0.8,0.04218482538831056,0.015909502318611855,0.004309224537037037,0.0,0.01866822916666666,0.15384615384615385,0.0,0.0019519675925925926
7,6.8,-0.8,1.0,0.046307912762661635,0.022777696756853007,0.0022460069444444446,0.0,0.019678379629629632,0.0,0.0,0.00029502314814814815
8,7.2,-0.6,1.0,0.01689766184251478,0.008406053240652439,0.01701337962962963,0.0,0.005107997685185185,0.07692307692307693,0.0010314814814814815,0.0008518981481481482
9,6.5,-0.25,0.5,0.08950139311864186,0.021046886584824995,0.010358923611111114,0.0018692013888888888,0.004787893518518519,0.38461538461538464,0.001300914351851852,0.003956886574074074
10,6.333333333333332,0.0,0.5,0.08701150136063529,0.02874168981832487,0.02287949074074075,0.0,0.02482652777777778,0.46153846153846156,0.0,0.001761979166666667
11,6.25,-0.25,0.5,0.016559762046113646,0.022415023150819318,0.0111025,0.0,0.008175937500000003,1.0,0.0,0.0096575
12,7.166666666666668,-0.16666666666666666,1.0,0.02494412062743703,0.013794317137863887,0.006205648148148147,0.0,0.0051562615740740735,0.15384615384615385,0.0007510300925925925,0.0005416087962962963
13,6.8,0.0,0.6,0.0784470781932718,0.009026539339511482,0.002533738425925926,0.0,0.005862905092592593,0.0,0.0,0.00011488425925925926
14,7.6,0.0,1.2,0.07893465181771635,0.019334965273737906,0.014239849537037034,0.0,0.00529423611111111,0.0,0.0002336111111111111,0.0001977199074074074
15,7.2,-1.0,1.0,0.06235385458531235,0.02400947917390754,0.018791550925925923,0.0,0.01127681712962963,0.0,0.0010660300925925926,0.00036122685185185183
16,6.6,-0.4,0.8,0.008289547359385427,0.008064930563171705,0.020947245370370363,0.0,0.002409560185185185,0.0,0.0002216898148148148,0.0006251157407407408
17,7.0,0.0,1.3333333333333333,0.07876788563729692,0.03284280091248178,0.027371655092592595,0.0,0.008783055555555556,0.0,0.0,0.0010074537037037038
18,7.5,0.25,1.25,0.03112397258727364,0.01464708334317915,0.009993888888888887,0.0,0.019021469907407405,0.15384615384615385,0.0,0.0020528009259259262
19,7.4,0.2,1.2,0.12841414141414145,0.020086203703173888,0.011016331018518516,0.0,0.007332418981481484,0.0,0.0008901388888888889,0.0002974189814814815
20,7.6,0.0,1.25,0.007280235288804587,0.015000092596919456,0.0038421527777777777,0.0,0.006166863425925926,0.0,0.0001276851851851852,0.0009277777777777777
21,7.0,0.0,1.0,0.1024731337951504,0.05141266201933224,0.027537824074074076,0.0,0.014450069444444451,0.5384615384615384,0.0042638425925925925,0.004230347222222221
22,6.5,-0.25,0.5,0.058148292227969176,0.029681562510905427,0.01819761574074074,0.0,0.012487615740740742,0.0,0.0010783217592592593,0.0011465393518518517
23,6.25,0.25,0.5,0.04036626596543954,0.027828703707566963,0.020487754629629637,0.0,0.023041215277777784,0.0,0.0,0.0013736111111111113
24,7.6,1.2,1.4,0.20657326274273785,0.05047170138745395,0.036594247685185176,0.0,0.010153622685185187,0.0,0.0026704398148148147,0.0015959375000000001
25,7.6,0.6,1.0,0.0741355491619204,0.018309270841655907,0.005240138888888888,0.0,0.011462048611111107,0.07692307692307693,0.0003720717592592592,0.0006360416666666666
26,7.0,0.0,0.8,0.025027439155129103,0.00887810185275696,0.022133761574074075,0.0,0.006012303240740743,0.0,0.0,0.0
27,7.6,0.0,1.2,0.0048270957916190715,0.024062037040238026,0.007620405092592595,0.0,0.0332664351851852,0.0,0.002564386574074074,0.00015266203703703706
28,6.6,0.2,0.6,0.06490308655585146,0.03965365741815834,0.02235798611111111,0.0005236226851851852,0.012982384259259261,0.0,0.0009406597222222222,0.0013936226851851852
29,6.4,-0.8,0.6,0.03409090909090909,0.036452291657527315,0.02392869212962964,0.0,0.008237465277777778,0.0,0.00041885416666666666,0.003632476851851852
30,6.6,-0.6,0.8,0.0685973564143854,0.01995674767979869,0.009877418981481484,0.0005590162037037037,0.006892939814814817,0.0,0.0002599305555555555,0.0018017592592592592
31,6.2,-1.0,0.8,0.09718156742586877,0.037724618048027694,0.01176947916666667,0.0,0.007826678240740742,0.0,0.0016749652777777772,0.0013248726851851852
32,6.0,-0.4,0.6,0.049041986144740375,0.010840370365315008,0.00206056712962963,0.0,0.007857812499999997,0.0,0.0,0.00010343750000000003
33,7.8,1.4,1.2,0.03900289438614025,0.027260752300973332,0.00972460648148148,0.0,0.012641446759259257,0.0,0.0010250578703703704,0.0038354745370370374
34,6.4,-1.2,0.8,0.004899344795389425,0.015249849533041326,0.0009842824074074075,0.0,0.06811030092592592,0.0,0.0020085879629629625,0.026700381944444445
35,6.4,-1.0,0.6,0.02929495966675192,0.024028865736391816,0.006946875000000001,5.8240740740740743e-05,0.01048199074074074,0.0,0.005060925925925926,0.001112824074074074
36,6.0,-0.6,0.4,0.07739994303879247,0.021055844903544136,0.009205000000000001,0.0,0.009759872685185182,0.0,0.00024414351851851854,0.0012672685185185185
37,5.6,0.0,0.4,0.12497602724903792,0.017992187503863256,0.012093564814814817,0.0,0.005045416666666666,0.0,0.0,0.0017812962962962967
38,6.666666666666668,0.3333333333333333,1.0,0.1280059119507768,0.022745694438064547,0.01470679398148148,0.0,0.006418657407407408,0.0,0.0009594444444444444,0.00030655092592592594
39,6.333333333333332,0.0,0.8,0.02832101254480285,0.02320436343274736,0.1198080787037037,0.0018905555555555555,0.009408240740740738,0.0,0.0,0.0010682523148148148
40,6.0,-0.5,0.25,0.047178819444444485,0.008132453709840773,0.001812175925925926,0.0,0.002750277777777778,0.0,0.0,0.003199768518518519
41,6.0,-0.8333333333333334,0.6666666666666666,0.00542983716475096,0.02579152777791023,0.008156516203703706,0.0,0.008109849537037039,0.23076923076923078,0.009672916666666666,0.0011599884259259259
42,5.8,-0.8,0.6,0.02225241545893721,0.010008773152474998,0.001420636574074074,0.0,0.005344629629629628,0.0,0.0012634490740740742,0.001480960648148148
43,5.75,-0.25,0.25,0.03099614845938376,0.023442569444025,0.01339304398148148,0.0,0.008034791666666666,0.0,0.0012894444444444444,0.0002490162037037037
44,6.666666666666668,-0.5,1.0,0.034825039929764996,0.04628473378165997,0.0369491550925926,0.0,0.006054386574074072,0.0,0.002344375,0.0004488541666666666
45,7.0,0.4,0.8,0.03731409855296445,0.06318050926482231,0.1149678587962963,0.0,0.005126122685185184,0.0,0.04342300925925926,0.0034636574074074075
46,7.2,-0.4,1.0,0.1817380077030812,0.008138564819539033,0.0018282523148148142,0.0,0.005052013888888889,0.0,0.00034048611111111123,0.000381875
47,7.4,0.4,1.0,0.2218137298647596,0.010222893517326425,0.015306365740740747,0.0,0.005059780092592593,0.0,0.0,0.001518240740740741
48,6.8,-0.2,1.0,0.04327761276924563,0.022785659727674944,0.009027870370370367,0.0,0.007886701388888893,0.07692307692307693,0.0,0.0018753703703703706
49,6.666666666666668,-1.0,1.0,0.002604166666666669,0.003053414349754648,0.00042342592592592594,0.0,0.002366689814814815,0.0,0.0,0.0
