mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
7.25,-1.0,1.0,0.04532817794004062,0.033839317115920545,0.01887587962962964,0.0,0.00026204861111111107,0.0,0.125,0.0,0.028838460648148153
7.0,-0.8,0.6,0.0939778741437274,0.12704421296715726,0.059898807870370385,0.0017364236111111115,0.006940590277777779,0.0,0.0625,0.004439525462962963,0.026481099537037048
7.5,-0.25,0.75,0.05427813780879583,0.06258651619156204,0.037766597222222226,0.00016348379629629628,0.0010832523148148149,0.0,0.125,0.001449826388888889,0.019171585648148155
5.2,-1.0,-0.4,0.062171744331514976,0.07023112268635522,0.03774343750000001,0.0,0.005933020833333334,0.0002685185185185185,0.5,0.0016389930555555556,0.030898726851851847
6.4,0.2,0.4,0.054496304533692336,0.10067950232989258,0.06386813657407406,0.0004539236111111111,0.0025137847222222224,0.0,0.8125,0.0,0.02445409722222222
7.0,0.0,1.0,0.021811648278147,0.054348773172608125,0.020131180555555548,0.0,0.006663865740740738,0.0,0.1875,0.0,0.00835710648148148
7.6,-0.4,1.0,0.03005230340723862,0.05832467593252661,0.039706400462962976,0.0,0.0029206828703703704,0.0,0.0625,0.0,0.027004317129629633
7.2,-0.2,0.6,0.026736111111111096,0.06880814815836923,0.046653460648148154,0.0,0.002581701388888889,0.0,0.375,0.00013769675925925926,0.015195034722222216
7.4,0.25,0.75,0.007986111111111114,0.03375853009246013,0.02186866898148148,0.0,0.004526770833333334,0.0,0.125,0.00013935185185185185,0.006449479166666667
7.0,0.0,1.0,0.04450887793133785,0.034393981477176705,0.01688452546296296,0.0,0.004573391203703704,0.0,0.375,0.0,0.012326793981481482
6.2,0.2,0.4,0.0510416666666667,0.02639097221195697,0.014061805555555551,0.0,0.0005953472222222223,0.0,0.125,9.724537037037038e-05,0.010780937499999997
6.6,0.6,0.8,0.042136437908496686,0.03463299767838583,0.025279768518518517,0.0,0.0004222800925925926,0.0,0.1875,0.0,0.010140567129629628
6.8,-0.2,0.6,0.011229669507959656,0.04333645833035306,0.01580306712962963,0.0,0.007638657407407405,0.0,0.0625,0.0011085416666666665,0.009925185185185188
7.2,0.0,0.8,0.011447603234842322,0.01795945601054916,0.008732233796296297,0.0,0.0016460532407407407,0.0,0.0,0.0,0.003727916666666668
7.0,0.25,1.0,0.04596280602636538,0.07939521990992408,0.010136840277777776,0.0,0.000220625,0.0,0.1875,0.0,0.014242094907407408
7.0,0.8,1.0,0.002735433604336043,0.027332615755774357,0.017785069444444447,0.0,0.0015935648148148148,0.0,0.125,0.0,0.006550682870370368
6.2,0.5,0.6666666666666666,0.06439944767151781,0.044859490750564425,0.016924340277777776,0.0,0.0023234259259259263,0.0,0.25,0.0,0.013565682870370365
6.6,0.0,0.5,0.09822330765912596,0.11640260417428278,0.0264,0.0,0.0014683912037037037,0.0063019444444444425,0.75,0.0,0.02379430555555555
7.0,-0.4,0.8,0.01857181693744216,0.04856577545404436,0.03382135416666665,0.0,0.002280868055555556,0.0,0.0,0.0,0.023638553240740743
7.4,0.2,1.2,0.03568424788578982,0.06625607640379003,0.043270891203703706,0.0,0.002918946759259259,0.0,0.75,0.0,0.009399942129629628
7.0,1.0,1.0,0.2125195620196316,0.019734699072109337,0.007227962962962963,0.0,0.0,0.0,0.0,0.0,0.012304571759259262
6.833333333333332,-1.0,0.6666666666666666,0.047362751785379936,0.05801991896772825,0.026728171296296305,0.0,0.008795925925925928,0.0,0.3125,0.0,0.018440856481481475
6.75,0.3333333333333333,1.0,0.03904773900723553,0.05171978009243805,0.02863409722222223,0.0,0.009211446759259256,0.0,0.0625,0.0024542824074074076,0.011341655092592589
7.8,0.4,1.0,0.09147694314185692,0.07545342592177565,0.0455705787037037,0.0,0.0008630208333333333,0.0,0.625,0.0,0.018424525462962957
7.0,0.5,1.0,0.04638485469545906,0.06046136573508934,0.05160906249999999,0.0,0.0007978935185185185,0.0,0.125,0.0,0.008155787037037036
7.0,0.0,1.0,0.1523427216624798,0.027448946750826313,0.011097465277777777,0.0,0.0019903240740740745,0.002612696759259259,0.6875,0.0,0.02024626157407408
7.5,0.5,1.0,0.18947597457214285,0.03163578703447625,0.019802361111111114,0.0,0.0,0.0,1.0,0.0,0.010971875
