,mood,arousal,valence,activity,screen,communication,finance,social,travel,weather,gsm,amusement,system
0,6.5,0.0,0.0,0.024151166629980184,0.02164857638378937,0.0010788773148148148,0.0018460300925925927,0.007999606481481477,0.0,0.0,0.0,0.002094918981481481,0.009543576388888886
1,7.5,0.0,0.0,0.12660997993345266,0.09953407406531001,0.03504535879629629,0.0008408912037037034,0.024479803240740738,0.004053530092592593,0.0,0.1111111111111111,0.005417476851851852,0.043446886574074084
2,6.8,-0.2,0.4,0.0432156771266439,0.1375853009356393,0.03152849537037036,0.0031770717592592597,0.04191768518518521,0.0018534027777777776,0.0005214699074074075,0.1111111111111111,0.010969097222222222,0.03355825231481482
3,8.0,0.0,1.25,0.15111305136626185,0.10608103010941441,0.03328936342592591,0.0004377546296296297,0.027092442129629638,0.0017762152777777774,0.0010148726851851853,0.0,0.011616284722222222,0.07724675925925921
4,5.75,-0.5,0.0,0.12490594575684992,0.15926349538619872,0.06569063657407405,0.0003949537037037036,0.03172234953703704,0.0027348726851851852,0.0006658564814814815,0.16666666666666666,0.007984398148148148,0.0421099074074074
5,7.6,-0.8,0.8,0.027859790738960884,0.09178769673738213,0.017054768518518525,0.0,0.024821805555555552,0.0,5.844907407407407e-05,0.0,0.008324259259259259,0.030322905092592597
6,7.2,-0.6,0.6,0.012253036714243607,0.06877271990257283,0.011934502314814816,0.0,0.032355231481481485,0.0,0.0,0.0,0.003867453703703704,0.010260393518518516
7,8.0,0.2,1.25,0.1116669789967582,0.13269016205160708,0.03158921296296295,0.000273587962962963,0.042062673611111094,0.003531666666666667,0.0011590393518518519,0.0,0.014497083333333334,0.12929630787037039
8,7.8,-0.2,1.0,0.09885041974956743,0.08525908568391094,0.03705207175925925,0.0,0.022870509259259268,0.001399872685185185,0.0006256365740740741,0.0,0.0008614467592592593,0.06647267361111109
9,7.0,-1.0,1.0,0.2438468705912345,0.14180238424351918,0.024858148148148154,0.0010807175925925925,0.019300567129629628,0.0,0.0,0.05555555555555555,0.002717233796296296,0.0308151851851852
10,7.0,-1.0,0.5,0.22384842747091244,0.09460711803701193,0.03008111111111112,0.00044627314814814806,0.01712520833333334,0.008014039351851852,0.0,0.0,0.011685891203703704,0.04366346064814819
11,7.4,-0.6,0.0,0.3332305813491699,0.29271697915262634,0.06240224537037035,0.0015070833333333336,0.018551446759259252,0.016680520833333334,0.00011694444444444443,1.0,0.001581435185185185,0.04276429398148153
12,7.8,-0.75,1.25,0.03719255598302549,0.13290939815894323,0.03587362268518518,0.0005384143518518519,0.03827548611111111,0.0,0.0004892476851851852,0.0,0.01686516203703704,0.04585047453703705
13,7.2,-0.6,0.75,0.04242497739525186,0.11294740742555373,0.043791620370370384,0.0,0.028916168981481475,0.0,0.0012367939814814815,0.1111111111111111,0.007370613425925926,0.02270144675925926
14,6.8,-1.0,0.5,0.10611959993778808,0.12594503474180344,0.05895037037037039,0.0005257060185185186,0.022202997685185185,8.414351851851851e-05,0.000766875,0.05555555555555555,0.0015313310185185185,0.0644442245370371
15,6.8,-0.2,0.4,0.11725857496542645,0.11398848379927648,0.03590496527777779,0.0017743402777777781,0.0365311574074074,0.0,0.0005072222222222222,0.0,0.010918796296296296,0.0393389351851852
16,6.2,0.6,-0.4,0.03589232647840624,0.11766480323065212,0.03718903935185184,0.0008853703703703707,0.04146439814814816,0.0,0.0009170833333333333,0.0,0.016892048611111113,0.04318462962962965
17,7.8,-0.5,0.75,0.10793741525463706,0.10984831017476535,0.024448541666666674,0.0003615972222222222,0.03817784722222221,0.0,0.0,0.1111111111111111,0.009821655092592592,0.02700892361111111
