,mood,arousal,valence,activity,screen,communication,finance,social,gsm,amusement,system
0,7.2,-0.6,0.6,0.06071428571428576,0.008267395827505322,0.005030983796296296,0.0,0.0025035069444444445,0.0,0.0,0.0005472569444444445
1,6.6,0.4,0.6,0.05391190992639994,0.009100821768796008,0.005376203703703704,0.00025578703703703706,0.0,0.2631578947368421,0.0011174884259259259,0.0022013310185185183
2,6.4,0.0,0.6,0.005627705627705628,0.00030505787167284243,0.0,0.0,0.0,0.0,0.00020060185185185185,0.00037440972222222227
3,5.666666666666668,0.6666666666666666,0.3333333333333333,0.04383822653596662,0.0047780439781921905,0.001131099537037037,0.0,0.000809050925925926,0.3157894736842105,0.00017763888888888888,0.0037467245370370367
4,6.8,1.0,1.0,0.06056036092198103,0.003298969906237385,0.001438761574074074,0.0,0.0014490740740740742,0.10526315789473684,5.8344907407407415e-05,0.0012001157407407407
5,6.5,0.5,0.75,0.06677041257209454,0.013377210646867753,0.0021935300925925924,0.0,0.00017837962962962965,0.2631578947368421,0.0010815046296296297,0.0010118518518518517
6,7.0,0.0,1.0,0.0684523809523809,0.008406875003819108,0.002366840277777778,0.00015100694444444444,0.002214282407407408,0.47368421052631576,0.0020978819444444443,0.00200863425925926
7,6.4,0.0,0.8,0.1073128770739064,0.0053127199107850095,0.0025786111111111114,6.981481481481482e-05,0.000945335648148148,0.0,0.0,0.0017112268518518524
8,6.0,0.6,0.6,0.08716623124390796,0.011729618054297234,0.004230798611111111,0.0,0.0018635416666666672,0.05263157894736842,0.0005860069444444444,0.003017453703703703
9,5.6,0.2,0.25,0.09062499999999996,0.029235104167902922,0.0032939699074074087,0.0007499652777777778,0.002562800925925926,0.05263157894736842,0.0006965856481481482,0.0008694444444444442
10,6.0,0.0,0.25,0.2950993676603433,0.018449189814704475,0.0,0.0,0.0,0.8421052631578947,0.03868803240740741,0.0008066087962962962
11,6.5,-0.75,0.75,0.08746898327453531,0.006008495368339396,0.004606956018518519,0.0,0.0,0.0,0.0,0.001384849537037037
12,6.0,-0.5,0.5,0.2525042601225439,0.004746759257934712,0.001794976851851852,0.00022128472222222222,0.0010875231481481484,0.21052631578947367,0.0,0.0015425347222222223
13,5.4,0.4,1.0,0.052733447325923805,0.009983518526509952,0.0011623726851851851,0.0,0.0,0.21052631578947367,0.017130706018518512,0.0020389351851851857
14,6.0,-0.25,0.3333333333333333,0.13474030795602568,0.000854131943649717,0.0006142476851851853,0.0,0.0,0.5263157894736842,0.0,0.00014292824074074075
15,5.8,-0.4,0.6,0.3134394341290891,0.017055023147000237,0.002255671296296296,0.0,0.0005594675925925926,0.05263157894736842,0.0,0.0011365509259259258
16,6.4,-0.2,1.0,0.030474211305752518,0.10005240740875407,0.0012240856481481482,0.0,8.391203703703704e-06,0.21052631578947367,0.0,0.000344537037037037
17,6.25,-0.5,0.3333333333333333,0.012361111111111113,0.001606701388955117,0.0033471064814814813,0.0,0.00047866898148148145,0.0,1.1736111111111112e-05,0.0004749537037037037
