mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
8.5,0.25,1.5,0.15358132140520142,0.031572233788945074,0.010675289351851854,0.0,0.004341469907407406,0.025264699074074082,0.0,0.14285714285714285,8.128472222222222e-05,0.0027378587962962964
7.25,-1.0,0.25,0.1886913420889081,0.0455941203733285,0.021637974537037044,0.0,0.015041608796296294,0.017268344907407408,0.001049965277777778,0.0,0.0,0.0015395138888888887
8.0,-1.25,0.75,0.015126292203892644,0.04591523146739713,0.009568356481481483,0.0,0.0014620601851851852,0.02296597222222222,0.009003472222222225,0.07142857142857142,0.0019915046296296295,0.00015650462962962965
8.2,0.8,0.8,0.14988214995833685,0.07877405092948014,0.028444317129629623,0.0,0.009898287037037035,0.03198070601851853,0.0036689120370370374,0.14285714285714285,0.0,0.0017581481481481484
7.75,0.0,0.8,0.11463534506164205,0.11032295138471652,0.024791261574074075,0.0,0.004008321759259261,0.0824498148148148,0.0,0.42857142857142855,0.0,0.0029744444444444445
7.2,-0.6,0.2,0.19540927482103945,0.1295361805624432,0.028820752314814825,0.0,0.009224120370370367,0.08480237268518516,0.0,0.0,0.000545625,0.003086099537037038
7.8,-0.8,1.0,0.13756706347311956,0.17214472222659324,0.05249741898148148,0.0,0.016584155092592586,0.07928859953703707,0.002117928240740741,0.2857142857142857,0.008064814814814815,0.01401311342592592
7.6,0.4,0.4,0.06840374522127911,0.06501592593336548,0.0364804976851852,0.0,0.006936678240740746,0.03697128472222223,0.0,0.0,0.0,0.0027415509259259255
8.6,0.4,1.4,0.1676437975828992,0.08461251154541966,0.022903460648148143,0.0,0.007767534722222223,0.04027712962962962,0.0,0.2857142857142857,0.0005694560185185186,0.0048370601851851856
7.2,0.2,0.6,0.01897823474799861,0.07971217592557275,0.02904466435185186,0.0003146180555555556,0.011436400462962962,0.03672476851851851,0.0,0.0,0.001160162037037037,0.0003488425925925926
8.25,1.0,0.75,0.11546995747559542,0.030852546286251798,0.021267743055555562,0.0,0.003379918981481481,0.0017358796296296295,0.0016003125,0.07142857142857142,0.0011202083333333333,0.0009610185185185188
8.2,0.0,0.6,0.07499411788569071,0.12934634257521893,0.028314085648148142,0.0,0.00647363425925926,0.044619189814814816,0.002058125,0.0,0.0,0.004422997685185186
8.0,-0.8,1.0,0.14115802099173555,0.09077321760632373,0.023531250000000007,0.0,0.008994583333333337,0.06135087962962961,0.0,0.0,0.0010586689814814814,0.0040155787037037035
8.25,-0.5,1.0,0.19738316762908886,0.10654966430807555,0.05011833333333335,0.0,0.00946922453703704,0.04517447916666666,0.0,0.07142857142857142,0.0004995370370370369,0.001263460648148148
7.8,0.0,1.0,0.031889568580213065,0.13786717591738254,0.03602609953703703,1.162037037037037e-05,0.007325254629629628,0.05982752314814815,0.004753831018518518,0.42857142857142855,0.02503429398148148,0.0038953935185185194
7.6,0.8,0.8,0.10466354394673524,0.07320626157577392,0.10246,0.0,0.009558541666666663,0.030728761574074066,0.0008034027777777777,0.42857142857142855,0.0002582175925925926,0.0023465625000000006
