mood,arousal,valence,activity,screen,communication,finance,office,social,travel,weather,gsm,amusement,system
8.0,0.5,1.0,0.1814892623716153,0.09327155092248209,0.06299545138888885,0.0,0.004029583333333333,0.012614212962962962,0.0007934143518518517,0.0001525,0.3684210526315789,0.0018813773148148153,0.02273002314814815
7.4,0.0,0.2,0.10126488095238097,0.11376592593336547,0.042673078703703717,0.0,0.001439375,0.02466168981481482,0.0015216435185185185,0.0005986805555555556,0.5263157894736842,0.01842023148148148,0.02016166666666666
6.5,0.25,0.5,0.14313397233893554,0.07639767360356123,0.0355193287037037,0.0,0.0008627430555555555,0.02408402777777778,0.0010880439814814815,0.0002442476851851852,0.0,0.0006643981481481482,0.02804215277777777
7.75,-0.25,0.5,0.15529914529914535,0.07491877315496956,0.02998004629629629,0.0,1.1863425925925925e-05,0.04620354166666667,0.0,0.0,0.47368421052631576,0.0004714467592592593,0.1327349537037037
7.0,-0.2,0.6,0.044557391115906717,0.014060671301903556,0.0031262731481481484,0.0,0.0002330439814814815,0.009986527777777778,0.0,0.0,0.15789473684210525,0.0,0.010651539351851851
6.6,-0.4,0.4,0.038610440461819405,0.0668680555566593,0.046332118055555545,0.0,0.0006336458333333333,0.007478773148148146,0.0,0.0006210648148148147,0.15789473684210525,0.003191643518518518,0.0075768981481481494
6.4,0.6,0.2,0.09109605531851883,0.0903082754518147,0.06220922453703704,0.0,0.0,0.010280682870370374,0.0,8.137731481481483e-05,0.3684210526315789,0.0,0.016190844907407412
6.5,-0.25,0.0,0.08074791762574518,0.051688055578205334,0.030594270833333333,0.0,0.0,0.002876273148148148,0.0009979976851851853,0.0003839467592592593,0.10526315789473684,0.0,0.014336747685185185
7.2,0.2,0.6,0.10531602561905302,0.08739159721743175,0.061679745370370395,0.0,0.0019020023148148147,0.006006944444444444,0.0002578009259259259,5.825231481481482e-05,0.42105263157894735,0.0006995254629629629,0.013499629629629634
6.5,0.0,0.0,0.12178447758220234,0.20350876159138145,0.10990028935185181,0.0,0.004679768518518519,0.06528226851851852,0.002146238425925926,0.0,0.10526315789473684,0.0,0.021106469907407405
6.25,-0.25,0.0,0.07372682037592555,0.1360872222096831,0.09253634259259262,0.0,0.0,0.007016157407407405,0.001820601851851852,0.0,0.8947368421052632,0.00011614583333333334,0.0431341435185185
7.5,-0.75,0.0,0.15611230462327638,0.07061815973785193,0.03730972222222224,0.0,0.00029108796296296294,0.016612835648148146,0.0,0.0,0.2631578947368421,0.0016478472222222229,0.007263321759259263
6.8,0.0,0.0,0.02763157894736842,0.06992031251114826,0.04614021990740741,0.0,0.0,0.0028344907407407407,0.00043031250000000003,0.0006087847222222221,0.10526315789473684,0.0007192245370370372,0.017709594907407415
7.4,-0.4,0.8,0.09062499999999996,0.10855759259175375,0.040588923611111105,0.0,0.0,0.03417630787037037,0.00822030092592593,0.000596701388888889,0.7894736842105263,0.0037867245370370372,0.022752418981481483
8.25,0.25,1.0,0.12770165179024576,0.13300846065360095,0.06615865740740738,0.0,0.0010509375,0.0032147569444444446,0.0005238078703703703,0.0,0.42105263157894735,0.00020914351851851853,0.061178483796296305
6.5,-0.5,0.0,0.07593836088154272,0.09987841434500835,0.05616618055555558,0.0,0.0007256828703703703,0.02051068287037036,0.0,0.00010563657407407409,0.3684210526315789,0.0,0.021348055555555565
6.0,-1.2,0.0,0.08576388888888888,0.11461331019247017,0.08645297453703706,0.0,0.0,0.007695300925925923,0.007281805555555556,0.000477974537037037,0.3157894736842105,0.0014543287037037036,0.028026875
6.25,-0.25,-0.25,0.055208333333333325,0.08869869212309524,0.04361304398148146,0.0,2.3287037037037038e-05,0.0009994097222222218,0.0,0.0010325462962962964,0.05263157894736842,0.026893796296296294,0.020524155092592585
7.0,0.5,1.0,0.17103565997282574,0.08603693287129756,0.044937210648148145,0.0,0.0,0.029545509259259257,0.0,0.0,0.2631578947368421,0.0,0.014887337962962969
7.4,0.0,0.8,0.02219573355936993,0.0388630671357667,0.02730733796296295,0.0021674537037037036,0.0001175810185185185,0.0,0.0,0.0,0.0,0.0028427314814814812,0.00574736111111111
7.2,0.0,0.4,0.12131769374416435,0.15416769674254785,0.11153553240740752,0.0,2.3229166666666664e-05,4.72337962962963e-05,0.0005255555555555556,0.0003261689814814815,0.7894736842105263,0.009995023148148149,0.032276006944444435
6.0,-1.2,-0.6,0.0829631542699724,0.12725694443892546,0.0842967476851852,0.0,0.0,0.007239733796296297,0.00017263888888888887,0.00020596064814814818,1.0,0.013039571759259263,0.02444130787037038
6.2,0.8,-0.4,0.10852951516948042,0.15536587961569984,0.0883828009259259,0.0,0.0,0.0,0.001659375,5.8645833333333334e-05,0.3157894736842105,0.003275613425925927,0.09792701388888891
7.0,-1.0,0.4,0.08712270720960565,0.13617436341113517,0.08045087962962966,0.0,0.0020649768518518526,0.02520267361111111,0.0024082060185185183,0.00017452546296296297,1.0,0.0,0.022934918981481485
6.5,-0.75,0.0,0.13760964912280704,0.07303436343040734,0.04988798611111112,0.0,0.00010498842592592592,0.003046261574074074,0.004493900462962963,0.0,0.631578947368421,0.0019811342592592593,0.023245856481481482
6.4,-0.25,0.0,0.05925925925925921,0.13270574074100572,0.05682775462962965,0.0003605092592592593,0.0,0.024547164351851853,0.0,0.0,0.10526315789473684,0.004820439814814815,0.04508597222222221
7.2,1.0,0.6,0.1037695397021416,0.09314224534840494,0.037076678240740756,0.0,0.0,0.0,0.015553437499999998,0.00047785879629629627,0.15789473684210525,0.04275266203703704,0.013962106481481485
6.666666666666668,-1.0,0.0,0.07168479421153216,0.08462072917156749,0.05903717592592598,0.0,0.0032023726851851853,0.0016432638888888883,0.0,0.00018609953703703705,0.42105263157894735,0.0022823958333333333,0.017320486111111113
