Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,gsm,amusement,system
2014-03-17,6.0,-0.4,0.4,0.08337052096204703,0.06497481483000296,0.020532743055555552,0.0,0.15384615384615385,0.01181506944444444,0.009941261574074078
2014-03-18,7.5,0.25,1.0,0.11319590615792095,0.08306743056409895,0.05105927083333335,0.0,0.6923076923076923,0.010478819444444449,0.005563541666666666
2014-03-19,6.75,1.0,0.75,0.13369126492653632,0.07055335649461657,0.050008576388888865,0.0,0.0,0.011934918981481486,0.002903900462962963
2014-03-20,7.2,1.0,0.8,0.1184567993861232,0.05628317128728938,0.05193128472222221,0.0,0.07692307692307693,0.005930763888888889,0.0014144444444444445
2014-03-21,7.25,0.0,1.0,0.050197722898856136,0.035096284716769524,0.02624281250000001,0.0,0.38461538461538464,0.004349444444444446,0.004557800925925926
2014-03-22,3.75,-2.0,-1.0,0.018560992335206163,0.020904861106364817,0.012714918981481482,0.0,0.0,0.007429641203703701,0.0002323726851851852
2014-03-23,4.4,-1.4,-1.0,0.08524289724808608,0.04620157407665695,0.03333851851851853,0.0,0.7692307692307693,0.008672905092592597,0.0031187962962962957
2014-03-24,3.75,-2.0,-1.0,0.0065358720727085465,0.04822853010285784,0.04227628472222222,0.0,0.07692307692307693,0.006415046296296296,0.014716574074074073
2014-03-25,5.333333333333333,-1.0,0.3333333333333333,0.0409668880042286,0.11022156251249486,0.06865172453703704,0.0,0.07692307692307693,0.03111061342592592,0.007067407407407408
2014-03-26,5.5,-0.5,0.25,0.03923650919372562,0.09864616897647031,0.08739467592592591,0.0,0.07692307692307693,0.008281574074074078,0.0020476388888888888
2014-03-27,5.8,-0.6,0.2,0.07717586025360933,0.1303648842788405,0.10119390046296295,0.0,0.15384615384615385,0.013162083333333328,0.007490081018518515
2014-03-28,6.2,0.0,0.6,0.045324583168289634,0.05562824074316907,0.04360734953703702,0.003993136574074073,0.07692307692307693,0.04779413194444447,0.003772002314814813
2014-03-29,6.4,-0.4,1.0,0.1044231818505304,0.029012951392818384,0.01834236111111111,0.0,0.3076923076923077,0.003995856481481483,0.0060260416666666665
2014-03-30,6.2,-0.8,0.8,0.07491950961612631,0.04782737267790016,0.03744931712962963,0.0,0.3076923076923077,0.004171782407407408,0.003357951388888889
2014-03-31,6.8,-0.4,1.0,0.055341321768997434,0.014794456009511587,0.006733263888888889,0.0,0.15384615384615385,0.014695763888888894,0.002047488425925926
2014-04-01,7.0,0.0,1.0,0.07812598561494997,0.05373003471504762,0.03239695601851853,0.0041262384259259256,0.0,0.010637118055555556,0.005540925925925926
2014-04-02,7.0,-0.2,1.0,0.07312614127423467,0.0389183217480227,0.020226712962962953,0.003574062500000001,0.0,0.007540578703703703,0.004613842592592591
2014-04-03,7.2,-1.0,0.8,0.052751485335188086,0.05315336804423064,0.0350332986111111,0.007462523148148151,0.0,0.0029156481481481477,0.00818940972222222
2014-04-04,7.0,-0.8,1.0,0.04145652357485975,0.10578929398898733,0.0755499074074074,0.0027498958333333334,0.23076923076923078,0.0031566087962962962,0.01856851851851852
2014-04-05,7.5,0.0,1.0,0.06928846414407397,0.028808483807025134,0.015309293981481476,0.0,0.07692307692307693,0.0025181828703703703,0.0032308333333333343
2014-04-06,6.8,-0.4,1.0,0.07736263815327493,0.0493910300952417,0.041717812499999986,6.986111111111112e-05,0.15384615384615385,0.010273912037037038,0.0034999421296296293
2014-04-07,6.75,-0.25,0.75,0.06685869441897199,0.05789790508923707,0.04652817129629631,0.0,0.07692307692307693,0.004033715277777779,0.005825069444444445
2014-04-08,6.75,0.25,0.0,0.08512478025882424,0.028852071775882338,0.017044756944444447,0.0,0.07692307692307693,0.02315789351851851,0.0031462615740740748
2014-04-09,7.0,0.25,0.75,0.1536189527904702,0.09152275461289622,0.07209018518518519,8.288194444444445e-05,0.07692307692307693,0.010780717592592592,0.005817615740740743
2014-04-10,7.2,0.8,1.0,0.013347120143232593,0.038996273149494776,0.02436050925925926,0.002982222222222222,0.07692307692307693,0.010183854166666667,0.005714745370370371
2014-04-11,7.0,0.2,0.6,0.0946152502759936,0.06799881945605635,0.05534027777777775,0.0008396180555555553,0.0,0.006385312499999996,0.011783402777777775
2014-04-12,7.0,-1.4,1.0,0.049298857254267366,0.10746278933628842,0.08169339120370371,0.008877002314814818,0.23076923076923078,0.006153379629629628,0.004779317129629631
2014-04-13,7.5,0.3333333333333333,1.0,0.11412738344393665,0.027206111117093642,0.01931297453703703,0.002299027777777778,1.0,0.0023375115740740743,0.0071545601851851865
2014-04-14,6.4,-1.2,0.4,0.1017234451157769,0.046845752312629316,0.017345578703703703,0.01320636574074074,0.0,0.00450900462962963,0.008083043981481481
2014-04-15,7.0,0.2,0.8,0.05729654885661261,0.08727184028813131,0.04973020833333337,0.01807739583333334,0.0,0.00697103009259259,0.00464019675925926
2014-04-16,7.2,-0.6,0.8,0.10564943114617577,0.020590694439080015,0.012326412037037037,0.0053530671296296295,0.0,0.0027209606481481464,0.002866527777777778
2014-04-17,6.6,0.4,0.6,0.11503845562252694,0.06323496527417943,0.047242673611111126,0.00964939814814815,0.0,0.00506230324074074,0.007208333333333331
2014-04-18,7.5,0.25,1.0,0.11516740722460594,0.06892311343716247,0.04826319444444443,0.010203182870370373,0.15384615384615385,0.009565601851851855,0.013044189814814816
2014-04-19,7.2,-0.8,0.8,0.0608869898356053,0.02825776622251229,0.01320081018518519,0.010467534722222222,0.15384615384615385,0.0005068287037037037,0.0015133333333333335
